Time [s] - Voltage Resistor	Voltage [V] - Voltage Resistor	Time [s] - Voltage Source	Voltage [V] - Voltage Source
0	1	0	3.6
7.69E-05	0.9	7.69E-05	3.5
0.000154	0.7	0.000154	3.4
0.000231	0.6	0.000231	3.3
0.000308	0.4	0.000308	3.1
0.000385	0.3	0.000385	3
0.000462	0.2	0.000462	2.9
0.000538	0	0.000538	2.7
0.000615	-0.1	0.000615	2.6
0.000692	-0.3	0.000692	2.4
0.000769	-0.4	0.000769	2.3
0.000846	-0.5	0.000846	2.1
0.000923	-0.7	0.000923	1.9
0.001	-0.8	0.001	1.7
0.001077	-0.9	0.001077	1.6
0.001154	-1	0.001154	1.4
0.001231	-1.2	0.001231	1.2
0.001308	-1.3	0.001308	1
0.001385	-1.4	0.001385	0.8
0.001461	-1.5	0.001461	0.6
0.001538	-1.6	0.001538	0.4
0.001615	-1.7	0.001615	0.2
0.001692	-1.8	0.001692	0
0.001769	-1.9	0.001769	-0.2
0.001846	-2	0.001846	-0.4
0.001923	-2.1	0.001923	-0.6
0.002	-2.2	0.002	-0.8
0.002077	-2.3	0.002077	-0.9
0.002154	-2.4	0.002154	-1.1
0.002231	-2.5	0.002231	-1.3
0.002308	-2.6	0.002308	-1.5
0.002385	-2.6	0.002385	-1.7
0.002461	-2.7	0.002461	-1.9
0.002538	-2.8	0.002538	-2
0.002615	-2.8	0.002615	-2.2
0.002692	-2.9	0.002692	-2.4
0.002769	-2.9	0.002769	-2.5
0.002846	-2.9	0.002846	-2.7
0.002923	-3	0.002923	-2.8
0.003	-3	0.003	-2.9
0.003077	-3	0.003077	-3.1
0.003154	-3	0.003154	-3.2
0.003231	-3	0.003231	-3.3
0.003308	-3	0.003308	-3.4
0.003384	-2.9	0.003384	-3.5
0.003461	-2.9	0.003461	-3.6
0.003538	-2.9	0.003538	-3.7
0.003615	-2.8	0.003615	-3.7
0.003692	-2.8	0.003692	-3.8
0.003769	-2.7	0.003769	-3.8
0.003846	-2.6	0.003846	-3.9
0.003923	-2.6	0.003923	-3.9
0.004	-2.5	0.004	-4
0.004077	-2.4	0.004077	-4
0.004154	-2.3	0.004154	-4
0.004231	-2.2	0.004231	-4
0.004308	-2.1	0.004308	-4
0.004384	-2	0.004384	-3.9
0.004461	-1.9	0.004461	-3.9
0.004538	-1.8	0.004538	-3.8
0.004615	-1.6	0.004615	-3.8
0.004692	-1.5	0.004692	-3.7
0.004769	-1.4	0.004769	-3.7
0.004846	-1.2	0.004846	-3.6
0.004923	-1.1	0.004923	-3.5
0.005	-0.9	0.005	-3.4
0.005077	-0.8	0.005077	-3.3
0.005154	-0.6	0.005154	-3.2
0.005231	-0.5	0.005231	-3.1
0.005307	-0.4	0.005307	-2.9
0.005384	-0.2	0.005384	-2.8
0.005461	-0.1	0.005461	-2.7
0.005538	0.1	0.005538	-2.5
0.005615	0.2	0.005615	-2.4
0.005692	0.3	0.005692	-2.2
0.005769	0.5	0.005769	-2
0.005846	0.6	0.005846	-1.9
0.005923	0.7	0.005923	-1.7
0.006	0.9	0.006	-1.5
0.006077	1	0.006077	-1.3
0.006154	1.1	0.006154	-1.1
0.006231	1.2	0.006231	-1
0.006307	1.3	0.006307	-0.8
0.006384	1.5	0.006384	-0.6
0.006461	1.6	0.006461	-0.4
0.006538	1.7	0.006538	-0.2
0.006615	1.8	0.006615	0
0.006692	1.9	0.006692	0.2
0.006769	2	0.006769	0.4
0.006846	2.1	0.006846	0.6
0.006923	2.2	0.006923	0.8
0.007	2.3	0.007	1
0.007077	2.4	0.007077	1.2
0.007154	2.5	0.007154	1.4
0.00723	2.5	0.00723	1.5
0.007307	2.6	0.007307	1.7
0.007384	2.7	0.007384	1.9
0.007461	2.7	0.007461	2.1
0.007538	2.8	0.007538	2.2
0.007615	2.9	0.007615	2.4
0.007692	2.9	0.007692	2.6
0.007769	2.9	0.007769	2.7
0.007846	3	0.007846	2.9
0.007923	3	0.007923	3
0.008	3	0.008	3.1
0.008077	3	0.008077	3.3
0.008154	3	0.008154	3.4
0.00823	3	0.00823	3.5
0.008307	2.9	0.008307	3.6
0.008384	2.9	0.008384	3.7
0.008461	2.9	0.008461	3.8
0.008538	2.8	0.008538	3.8
0.008615	2.8	0.008615	3.9
0.008692	2.7	0.008692	4
0.008769	2.7	0.008769	4
