Frequency [Hz]	Voltage [V]
6.990000E+1	4.884524E-1
1.298000E+2	4.877986E-1
1.897000E+2	4.864912E-1
2.496000E+2	4.851838E-1
3.095000E+2	4.832226E-1
3.694000E+2	4.799540E-1
4.293000E+2	4.773391E-1
4.892000E+2	4.737437E-1
5.491000E+2	4.698214E-1
6.090000E+2	4.662259E-1
6.689000E+2	4.623036E-1
7.288000E+2	4.567470E-1
7.887000E+2	4.498830E-1
8.486000E+2	4.420383E-1
9.085000E+2	4.305983E-1
9.684000E+2	4.217731E-1
1.028300E+3	4.093524E-1
1.088200E+3	3.959512E-1
1.148100E+3	3.796082E-1
1.208000E+3	3.609772E-1
1.267900E+3	3.407120E-1
1.327800E+3	3.184855E-1
1.387700E+3	2.874339E-1
1.447600E+3	2.678223E-1
1.507500E+3	2.387319E-1
1.567400E+3	2.063728E-1
1.627300E+3	1.746674E-1
1.687200E+3	1.400203E-1
1.747100E+3	1.066807E-1
1.807000E+3	7.236047E-2
1.866900E+3	4.130884E-2
1.926800E+3	2.365843E-2
1.986700E+3	4.686544E-2
2.046600E+3	7.562906E-2
2.106500E+3	1.050464E-1
2.166400E+3	1.318489E-1
2.226300E+3	1.576707E-1
2.286200E+3	1.818583E-1
2.346100E+3	2.047385E-1
2.406000E+3	2.240232E-1
2.465900E+3	2.426542E-1
2.525800E+3	2.603046E-1
2.585700E+3	2.759938E-1
2.645600E+3	2.903756E-1
2.705500E+3	3.041037E-1
2.765400E+3	3.155438E-1
2.825300E+3	3.263301E-1
2.885200E+3	3.371165E-1
2.945100E+3	3.462686E-1
3.005000E+3	3.550938E-1
3.064900E+3	3.632652E-1
3.124800E+3	3.704561E-1
3.184700E+3	3.779739E-1
3.244600E+3	3.841842E-1
3.304500E+3	3.897408E-1
3.364400E+3	3.946437E-1
3.424300E+3	3.998735E-1
3.484200E+3	4.044495E-1
3.544100E+3	4.086987E-1
3.604000E+3	4.129479E-1
3.663900E+3	4.165433E-1
3.723800E+3	4.204656E-1
3.783700E+3	4.240611E-1
3.843600E+3	4.270028E-1
3.903500E+3	4.299445E-1
3.963400E+3	4.322326E-1
4.023300E+3	4.345206E-1
4.083200E+3	4.371354E-1
4.143100E+3	4.390966E-1
4.203000E+3	4.413846E-1
4.262900E+3	4.443264E-1
4.322800E+3	4.453069E-1
4.382700E+3	4.482487E-1
4.442600E+3	4.495561E-1
4.502500E+3	4.511904E-1
4.562400E+3	4.521710E-1
4.622300E+3	4.538053E-1
4.682200E+3	4.557664E-1
4.742100E+3	4.564201E-1
4.802000E+3	4.580544E-1
4.861900E+3	4.593619E-1
4.921800E+3	4.603425E-1
4.981700E+3	4.613230E-1
5.041600E+3	4.619768E-1
5.101500E+3	4.626305E-1
5.161400E+3	4.629573E-1
5.221300E+3	4.636110E-1
5.281200E+3	4.642648E-1
5.341100E+3	4.652453E-1
5.401000E+3	4.655722E-1
5.460900E+3	4.665528E-1
5.520800E+3	4.668796E-1
5.580700E+3	4.678602E-1
5.640600E+3	4.685139E-1
5.700500E+3	4.681871E-1
5.760400E+3	4.691677E-1
5.820300E+3	4.694945E-1
5.880200E+3	4.694945E-1
5.940100E+3	4.691677E-1
6.000000E+3	4.694945E-1
