 Frequency [Hz] - Resonance Curve	Volatge [V] - Resonance Curve	
1001.50	0.28	
1003.00	0.28	
1004.50	0.28	
1006.00	0.28	
1007.50	0.27	
1009.00	0.27	
1010.50	0.27	
1012.00	0.27	
1013.50	0.27	
1015.00	0.27	
1016.50	0.27	
1018.00	0.27	
1019.50	0.27	
1021.00	0.27	
1022.50	0.27	
1024.00	0.27	
1025.50	0.27	
1027.00	0.27	
1028.50	0.27	
1030.00	0.27	
1031.50	0.27	
1033.00	0.27	
1034.50	0.27	
1036.00	0.27	
1037.50	0.26	
1039.00	0.26	
1040.50	0.26	
1042.00	0.26	
1043.50	0.26	
1045.00	0.26	
1046.50	0.26	
1048.00	0.26	
1049.50	0.26	
1051.00	0.26	
1052.50	0.26	
1054.00	0.26	
1055.50	0.26	
1057.00	0.26	
1058.50	0.26	
1060.00	0.26	
1061.50	0.26	
1063.00	0.26	
1064.50	0.26	
1066.00	0.26	
1067.50	0.26	
1069.00	0.25	
1070.50	0.25	
1072.00	0.25	
1073.50	0.25	
1075.00	0.25	
1076.50	0.25	
1078.00	0.25	
1079.50	0.25	
1081.00	0.25	
1082.50	0.25	
1084.00	0.25	
1085.50	0.25	
1087.00	0.25	
1088.50	0.25	
1090.00	0.25	
1091.50	0.25	
1093.00	0.25	
1094.50	0.25	
1096.00	0.25	
1097.50	0.25	
1099.00	0.24	
1100.50	0.24	
1102.00	0.24	
1103.50	0.24	
1105.00	0.24	
1106.50	0.24	
1108.00	0.24	
1109.50	0.24	
1111.00	0.24	
1112.50	0.24	
1114.00	0.24	
1115.50	0.24	
1117.00	0.24	
1118.50	0.24	
1120.00	0.24	
1121.50	0.24	
1123.00	0.24	
1124.50	0.24	
1126.00	0.24	
1127.50	0.24	
1129.00	0.23	
1130.50	0.23	
1132.00	0.23	
1133.50	0.23	
1135.00	0.23	
1136.50	0.23	
1138.00	0.23	
1139.50	0.23	
1141.00	0.23	
1142.50	0.23	
1144.00	0.23	
1145.50	0.23	
1147.00	0.23	
1148.50	0.23	
1150.00	0.23	
1151.50	0.23	
1153.00	0.23	
1154.50	0.23	
1156.00	0.23	
1157.50	0.23	
1159.00	0.22	
1160.50	0.22	
1162.00	0.22	
1163.50	0.22	
1165.00	0.22	
1166.50	0.22	
1168.00	0.22	
1169.50	0.22	
1171.00	0.22	
1172.50	0.22	
1174.00	0.22	
1175.50	0.22	
1177.00	0.22	
1178.50	0.22	
1180.00	0.22	
1181.50	0.22	
1183.00	0.22	
1184.50	0.22	
1186.00	0.22	
1187.50	0.22	
1189.00	0.22	
1190.50	0.21	
1192.00	0.21	
1193.50	0.21	
1195.00	0.21	
1196.50	0.21	
1198.00	0.21	
1199.50	0.21	
1201.00	0.21	
1202.50	0.21	
1204.00	0.21	
1205.50	0.21	
1207.00	0.21	
1208.50	0.21	
1210.00	0.21	
1211.50	0.21	
1213.00	0.21	
1214.50	0.21	
1216.00	0.21	
1217.50	0.21	
1219.00	0.21	
1220.50	0.20	
1222.00	0.20	
1223.50	0.20	
1225.00	0.20	
1226.50	0.20	
1228.00	0.20	
1229.50	0.20	
1231.00	0.20	
1232.50	0.20	
1234.00	0.20	
1235.50	0.20	
1237.00	0.20	
1238.50	0.20	
1240.00	0.20	
1241.50	0.20	
1243.00	0.20	
1244.50	0.20	
1246.00	0.20	
1247.50	0.20	
1249.00	0.20	
1250.50	0.20	
1252.00	0.19	
1253.50	0.19	
1255.00	0.19	
1256.50	0.19	
1258.00	0.19	
1259.50	0.19	
1261.00	0.19	
1262.50	0.19	
1264.00	0.19	
1265.50	0.19	
1267.00	0.19	
1268.50	0.19	
1270.00	0.19	
1271.50	0.19	
1273.00	0.19	
1274.50	0.19	
1276.00	0.19	
1277.50	0.19	
1279.00	0.19	
1280.50	0.19	
1282.00	0.19	
1283.50	0.18	
1285.00	0.18	
1286.50	0.18	
1288.00	0.18	
1289.50	0.18	
1291.00	0.18	
1292.50	0.18	
1294.00	0.18	
1295.50	0.18	
1297.00	0.18	
1298.50	0.18	
1300.00	0.18	
1301.50	0.18	
1303.00	0.18	
1304.50	0.18	
1306.00	0.18	
1307.50	0.18	
1309.00	0.18	
1310.50	0.18	
1312.00	0.18	
1313.50	0.18	
1315.00	0.17	
1316.50	0.17	
1318.00	0.17	
1319.50	0.17	
1321.00	0.17	
1322.50	0.17	
1324.00	0.17	
1325.50	0.17	
1327.00	0.17	
1328.50	0.17	
1330.00	0.17	
1331.50	0.17	
1333.00	0.17	
1334.50	0.17	
1336.00	0.17	
1337.50	0.17	
1339.00	0.17	
1340.50	0.17	
1342.00	0.17	
1343.50	0.17	
1345.00	0.17	
1346.50	0.16	
1348.00	0.16	
1349.50	0.16	
1351.00	0.16	
1352.50	0.16	
1354.00	0.16	
1355.50	0.16	
1357.00	0.16	
1358.50	0.16	
1360.00	0.16	
1361.50	0.16	
1363.00	0.16	
1364.50	0.16	
1366.00	0.16	
1367.50	0.16	
1369.00	0.16	
1370.50	0.16	
1372.00	0.16	
1373.50	0.16	
1375.00	0.16	
1376.50	0.16	
1378.00	0.15	
1379.50	0.15	
1381.00	0.15	
1382.50	0.15	
1384.00	0.15	
1385.50	0.15	
1387.00	0.15	
1388.50	0.15	
1390.00	0.15	
1391.50	0.15	
1393.00	0.15	
1394.50	0.15	
1396.00	0.15	
1397.50	0.15	
1399.00	0.15	
1400.50	0.15	
1402.00	0.15	
1403.50	0.15	
1405.00	0.15	
1406.50	0.15	
1408.00	0.15	
1409.50	0.15	
1411.00	0.14	
1412.50	0.14	
1414.00	0.14	
1415.50	0.14	
1417.00	0.14	
1418.50	0.14	
1420.00	0.14	
1421.50	0.14	
1423.00	0.14	
1424.50	0.14	
1426.00	0.14	
1427.50	0.14	
1429.00	0.14	
1430.50	0.14	
1432.00	0.14	
1433.50	0.14	
1435.00	0.14	
1436.50	0.14	
1438.00	0.14	
1439.50	0.14	
1441.00	0.14	
1442.50	0.14	
1444.00	0.13	
1445.50	0.13	
1447.00	0.13	
1448.50	0.13	
1450.00	0.13	
1451.50	0.13	
1453.00	0.13	
1454.50	0.13	
1456.00	0.13	
1457.50	0.13	
1459.00	0.13	
1460.50	0.13	
1462.00	0.13	
1463.50	0.13	
1465.00	0.13	
1466.50	0.13	
1468.00	0.13	
1469.50	0.13	
1471.00	0.13	
1472.50	0.13	
1474.00	0.13	
1475.50	0.13	
1477.00	0.12	
1478.50	0.12	
1480.00	0.12	
1481.50	0.12	
1483.00	0.12	
1484.50	0.12	
1486.00	0.12	
1487.50	0.12	
1489.00	0.12	
1490.50	0.12	
1492.00	0.12	
1493.50	0.12	
1495.00	0.12	
1496.50	0.12	
1498.00	0.12	
1499.50	0.12	
1501.00	0.12	
1502.50	0.12	
1504.00	0.12	
1505.50	0.12	
1507.00	0.12	
1508.50	0.12	
1510.00	0.11	
1511.50	0.11	
1513.00	0.11	
1514.50	0.11	
1516.00	0.11	
1517.50	0.11	
1519.00	0.11	
1520.50	0.11	
1522.00	0.11	
1523.50	0.11	
1525.00	0.11	
1526.50	0.11	
1528.00	0.11	
1529.50	0.11	
1531.00	0.11	
1532.50	0.11	
1534.00	0.11	
1535.50	0.11	
1537.00	0.11	
1538.50	0.11	
1540.00	0.11	
1541.50	0.11	
1543.00	0.11	
1544.50	0.10	
1546.00	0.10	
1547.50	0.10	
1549.00	0.10	
1550.50	0.10	
1552.00	0.10	
1553.50	0.10	
1555.00	0.10	
1556.50	0.10	
1558.00	0.10	
1559.50	0.10	
1561.00	0.10	
1562.50	0.10	
1564.00	0.10	
1565.50	0.10	
1567.00	0.10	
1568.50	0.10	
1570.00	0.10	
1571.50	0.10	
1573.00	0.10	
1574.50	0.10	
1576.00	0.10	
1577.50	0.10	
1579.00	0.09	
1580.50	0.09	
1582.00	0.09	
1583.50	0.09	
1585.00	0.09	
1586.50	0.09	
1588.00	0.09	
1589.50	0.09	
1591.00	0.09	
1592.50	0.09	
1594.00	0.09	
1595.50	0.09	
1597.00	0.09	
1598.50	0.09	
1600.00	0.09	
1601.50	0.09	
1603.00	0.09	
1604.50	0.09	
1606.00	0.09	
1607.50	0.09	
1609.00	0.09	
1610.50	0.09	
1612.00	0.09	
1613.50	0.08	
1615.00	0.08	
1616.50	0.08	
1618.00	0.08	
1619.50	0.08	
1621.00	0.08	
1622.50	0.08	
1624.00	0.08	
1625.50	0.08	
1627.00	0.08	
1628.50	0.08	
1630.00	0.08	
1631.50	0.08	
1633.00	0.08	
1634.50	0.08	
1636.00	0.08	
1637.50	0.08	
1639.00	0.08	
1640.50	0.08	
1642.00	0.08	
1643.50	0.08	
1645.00	0.08	
1646.50	0.08	
1648.00	0.08	
1649.50	0.07	
1651.00	0.07	
1652.50	0.07	
1654.00	0.07	
1655.50	0.07	
1657.00	0.07	
1658.50	0.07	
1660.00	0.07	
1661.50	0.07	
1663.00	0.07	
1664.50	0.07	
1666.00	0.07	
1667.50	0.07	
1669.00	0.07	
1670.50	0.07	
