 Frequency [Hz] - Resonance Curve	Voltage [V] - Resonance Curve	
1001.50	0.08	
1003.00	0.08	
1004.50	0.08	
1006.00	0.08	
1007.50	0.08	
1009.00	0.08	
1010.50	0.08	
1012.00	0.08	
1013.50	0.08	
1015.00	0.08	
1016.50	0.08	
1018.00	0.08	
1019.50	0.08	
1021.00	0.08	
1022.50	0.08	
1024.00	0.08	
1025.50	0.09	
1027.00	0.09	
1028.50	0.09	
1030.00	0.09	
1031.50	0.09	
1033.00	0.09	
1034.50	0.09	
1036.00	0.09	
1037.50	0.09	
1039.00	0.09	
1040.50	0.09	
1042.00	0.09	
1043.50	0.09	
1045.00	0.09	
1046.50	0.09	
1048.00	0.09	
1049.50	0.09	
1051.00	0.09	
1052.50	0.09	
1054.00	0.09	
1055.50	0.09	
1057.00	0.09	
1058.50	0.09	
1060.00	0.09	
1061.50	0.09	
1063.00	0.09	
1064.50	0.09	
1066.00	0.09	
1067.50	0.09	
1069.00	0.09	
1070.50	0.09	
1072.00	0.09	
1073.50	0.09	
1075.00	0.09	
1076.50	0.09	
1078.00	0.09	
1079.50	0.09	
1081.00	0.09	
1082.50	0.09	
1084.00	0.09	
1085.50	0.09	
1087.00	0.09	
1088.50	0.09	
1090.00	0.09	
1091.50	0.10	
1093.00	0.10	
1094.50	0.10	
1096.00	0.10	
1097.50	0.10	
1099.00	0.10	
1100.50	0.10	
1102.00	0.10	
1103.50	0.10	
1105.00	0.10	
1106.50	0.10	
1108.00	0.10	
1109.50	0.10	
1111.00	0.10	
1112.50	0.10	
1114.00	0.10	
1115.50	0.10	
1117.00	0.10	
1118.50	0.10	
1120.00	0.10	
1121.50	0.10	
1123.00	0.10	
1124.50	0.10	
1126.00	0.10	
1127.50	0.10	
1129.00	0.10	
1130.50	0.10	
1132.00	0.10	
1133.50	0.10	
1135.00	0.10	
1136.50	0.10	
1138.00	0.10	
1139.50	0.10	
1141.00	0.10	
1142.50	0.10	
1144.00	0.10	
1145.50	0.10	
1147.00	0.10	
1148.50	0.11	
1150.00	0.11	
1151.50	0.11	
1153.00	0.11	
1154.50	0.11	
1156.00	0.11	
1157.50	0.11	
1159.00	0.11	
1160.50	0.11	
1162.00	0.11	
1163.50	0.11	
1165.00	0.11	
1166.50	0.11	
1168.00	0.11	
1169.50	0.11	
1171.00	0.11	
1172.50	0.11	
1174.00	0.11	
1175.50	0.11	
1177.00	0.11	
1178.50	0.11	
1180.00	0.11	
1181.50	0.11	
1183.00	0.11	
1184.50	0.11	
1186.00	0.11	
1187.50	0.11	
1189.00	0.11	
1190.50	0.11	
1192.00	0.11	
1193.50	0.11	
1195.00	0.11	
1196.50	0.11	
1198.00	0.11	
1199.50	0.11	
1201.00	0.12	
1202.50	0.12	
1204.00	0.12	
1205.50	0.12	
1207.00	0.12	
1208.50	0.12	
1210.00	0.12	
1211.50	0.12	
1213.00	0.12	
1214.50	0.12	
1216.00	0.12	
1217.50	0.12	
1219.00	0.12	
1220.50	0.12	
1222.00	0.12	
1223.50	0.12	
1225.00	0.12	
1226.50	0.12	
1228.00	0.12	
1229.50	0.12	
1231.00	0.12	
1232.50	0.12	
1234.00	0.12	
