Source: ,Na-22                                     ,     ,
d1      ,15 cm                                     ,     ,
d2      ,15 cm                                     ,     ,
TSCA 1  ,Window set tightly on 0.511 MeV photopeak ,     ,
TSCA 2  ,Window set tightly on 0.511 MeV photopeak ,     ,
deltat  ,30.0 s                                    ,     ,
        ,                                          ,     ,
theta   ,N1                                        ,N2   ,Nco
-90     ,2397                                      ,2790 ,3
-80     ,2307                                      ,2859 ,0
-70     ,2427                                      ,2829 ,0
-60     ,2496                                      ,2868 ,3
-50     ,2421                                      ,2796 ,3
-40     ,2403                                      ,2928 ,0
-30     ,2352                                      ,2871 ,0
-25     ,2499                                      ,2796 ,0
-20     ,2397                                      ,2922 ,6
-18     ,2412                                      ,2862 ,3
-16     ,2520                                      ,2889 ,15
-14     ,2496                                      ,2781 ,30
-12     ,2370                                      ,2793 ,87
-10     ,2313                                      ,2892 ,180
-8      ,2463                                      ,2907 ,282
-6      ,2484                                      ,2940 ,336
-5      ,2508                                      ,2919 ,390
-4      ,2421                                      ,2898 ,465
-3      ,2478                                      ,2844 ,573
-2      ,2379                                      ,2877 ,609
-1      ,2325                                      ,2790 ,669
0       ,2424                                      ,2904 ,699
1       ,2400                                      ,2865 ,690
2       ,2334                                      ,2790 ,648
3       ,2364                                      ,2829 ,573
4       ,2430                                      ,2832 ,516
5       ,2331                                      ,2853 ,453
6       ,2319                                      ,2802 ,306
8       ,2355                                      ,2868 ,213
10      ,2523                                      ,2772 ,108
12      ,2427                                      ,2829 ,57
14      ,2358                                      ,2898 ,15
16      ,2409                                      ,2790 ,6
18      ,2508                                      ,2907 ,6
20      ,2319                                      ,2862 ,3
25      ,2499                                      ,2850 ,0
30      ,2454                                      ,2805 ,0
40      ,2433                                      ,2829 ,3
50      ,2523                                      ,2877 ,0
60      ,2367                                      ,2763 ,6
70      ,2391                                      ,2838 ,0
80      ,2427                                      ,2781 ,0
90      ,2436                                      ,2901 ,0
