Source: ,Na-22            ,     ,    ,
d1      ,15.0 cm          ,     ,    ,
d2      ,30.0 cm          ,     ,    ,
TSCA 1  ,Window wide open ,     ,    ,
TSCA 2  ,Window wide open ,     ,    ,
deltat  ,30.0 s           ,     ,    ,
        ,                 ,     ,    ,
theta   ,N1               ,N2   ,Nco ,
-90     ,5991             ,3522 ,12  , 
-80     ,6429             ,3698 ,8   , 
-70     ,6129             ,3497 ,3   , 
-60     ,6219             ,3561 ,15  , 
-50     ,5997             ,3596 ,9   , 
-40     ,6044             ,3732 ,12  ,
-30     ,6100             ,3678 ,12  ,
-25     ,6179             ,3722 ,6   ,
-20     ,6296             ,3618 ,3   ,
-18     ,6195             ,3741 ,3   ,
-16     ,6145             ,3607 ,6   ,
-14     ,6147             ,3786 ,9   ,
-12     ,6151             ,3747 ,9   ,
-10     ,6375             ,3602 ,6   ,
-8      ,6207             ,3795 ,24  ,
-6      ,6353             ,3651 ,39  ,
-5      ,6315             ,3605 ,123 ,
-4      ,6218             ,3729 ,267 ,
-3      ,6324             ,3734 ,360 ,
-2      ,6162             ,3699 ,468 ,
-1      ,6007             ,3773 ,513 ,
0       ,6105             ,3764 ,564 ,
1       ,6377             ,3746 ,525 ,
2       ,6397             ,3699 ,498 ,
3       ,6247             ,3793 ,420 ,
4       ,6293             ,3738 ,315 ,
5       ,6190             ,3750 ,237 ,
6       ,6135             ,3726 ,123 ,
8       ,6036             ,3795 ,45  ,
10      ,6290             ,3655 ,24  ,
12      ,6116             ,3783 ,12  ,
14      ,6317             ,3660 ,12  ,
16      ,6335             ,3709 ,9   ,
18      ,6037             ,3698 ,15  ,
20      ,6249             ,3670 ,3   ,
25      ,6199             ,3689 ,6   ,
30      ,6394             ,3773 ,15  ,
40      ,6185             ,3622 ,9   ,
50      ,6358             ,3767 ,12  ,
60      ,6023             ,3644 ,3   ,
70      ,6363             ,3750 ,3   ,
80      ,6311             ,3717 ,12  ,
90      ,6311             ,3675 ,15  ,
