Detector:,Blue (2)
Source:,Co-60
Gating:,Blue (2) on full spectrum (low threshold)
Seconds:,197
,
Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,2
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,1
23,0
24,0
25,0
26,0
27,0
28,0
29,1
30,0
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,1
43,0
44,1
45,0
46,0
47,1
48,0
49,0
50,0
51,1
52,0
53,0
54,0
55,0
56,0
57,0
58,1
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,1
71,0
72,1
73,0
74,4
75,151
76,495
77,495
78,518
79,453
80,504
81,493
82,497
83,496
84,457
85,445
86,441
87,447
88,484
89,430
90,428
91,437
92,431
93,420
94,402
95,407
96,411
97,411
98,405
99,392
100,398
101,374
102,409
103,405
104,396
105,379
106,363
107,387
108,361
109,351
110,375
111,369
112,348
113,342
114,311
115,348
116,296
117,319
118,332
119,335
120,314
121,311
122,318
123,321
124,279
125,325
126,279
127,281
128,259
129,282
130,284
131,246
132,265
133,258
134,246
135,260
136,267
137,271
138,250
139,260
140,237
141,233
142,263
143,233
144,246
145,267
146,200
147,255
148,221
149,226
150,243
151,207
152,226
153,227
154,206
155,245
156,254
157,253
158,235
159,233
160,241
161,226
162,232
163,249
164,230
165,234
166,218
167,228
168,239
169,210
170,234
171,231
172,257
173,214
174,237
175,194
176,237
177,217
178,217
179,219
180,208
181,234
182,213
183,220
184,243
185,218
186,199
187,221
188,224
189,228
190,194
191,203
192,239
193,201
194,195
195,197
196,236
197,220
198,223
199,243
200,223
201,213
202,238
203,205
204,213
205,224
206,226
207,228
208,226
209,239
210,227
211,206
212,194
213,229
214,229
215,234
216,243
217,234
218,224
219,246
220,200
221,212
222,226
223,250
224,227
225,239
226,217
227,212
228,233
229,188
230,226
231,231
232,201
233,241
234,208
235,257
236,210
237,230
238,215
239,229
240,212
241,219
242,230
243,220
244,227
245,226
246,232
247,223
248,214
249,213
250,237
251,227
252,216
253,216
254,244
255,212
256,221
257,233
258,232
259,208
260,238
261,221
262,243
263,216
264,227
265,236
266,236
267,236
268,227
269,227
270,248
271,216
272,230
273,262
274,267
275,215
276,265
277,248
278,228
279,232
280,224
281,229
282,262
283,232
284,260
285,246
286,273
287,234
288,253
289,254
290,231
291,243
292,250
293,274
294,275
295,280
296,266
297,268
298,289
299,260
300,262
301,267
302,259
303,276
304,264
305,255
306,250
307,292
308,293
309,265
310,297
311,281
312,307
313,317
314,281
315,270
316,250
317,281
318,264
319,307
320,261
321,269
322,257
323,293
324,270
325,228
326,237
327,249
328,261
329,238
330,263
331,206
332,244
333,236
334,201
335,207
336,225
337,188
338,200
339,217
340,204
341,184
342,184
343,160
344,181
345,184
346,196
347,180
348,158
349,167
350,168
351,180
352,174
353,189
354,189
355,203
356,182
357,161
358,196
359,173
360,174
361,152
362,170
363,157
364,161
365,184
366,150
367,157
368,183
369,172
370,180
371,181
372,159
373,157
374,148
375,168
376,144
377,160
378,169
379,145
380,117
381,131
382,131
383,151
384,144
385,115
386,124
387,150
388,140
389,159
390,157
391,204
392,188
393,230
394,237
395,284
396,315
397,310
