Detector:,Blue (2)
Source:,Na-22
Gating:,Blue (2) on full spectrum (low threshold)
Seconds:,2600
,
Channel,Counts
0,0
1,0
2,0
3,0
4,1
5,0
6,0
7,0
8,1
9,1
10,10
11,27
12,8
13,0
14,4
15,2
16,2
17,3
18,4
19,2
20,9
21,3
22,8
23,8
24,4
25,4
26,7
27,9
28,9
29,8
30,11
31,7
32,8
33,7
34,12
35,10
36,6
37,10
38,9
39,10
40,18
41,13
42,11
43,11
44,10
45,5
46,9
47,16
48,12
49,10
50,20
51,59
52,2918
53,10243
54,10922
55,11067
56,11215
57,11462
58,11309
59,11901
60,11413
61,11692
62,11365
63,11368
64,11407
65,11274
66,11175
67,11031
68,11319
69,11250
70,11182
71,11086
72,11170
73,11257
74,10992
75,11138
76,11252
77,11019
78,11044
79,10852
80,10651
81,10599
82,10344
83,10420
84,10336
85,9681
86,9864
87,9446
88,9320
89,9058
90,8955
91,8922
92,8509
93,8292
94,8325
95,7862
96,8070
97,8055
98,8035
99,8159
100,7903
101,7820
102,7950
103,7731
104,7711
105,7660
106,7837
107,7822
108,7631
109,7489
110,7478
111,7283
112,7009
113,7025
114,6581
115,6399
116,5939
117,5733
118,5516
119,5262
120,4881
121,4644
122,4402
123,4230
124,3970
125,3835
126,3481
127,3434
128,3238
129,3158
130,3041
131,3018
132,2849
133,2770
134,2748
135,2554
136,2512
137,2470
138,2438
139,2398
140,2353
141,2357
142,2223
143,2204
144,2197
145,2163
146,2172
147,2103
148,2127
149,2021
150,2071
151,1966
152,2077
153,1996
154,2027
155,2076
156,2017
157,2127
158,2112
159,2137
160,2215
161,2347
162,2608
163,3001
164,3533
165,4276
166,5088
167,6271
168,7753
169,9811
170,11913
171,14593
172,17581
173,20574
174,23734
175,27529
176,30503
177,33484
178,35907
179,38428
180,39356
181,39981
182,39966
183,38509
184,37312
185,34604
186,32238
187,29386
188,26201
189,22965
190,19354
191,16384
192,13826
193,11363
194,8974
195,7407
196,5830
197,4676
198,3690
199,3083
200,2497
201,2160
202,1958
203,1722
204,1628
205,1575
206,1492
207,1494
208,1372
209,1366
210,1372
211,1374
212,1358
213,1381
214,1337
215,1310
216,1318
217,1271
218,1290
219,1261
220,1347
221,1245
222,1228
223,1189
224,1254
225,1203
226,1215
227,1204
228,1168
229,1065
230,1131
231,1094
232,1164
233,1202
234,1164
235,1153
236,1207
237,1081
238,1109
239,1208
240,1142
241,1168
242,1179
243,1243
244,1144
245,1205
246,1126
247,1173
248,1224
249,1172
250,1178
251,1145
252,1105
253,1095
254,1164
255,1141
256,1174
257,1197
258,1188
259,1122
260,1212
261,1083
262,1166
263,1125
264,1161
265,1111
266,1192
267,1159
268,1180
269,1114
270,1195
271,1203
272,1152
273,1208
274,1217
275,1108
276,1229
277,1189
278,1240
279,1122
280,1145
281,1218
282,1151
283,1181
284,1183
285,1152
286,1194
287,1219
288,1185
289,1189
290,1151
291,1200
292,1197
293,1180
294,1222
295,1139
296,1199
297,1182
298,1137
299,1182
300,1185
301,1202
302,1136
303,1216
304,1163
305,1201
306,1156
307,1226
308,1238
309,1249
310,1264
311,1234
312,1177
313,1192
314,1238
315,1231
316,1258
317,1291
318,1262
319,1280
320,1300
321,1252
322,1266
323,1284
324,1272
325,1342
326,1299
327,1289
328,1383
329,1324
330,1356
331,1331
332,1365
333,1324
334,1364
335,1416
336,1346
337,1331
338,1377
339,1374
340,1420
341,1339
342,1380
343,1319
344,1366
345,1419
346,1406
347,1403
348,1363
349,1408
350,1383
351,1419
352,1455
353,1342
354,1337
355,1363
356,1302
357,1336
358,1355
359,1234
360,1390
361,1331
362,1349
363,1316
364,1221
365,1201
366,1221
367,1148
368,1096
369,1099
370,1051
371,964
372,967
373,954
374,850
375,844
376,864
377,754
378,816
379,691
380,742
381,695
382,657
383,618
384,615
385,616
386,584
387,514
388,536
389,516
390,475
391,470
392,422
393,425
394,451
395,371
396,345
397,376
398,353
399,344
400,338
401,332
402,336
403,318
404,298
405,282
406,297
407,263
408,257
409,279
410,289
411,290
412,261
413,260
414,278
415,282
416,298
417,335
418,323
419,344
420,373
421,422
422,484
423,524
424,612
425,737
426,805
427,873
428,1029
429,1134
430,1308
431,1402
432,1558
433,1753
434,1877
435,2149
436,2348
437,2463
438,2800
439,2837
440,3180
441,3244
442,3363
443,3598
444,3708
445,3935
446,4032
447,3912
448,4035
449,4070
450,4155
451,4054
452,4137
453,3956
454,3873
455,3868
456,3737
457,3552
458,3338
459,3198
460,3022
461,2910
462,2831
463,2536
464,2256
465,2178
466,2043
467,1754
468,1594
469,1421
470,1309
471,1188
472,1015
473,919
474,842
475,745
476,635
477,504
478,509
479,439
480,390
481,318
482,267
483,280
484,257
485,235
486,237
487,178
488,177
489,163
490,197
491,179
492,164
493,155
494,183
495,164
496,168
497,179
498,145
499,169
500,159
501,181
502,189
503,181
504,176
505,173
506,180
507,185
508,216
509,171
510,168
511,206
512,185
513,208
514,185
515,209
516,165
517,186
518,188
519,171
520,161
521,174
522,161
523,168
524,145
525,135
526,141
527,159
528,153
529,142
530,147
531,149
532,134
533,140
534,105
535,105
536,107
537,107
538,115
539,117
540,106
541,80
542,105
543,95
544,90
545,98
546,87
547,96
548,90
549,79
550,77
551,86
552,78
553,89
554,86
555,73
556,85
557,74
558,77
559,69
560,64
561,57
562,62
563,55
564,62
565,56
566,56
567,55
568,49
569,42
570,46
571,58
572,46
573,36
574,43
575,50
576,40
577,43
578,32
579,50
580,33
581,37
582,40
583,25
584,42
585,28
586,34
587,40
588,35
589,35
590,35
591,37
592,35
593,34
594,39
595,32
596,27
597,43
598,40
599,38
600,32
601,43
602,46
603,43
604,45
605,38
606,49
607,57
608,41
609,50
610,68
611,67
612,73
613,66
614,59
615,79
616,51
617,71
618,74
619,46
620,79
621,82
622,82
623,76
624,83
625,95
626,83
627,88
628,90
629,85
630,74
631,91
632,89
633,92
634,80
635,102
636,92
637,97
638,86
639,82
640,91
641,94
642,78
643,64
644,77
645,71
646,71
647,64
648,73
649,51
650,59
651,63
652,58
653,44
654,41
655,43
656,33
657,51
658,43
659,36
660,33
661,25
662,29
663,36
664,25
665,18
666,24
667,31
668,24
669,23
670,16
671,19
672,21
673,20
674,11
675,15
676,17
677,15
678,20
679,11
680,14
681,11
682,12
683,11
684,10
685,17
686,10
687,16
688,14
689,10
690,17
691,16
692,15
693,14
694,11
695,18
696,9
697,15
698,11
699,9
700,10
701,12
702,15
703,14
704,20
705,16
706,16
707,14
708,19
709,10
710,15
711,16
712,12
713,7
714,15
715,17
716,14
717,12
718,13
719,16
720,11
721,17
722,16
723,22
724,11
725,18
726,18
727,23
728,19
729,15
730,15
731,19
732,12
733,13
734,14
735,12
736,16
737,23
738,16
739,20
740,19
741,18
742,18
743,18
744,23
745,12
746,21
747,18
748,13
749,26
750,27
751,18
752,17
753,22
754,28
755,13
756,19
757,31
758,11
759,15
760,28
761,20
762,17
763,19
764,15
765,17
766,17
767,13
768,23
769,16
770,14
771,18
772,24
773,16
774,15
775,16
776,15
777,20
778,14
779,24
780,21
781,20
782,17
783,11
784,14
785,8
786,9
787,12
788,14
789,12
790,5
791,12
792,10
793,12
794,18
795,15
796,15
797,12
798,15
799,14
800,11
801,11
802,15
803,8
804,9
805,16
806,12
807,12
808,7
809,11
810,11
811,9
812,7
813,10
814,12
815,11
816,11
817,12
818,9
819,5
820,8
821,13
822,9
823,12
824,9
825,12
826,7
827,8
828,10
829,10
830,13
831,4
832,10
833,7
834,8
835,6
836,9
837,7
838,10
839,16
840,8
841,5
842,4
843,3
844,3
845,7
846,6
847,6
848,3
849,7
850,12
851,3
852,3
853,3
854,6
855,5
856,6
857,5
858,5
859,3
860,4
861,4
862,9
863,8
864,5
865,9
866,4
867,11
868,2
869,3
870,6
871,8
872,12
873,7
874,2
875,6
876,11
877,13
878,4
879,11
880,10
881,12
882,15
883,16
884,11
885,16
886,13
887,9
888,14
889,12
890,19
891,15
892,17
893,14
894,17
895,12
896,16
897,15
898,19
899,22
900,19
901,18
902,14
903,11
904,28
905,12
906,18
907,15
908,15
909,17
910,17
911,11
912,25
913,16
914,14
915,16
916,18
917,16
918,15
919,10
920,12
921,17
922,20
923,6
924,15
925,13
926,15
927,10
928,13
929,10
930,11
931,13
932,13
933,10
934,5
935,10
936,7
937,6
938,11
939,7
940,5
941,7
942,7
943,6
944,7
