Detector:,Red (1)
Source:,Na-22
Gating:,Blue (2) on 0.511 MeV photopeak
Seconds:,5275
,
Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,2
10,3
11,14
12,6
13,10
14,216
15,1737
16,2037
17,2071
18,2253
19,2408
20,2513
21,2660
22,2670
23,2667
24,2819
25,2827
26,2962
27,2955
28,2805
29,2756
30,2689
31,2680
32,2657
33,2614
34,2549
35,2615
36,2400
37,2560
38,2490
39,2546
40,2455
41,2608
42,2410
43,2500
44,2538
45,2485
46,2516
47,2562
48,2478
49,2570
50,2507
51,2595
52,2445
53,2570
54,2619
55,2536
56,2608
57,2663
58,2650
59,2744
60,2787
61,2762
62,2824
63,2777
64,2703
65,2849
66,2704
67,2740
68,2842
69,2746
70,2752
71,2667
72,2572
73,2628
74,2599
75,2610
76,2645
77,2529
78,2461
79,2427
80,2450
81,2413
82,2366
83,2516
84,2485
85,2433
86,2422
87,2415
88,2428
89,2527
90,2436
91,2545
92,2491
93,2494
94,2531
95,2536
96,2600
97,2607
98,2572
99,2674
100,2708
101,2679
102,2652
103,2709
104,2598
105,2710
106,2778
107,2704
108,2772
109,2661
110,2467
111,2445
112,2222
113,1992
114,1822
115,1756
116,1539
117,1403
118,1222
119,1063
120,1006
121,871
122,803
123,703
124,697
125,653
126,633
127,579
128,518
129,471
130,447
131,438
132,467
133,400
134,383
135,338
136,296
137,309
138,324
139,337
140,296
141,291
142,259
143,290
144,317
145,255
146,262
147,257
148,246
149,295
150,269
151,253
152,251
153,284
154,297
155,261
156,308
157,312
158,306
159,396
160,493
161,640
162,930
163,1184
164,1677
165,2468
166,3365
167,4546
168,6035
169,7786
170,10009
171,12660
172,15167
173,17421
174,20064
175,22393
176,24643
177,26357
178,27000
179,27386
180,27006
181,25829
182,23908
183,22008
184,19296
185,16924
186,13968
187,11581
188,9378
189,7356
190,5777
191,4522
192,3290
193,2409
194,1788
195,1297
196,929
197,700
198,551
199,389
200,300
201,198
202,156
203,168
204,104
205,116
206,85
207,91
208,82
209,75
210,71
211,61
212,50
213,77
214,60
215,55
216,70
217,50
218,65
219,47
220,59
221,50
222,37
223,43
224,55
225,62
226,57
227,59
228,46
229,51
230,49
231,47
232,43
233,57
234,45
235,54
236,38
237,37
238,41
239,40
240,42
241,56
242,56
243,52
244,45
245,38
246,48
247,45
248,71
249,51
250,59
251,62
252,51
253,47
254,35
255,50
256,50
257,55
258,40
259,40
260,47
261,46
262,53
263,44
264,44
265,45
266,36
267,50
268,44
269,39
270,50
271,39
272,47
273,49
274,34
275,43
276,39
277,56
278,53
279,29
280,52
281,39
282,66
283,42
284,39
285,43
286,44
287,35
288,38
289,35
290,48
291,42
292,34
293,47
