Detector:,Blue (2)
Source:,Co-60
Gating:,None
Seconds:,355
,
Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,2
20,0
21,2
22,2
23,3
24,0
25,1
26,2
27,1
28,0
29,0
30,0
31,1
32,1
33,0
34,129
35,1557
36,1605
37,1536
38,1523
39,1478
40,1460
41,1432
42,1378
43,1434
44,1332
45,1288
46,1321
47,1308
48,1352
49,1218
50,1220
51,1249
52,1123
53,1133
54,1131
55,1168
56,1136
57,1044
58,1098
59,1031
60,975
61,1084
62,1045
63,986
64,1012
65,1026
66,1017
67,987
68,1020
69,984
70,1022
71,1013
72,1074
73,1078
74,1093
75,1043
76,1060
77,1108
78,1004
79,977
80,1027
81,940
82,995
83,965
84,943
85,835
86,926
87,887
88,874
89,790
90,843
91,832
92,837
93,794
94,841
95,786
96,822
97,806
98,799
99,802
100,795
101,774
102,817
103,764
104,761
105,753
106,747
107,748
108,723
109,675
110,675
111,687
112,630
113,693
114,693
115,622
116,636
117,624
118,617
119,634
120,628
121,671
122,596
123,624
124,603
125,577
126,561
127,541
128,558
129,538
130,569
131,468
132,529
133,524
134,513
135,516
136,507
137,478
138,532
139,472
140,449
141,497
142,482
143,501
144,478
145,465
146,505
147,439
148,428
149,424
150,429
151,449
152,434
153,458
154,424
155,436
156,473
157,457
158,455
159,476
160,434
161,452
162,461
163,407
164,436
165,422
166,422
167,433
168,416
169,452
170,426
171,389
172,456
173,438
174,408
175,449
176,461
177,381
178,418
179,442
180,457
181,453
182,466
183,428
184,398
185,428
186,398
187,456
188,440
189,424
190,406
191,401
192,371
193,422
194,409
195,415
196,421
197,415
198,429
199,407
200,409
201,376
202,439
203,427
204,436
205,468
206,414
207,418
208,433
209,443
210,468
211,421
212,430
213,450
214,429
215,404
216,424
217,413
218,401
219,405
220,405
221,455
222,454
223,411
224,419
225,418
226,439
227,417
228,428
229,434
230,388
231,441
232,450
233,364
234,427
235,398
236,417
237,433
238,447
239,408
240,409
241,415
242,416
243,462
244,430
245,417
246,420
247,434
248,421
249,455
250,462
251,428
252,398
253,457
254,415
255,406
256,461
257,442
258,468
259,458
260,417
261,472
262,419
263,411
264,443
265,434
266,429
267,458
268,465
269,421
270,445
271,439
272,443
273,485
274,449
275,447
276,442
277,439
278,440
279,434
280,483
281,433
282,467
283,485
284,444
285,445
286,497
287,434
288,480
289,465
290,472
291,477
292,519
293,511
294,531
295,504
296,536
297,521
298,494
299,487
300,484
301,539
302,492
303,470
304,495
305,533
306,494
307,539
308,503
309,552
310,494
311,542
312,545
313,541
314,527
315,575
316,544
317,500
318,522
319,512
320,513
321,524
322,538
323,509
324,499
325,513
326,484
327,481
328,546
329,515
330,473
331,476
332,434
333,404
334,425
335,434
336,382
337,424
338,373
339,412
340,405
341,365
342,373
343,379
344,346
345,360
346,343
347,339
348,333
349,332
350,325
351,319
352,349
353,323
354,330
355,356
356,340
357,313
358,309
359,318
360,340
361,301
362,363
363,334
364,305
365,280
366,286
367,313
368,277
369,338
370,289
371,308
372,301
373,299
374,275
375,285
376,282
377,309
378,265
379,265
380,245
381,286
382,288
383,245
384,260
385,273
386,269
387,276
388,287
389,295
390,310
391,341
392,392
393,408
394,463
395,543
396,579
397,637
398,660
399,814
400,818
401,889
402,910
403,1001
404,1118
405,1173
406,1246
407,1165
408,1317
409,1284
410,1300
411,1245
412,1235
413,1198
414,1178
415,1132
416,1021
417,1055
418,913
419,884
420,804
421,716
422,634
423,578
424,514
425,423
426,387
427,329
428,321
429,234
430,221
431,178
432,154
433,142
434,151
435,110
436,103
437,96
438,110
439,101
440,104
441,131
442,154
443,158
444,184
445,229
446,242
447,347
448,338
449,374
450,460
451,486
452,545
453,656
454,670
455,754
456,773
457,848
458,840
459,926
460,1020
461,1010
462,1018
463,1089
464,1028
465,1042
466,1015
467,1014
468,934
469,891
470,862
471,750
472,787
473,706
474,638
475,517
476,527
477,466
478,414
479,356
480,333
481,297
482,242
483,199
484,175
485,150
486,146
487,106
488,111
489,77
490,78
491,61
492,63
493,37
494,41
495,35
496,37
497,49
498,43
499,26
500,40
501,37
502,31
503,28
504,39
505,30
506,27
507,34
508,26
509,35
510,21
511,18
512,21
513,28
514,18
515,28
516,22
517,20
518,12
519,19
520,17
521,19
522,16
523,17
524,20
525,18
526,13
527,13
528,10
529,12
530,12
531,7
532,8
533,11
534,14
535,10
536,10
537,9
538,6
539,6
540,9
541,9
542,11
543,7
544,12
545,9
546,8
547,9
548,5
549,6
550,5
551,13
552,12
553,2
554,6
555,6
556,8
557,7
558,6
559,7
560,4
561,9
562,7
563,11
564,5
565,10
566,12
567,8
568,7
569,8
570,7
571,5
572,5
573,9
574,6
575,12
576,10
577,8
578,5
579,4
580,5
581,8
582,1
583,7
584,15
585,8
586,9
587,7
588,5
589,10
590,6
591,6
592,8
593,6
594,8
595,9
596,8
597,7
598,6
599,8
600,5
601,7
602,9
603,5
604,9
605,9
606,8
607,6
608,10
609,4
610,6
611,5
612,6
613,8
614,11
615,4
616,11
617,9
618,8
619,5
620,8
621,8
622,5
623,9
624,10
625,8
626,7
627,8
628,3
629,4
630,5
631,8
632,7
633,8
634,11
635,8
636,2
637,3
638,6
639,3
640,7
641,3
642,5
643,4
644,8
645,7
646,9
647,3
648,1
649,6
650,8
651,8
652,3
653,5
654,5
655,6
656,5
657,2
658,4
659,4
660,11
661,1
662,5
663,8
664,5
665,6
666,7
667,4
668,2
669,2
670,6
671,7
672,3
673,4
674,4
675,6
676,2
677,4
678,6
679,5
680,7
681,2
682,11
683,2
684,8
685,7
686,3
687,5
688,5
689,4
690,3
691,5
692,3
693,5
694,4
695,2
696,2
697,3
698,2
699,8
700,2
701,6
702,0
703,4
704,2
705,4
706,5
707,2
708,6
709,5
710,9
711,1
712,3
713,7
714,6
715,2
716,4
717,2
718,8
719,5
720,5
721,5
722,5
723,9
724,4
725,1
726,9
727,7
728,5
729,4
730,2
731,2
732,4
733,5
734,8
735,6
736,5
737,5
738,6
739,5
740,7
741,6
742,9
743,10
744,4
745,3
746,4
747,6
748,2
749,8
750,4
751,6
752,6
753,5
754,11
755,3
756,7
757,4
758,2
759,3
760,7
761,6
762,2
763,6
764,6
765,5
766,8
767,7
768,6
769,6
770,4
771,6
772,6
773,6
774,13
775,6
776,2
777,4
778,1
779,4
780,5
781,2
782,9
783,2
784,6
785,2
786,9
787,3
788,2
789,5
790,6
791,3
792,3
793,2
794,4
795,8
796,2
797,4
798,2
799,7
800,5
801,0
802,2
803,3
804,1
805,2
806,4
807,3
808,2
809,1
810,0
811,1
812,4
813,3
814,5
815,4
816,2
817,3
818,3
819,0
820,0
821,2
822,1
823,2
824,1
825,4
826,1
827,0
828,0
829,0
830,2
831,1
832,0
833,2
834,0
835,1
836,2
837,0
838,1
839,1
840,0
841,0
842,0
843,1
844,0
845,1
846,2
847,3
848,1
849,2
850,2
851,3
852,2
853,1
854,5
855,3
856,2
857,2
858,4
859,5
860,3
861,4
862,8
863,3
864,2
865,5
866,1
867,5
868,4
869,4
870,2
871,5
872,10
873,5
874,5
875,3
876,1
877,3
878,4
879,5
880,4
881,3
882,6
883,6
884,2
885,1
886,3
887,5
888,4
889,3
890,4
891,4
892,3
893,4
894,5
895,2
896,5
897,5
898,3
899,2
900,2
901,5
902,3
903,5
904,2
905,3
906,2
907,3
908,1
909,1
910,1
911,3
912,6
913,0
914,3
915,2
916,1
917,2
918,1
919,1
920,0
921,4
922,0
923,0
924,0
925,1
926,0
927,2
928,0
929,1
930,2
931,0
932,1
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,1
945,0
946,0
947,0
948,0
949,1
950,0
951,0
952,0
953,1
954,1
955,0
956,1
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,1
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,1
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
