Detector:,Blue (2)
Source:,Cs-137
Gating:,None
Seconds:,325
,
Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,1
22,0
23,0
24,0
25,0
26,0
27,1
28,0
29,1
30,0
31,0
32,2
33,0
34,99
35,1768
36,1845
37,1772
38,1682
39,1662
40,1573
41,1615
42,1612
43,1478
44,1444
45,1481
46,1459
47,1440
48,1396
49,1361
50,1391
51,1321
52,1372
53,1291
54,1431
55,1295
56,1290
57,1288
58,1320
59,1389
60,1380
61,1407
62,1387
63,1347
64,1417
65,1315
66,1337
67,1325
68,1343
69,1270
70,1275
71,1278
72,1336
73,1252
74,1274
75,1276
76,1295
77,1274
78,1277
79,1259
80,1249
81,1242
82,1218
83,1216
84,1204
85,1102
86,1166
87,1122
88,1125
89,1060
90,1057
91,1052
92,1025
93,1044
94,922
95,949
96,978
97,921
98,936
99,937
100,886
101,913
102,915
103,856
104,877
105,813
106,818
107,840
108,779
109,846
110,781
111,792
112,753
113,750
114,750
115,773
116,697
117,766
118,767
119,729
120,765
121,663
122,745
123,743
124,708
125,736
126,760
127,702
128,754
129,705
130,747
131,686
132,719
133,731
134,736
135,728
136,727
137,721
138,756
139,747
140,765
141,758
142,751
143,802
144,720
145,760
146,742
147,764
148,747
149,738
150,764
151,751
152,729
153,703
154,702
155,714
156,628
157,646
158,566
159,522
160,511
161,549
162,431
163,476
164,369
165,357
166,343
167,354
168,287
169,274
170,250
171,235
172,232
173,223
174,187
175,198
176,202
177,163
178,171
179,170
180,157
181,135
182,132
183,134
184,126
185,123
186,118
187,108
188,121
189,118
190,105
191,109
192,105
193,117
194,117
195,114
196,94
197,96
198,108
199,89
200,106
201,116
202,112
203,120
204,144
205,136
206,167
207,193
208,235
209,317
210,376
211,506
212,623
213,781
214,947
215,1193
216,1403
217,1747
218,2027
219,2436
220,2791
221,3099
222,3421
223,3643
224,3948
225,4160
226,4339
227,4271
228,4285
229,4278
230,4082
231,3746
232,3626
233,3342
234,2833
235,2609
236,2141
237,1897
238,1597
239,1284
240,1110
241,842
242,669
243,537
244,399
245,334
246,267
247,189
248,155
249,118
250,100
251,72
252,72
253,64
254,41
255,47
256,36
257,39
258,36
259,25
260,35
261,22
262,18
263,32
264,23
265,20
266,21
267,26
268,26
269,31
270,30
271,28
272,23
273,19
274,24
275,28
276,24
277,23
278,26
279,23
280,26
281,23
282,25
283,30
284,24
285,25
286,18
287,15
288,20
289,24
290,27
291,26
292,25
293,18
294,24
295,21
296,25
297,18
298,13
299,13
300,18
301,14
302,23
303,15
304,26
305,25
306,24
307,22
308,26
309,35
310,34
311,19
312,22
313,24
314,26
315,21
316,18
317,32
318,22
319,33
320,29
321,27
322,28
323,25
324,17
325,28
326,20
327,22
328,22
329,17
330,22
331,16
332,15
333,15
334,16
335,19
336,17
337,25
338,10
339,16
340,17
341,19
342,14
343,18
344,12
345,20
346,13
347,13
348,20
349,13
350,14
351,15
352,23
353,12
354,13
355,11
356,22
357,13
358,13
359,8
360,14
361,20
362,11
363,10
364,8
365,21
366,17
367,14
368,16
369,14
370,16
371,13
372,16
373,16
374,18
375,25
376,22
377,15
378,12
379,11
380,11
381,16
382,15
383,15
384,12
385,21
386,15
387,12
388,14
389,19
390,20
391,21
392,20
393,23
394,15
395,11
396,5
397,19
398,12
399,13
400,26
401,14
402,11
403,12
404,15
405,14
406,19
407,8
408,10
409,11
410,10
411,12
412,13
413,10
414,16
415,13
416,16
417,16
418,6
419,9
420,6
421,13
422,12
423,13
424,18
425,19
426,7
427,5
428,12
429,12
430,14
431,10
432,8
433,9
434,9
435,11
436,13
437,5
438,10
439,15
440,7
441,11
442,5
443,7
444,9
445,13
446,5
447,11
448,3
449,10
450,9
451,9
452,6
453,10
454,12
455,7
456,7
457,5
458,11
459,10
460,9
461,6
462,6
463,9
464,6
465,5
466,6
467,6
468,3
469,6
470,6
471,9
472,4
473,11
474,4
475,8
476,3
477,11
478,8
479,10
480,7
481,16
482,9
483,8
484,14
485,18
486,18
487,26
488,21
489,19
490,15
491,20
492,14
493,19
494,18
495,21
496,20
497,17
498,17
499,19
500,17
501,25
502,18
503,16
504,12
505,12
506,19
507,16
508,19
509,14
510,11
511,11
512,14
513,16
514,13
515,11
516,13
517,5
518,6
519,6
520,2
521,4
522,7
523,6
524,8
525,8
526,5
527,7
528,4
529,6
530,3
531,4
532,5
533,4
534,2
535,4
536,6
537,3
538,5
539,3
540,1
541,5
542,7
543,6
544,3
545,6
546,5
547,4
548,5
549,3
550,6
551,2
552,3
553,5
554,4
555,7
556,4
557,3
558,8
559,3
560,1
561,3
562,6
563,1
564,3
565,2
566,3
567,3
568,1
569,3
570,2
571,2
572,2
573,3
574,2
575,2
576,5
577,3
578,1
579,3
580,3
581,2
582,5
583,4
584,5
585,4
586,4
587,7
588,5
589,3
590,4
591,6
592,7
593,2
594,4
595,5
596,3
597,2
598,1
599,5
600,2
601,4
602,5
603,3
604,3
605,5
606,5
607,5
608,3
609,5
610,3
611,5
612,3
613,3
614,0
615,2
616,2
617,1
618,2
619,6
620,1
621,5
622,2
623,1
624,4
625,6
626,3
627,3
628,1
629,2
630,4
631,3
632,0
633,1
634,3
635,2
636,0
637,2
638,1
639,3
640,3
641,1
642,0
643,4
644,1
645,2
646,2
647,1
648,3
649,1
650,6
651,6
652,4
653,1
654,3
655,2
656,1
657,2
658,2
659,0
660,1
661,2
662,4
663,3
664,1
665,0
666,1
667,0
668,3
669,2
670,0
671,2
672,5
673,2
674,1
675,2
676,1
677,0
678,3
679,0
680,2
681,1
682,1
683,0
684,1
685,1
686,2
687,2
688,1
689,1
690,0
691,2
692,5
693,2
694,0
695,1
696,4
