Detector:,Blue (2)
Source:,Na-22
Gating:,None
Seconds:,238
,
Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,1
26,0
27,1
28,1
29,0
30,0
31,1
32,0
33,0
34,102
35,1330
36,1368
37,1392
38,1326
39,1354
40,1296
41,1310
42,1310
43,1258
44,1191
45,1202
46,1147
47,1210
48,1149
49,1163
50,1141
51,1146
52,1088
53,1083
54,1083
55,1096
56,1116
57,1173
58,1115
59,1156
60,1137
61,1151
62,1091
63,1119
64,1098
65,1100
66,1126
67,1093
68,1047
69,1056
70,1133
71,1055
72,1110
73,1077
74,1129
75,1024
76,1073
77,1080
78,1022
79,1090
80,1086
81,1044
82,1073
83,1000
84,1066
85,930
86,987
87,889
88,895
89,879
90,875
91,883
92,876
93,815
94,786
95,786
96,781
97,764
98,825
99,754
100,779
101,760
102,781
103,743
104,774
105,765
106,728
107,797
108,717
109,795
110,739
111,740
112,687
113,683
114,655
115,559
116,574
117,516
118,499
119,512
120,474
121,440
122,417
123,412
124,385
125,352
126,370
127,304
128,334
129,330
130,295
131,300
132,270
133,247
134,250
135,253
136,235
137,258
138,212
139,239
140,213
141,211
142,220
143,221
144,208
145,187
146,219
147,214
148,186
149,205
150,192
151,201
152,201
153,196
154,225
155,195
156,203
157,192
158,184
159,182
160,238
161,220
162,258
163,287
164,323
165,433
166,522
167,661
168,792
169,1088
170,1345
171,1607
172,1978
173,2381
174,2771
175,3176
176,3522
177,3903
178,4148
179,4362
180,4402
181,4352
182,4303
183,3973
184,3804
185,3227
186,2739
187,2491
188,2004
189,1705
190,1323
191,1026
192,800
193,644
194,464
195,383
196,278
197,228
198,196
199,180
200,182
201,158
202,160
203,149
204,163
205,139
206,143
207,125
208,143
209,127
210,126
211,139
212,124
213,163
214,143
215,103
216,131
217,116
218,124
219,144
220,141
221,111
222,99
223,127
224,116
225,106
226,113
227,134
228,132
229,137
230,145
231,126
232,108
233,116
234,96
235,121
236,113
237,109
238,125
239,108
240,141
241,116
242,140
243,126
244,122
245,114
246,103
247,139
248,103
249,103
250,108
251,106
252,131
253,132
254,100
255,99
256,115
257,102
258,99
259,119
260,113
261,110
262,118
263,133
264,106
265,129
266,117
267,120
268,121
269,114
270,113
271,108
272,110
273,130
274,119
275,101
276,125
277,130
278,131
279,114
280,138
281,124
282,120
283,115
284,118
285,116
286,111
287,118
288,101
289,95
290,126
291,117
292,130
293,140
294,121
295,111
296,118
297,100
298,119
299,143
300,105
301,121
302,91
303,112
304,108
305,116
306,109
307,114
308,122
309,129
310,126
311,113
312,119
313,132
314,139
315,129
316,127
317,127
318,121
319,127
320,139
321,158
322,133
323,125
324,123
325,141
326,118
327,136
328,112
329,146
330,130
331,108
332,129
333,133
334,113
335,138
336,133
337,145
338,169
339,133
340,155
341,146
342,148
343,127
344,144
345,128
346,137
347,122
348,151
349,128
350,132
351,147
352,153
353,142
354,127
355,136
356,141
357,147
358,109
359,120
360,130
361,144
362,121
363,113
364,124
365,113
366,104
367,108
368,89
369,114
370,102
371,103
372,104
373,73
374,77
375,79
376,71
377,70
378,70
379,79
380,49
381,50
382,39
383,51
384,46
385,41
386,30
387,50
388,36
389,49
390,40
391,33
392,33
393,36
394,47
395,35
396,34
397,37
398,35
399,24
400,33
401,37
402,30
403,23
404,35
405,23
406,23
407,28
408,28
409,25
410,26
411,26
412,18
413,18
414,24
415,30
416,23
417,26
418,24
419,31
420,37
421,29
422,44
423,36
424,40
425,65
426,71
427,91
428,85
429,121
430,136
431,169
432,183
433,231
434,242
435,252
436,308
437,358
438,355
439,372
440,410
441,449
442,468
443,449
444,473
445,508
446,463
447,512
448,439
449,472
450,495
451,423
452,460
453,442
454,395
455,379
456,354
457,337
458,269
459,244
460,216
461,175
462,169
463,151
464,124
465,93
466,100
467,75
468,76
469,65
470,43
471,54
472,36
473,21
474,31
475,36
476,25
477,21
478,19
479,20
480,23
481,13
482,20
483,13
484,12
485,17
486,13
487,13
488,16
489,8
490,11
491,14
492,16
493,11
494,18
495,11
496,18
497,15
498,23
499,25
500,19
501,28
502,18
503,8
504,20
505,21
506,22
507,22
508,23
509,24
510,17
511,17
512,19
513,16
514,16
515,19
516,17
517,18
518,11
519,16
520,17
521,12
522,22
523,13
524,12
525,16
526,12
527,16
528,12
529,4
530,10
531,9
532,11
533,11
534,8
535,5
536,5
537,5
538,5
539,6
540,11
541,9
542,13
543,8
544,12
545,10
546,8
547,8
548,6
549,8
550,4
551,7
552,8
553,9
554,9
555,6
556,8
557,3
558,6
559,7
560,3
561,7
562,9
563,5
564,5
565,3
566,8
567,2
568,6
569,4
570,6
571,6
572,3
573,4
574,2
575,1
576,5
577,1
578,5
579,6
580,3
581,2
582,0
583,2
584,2
585,3
586,2
587,6
588,5
589,1
590,2
591,4
592,6
593,2
594,5
595,1
596,3
597,3
598,5
599,4
600,3
601,5
602,3
603,4
604,3
605,5
606,1
607,4
608,7
609,5
610,5
611,5
612,8
613,7
614,12
615,7
616,6
617,7
618,8
619,7
620,10
621,12
622,5
623,12
624,6
625,9
626,12
627,11
628,16
629,16
630,13
631,13
632,15
633,7
634,11
635,10
636,10
637,8
638,11
639,6
640,5
641,6
642,8
643,2
644,6
645,7
646,7
647,8
648,3
649,3
650,5
651,4
652,3
653,3
654,1
655,1
656,3
657,3
658,1
659,1
660,1
661,1
662,1
663,1
664,1
665,3
666,1
667,1
668,2
669,1
670,2
671,3
672,3
673,1
674,0
675,3
676,2
677,1
678,0
679,1
680,0
681,2
682,2
683,1
684,1
685,3
686,0
687,0
688,1
689,4
690,0
691,1
692,0
693,1
694,1
695,1
696,0
697,1
698,3
699,1
700,2
701,0
702,1
703,0
704,0
705,1
706,1
707,4
708,1
709,1
710,0
711,0
712,0
713,0
714,3
715,2
716,2
717,1
718,2
719,3
720,1
721,1
722,1
723,0
724,1
725,0
726,2
727,1
728,3
729,2
730,3
731,4
732,2
733,1
734,1
735,0
736,0
737,1
738,2
739,3
740,4
741,1
742,1
743,2
744,1
745,1
746,3
747,1
748,0
749,4
750,2
751,0
752,0
753,0
754,3
755,0
756,0
757,0
758,2
759,0
760,4
761,2
762,2
763,1
764,1
765,0
766,2
767,2
768,0
769,1
770,0
771,6
772,1
773,0
774,0
775,1
776,3
777,1
778,2
779,2
780,1
781,2
782,2
783,1
784,2
785,3
786,1
787,0
788,1
789,1
790,0
791,2
792,1
793,1
794,1
795,2
796,0
797,1
798,0
799,3
800,0
801,0
802,2
803,1
804,2
805,1
806,2
807,0
808,3
809,0
810,1
811,0
812,1
813,1
814,0
815,0
816,3
817,0
818,0
819,3
820,2
821,1
822,1
823,0
824,2
825,1
826,2
827,0
828,0
829,1
830,1
831,0
832,0
833,1
834,2
835,0
836,0
837,0
838,2
