Detector:,Red (1)
Source:,Background
Gating:,None
Seconds:,699
,
Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,86
35,2099
36,2209
37,2142
38,2106
39,1990
40,1991
41,1965
42,1910
43,1871
44,1812
45,1749
46,1665
47,1584
48,1590
49,1575
50,1453
51,1479
52,1406
53,1364
54,1345
55,1267
56,1268
57,1167
58,1250
59,1251
60,1165
61,1094
62,1128
63,1061
64,1047
65,1019
66,966
67,1035
68,940
69,874
70,855
71,830
72,901
73,829
74,827
75,852
76,833
77,805
78,801
79,747
80,739
81,775
82,756
83,776
84,696
85,663
86,606
87,624
88,575
89,603
90,562
91,559
92,492
93,463
94,464
95,487
96,469
97,467
98,450
99,457
100,412
101,415
102,414
103,402
104,406
105,399
106,385
107,364
108,374
109,311
110,321
111,340
112,322
113,332
114,311
115,338
116,302
117,347
118,302
119,335
120,329
121,295
122,304
123,298
124,305
125,273
126,253
127,253
128,275
129,236
130,220
131,223
132,204
133,196
134,186
135,186
136,200
137,179
138,194
139,186
140,167
141,192
142,197
143,185
144,179
145,165
146,140
147,154
148,155
149,167
150,154
151,139
152,153
153,151
154,146
155,131
156,160
157,155
158,137
159,136
160,133
161,153
162,154
163,134
164,160
165,130
166,130
167,125
168,121
169,113
170,126
171,130
172,107
173,133
174,132
175,127
176,112
177,97
178,122
179,126
180,126
181,116
182,122
183,120
184,118
185,87
186,124
187,110
188,103
189,100
190,94
191,92
192,118
193,101
194,107
195,97
196,103
197,114
198,108
199,121
200,119
201,117
202,103
203,109
204,118
205,113
206,114
207,125
208,105
209,129
210,116
211,121
212,108
213,100
214,103
215,109
216,99
217,87
218,97
219,99
220,106
221,90
222,63
223,70
224,81
225,85
226,60
227,67
228,68
229,63
230,62
231,52
232,62
233,62
234,69
235,65
236,72
237,60
238,53
239,67
240,50
241,50
242,64
243,46
244,69
245,76
246,56
247,70
248,59
249,44
250,48
251,47
252,78
253,46
254,37
255,52
256,63
257,58
258,54
259,72
260,48
261,58
262,46
263,51
264,51
265,45
266,51
267,59
268,51
269,53
270,52
271,50
272,46
273,44
274,48
275,64
276,56
277,46
278,58
279,50
280,49
281,49
282,52
283,44
284,41
285,53
286,39
287,46
288,46
289,45
290,42
291,37
292,42
293,61
294,37
295,35
296,39
297,39
298,37
299,46
300,55
301,48
302,41
303,42
304,43
305,46
306,44
307,39
308,39
309,45
310,50
311,41
312,49
313,46
314,34
315,35
316,49
317,49
318,53
319,50
320,42
321,36
322,50
323,41
324,28
325,41
326,41
327,44
328,50
329,43
330,38
331,41
332,37
333,40
334,36
335,49
336,41
337,35
338,42
339,41
340,33
341,54
342,26
343,49
344,35
345,37
346,42
347,44
348,27
349,25
350,34
351,29
352,18
353,34
354,31
355,27
356,28
357,23
358,30
359,30
360,38
361,28
362,19
363,26
364,23
365,32
366,30
367,31
368,27
369,22
370,23
371,15
372,27
373,32
374,36
375,40
376,30
377,38
378,27
379,21
380,35
381,30
382,37
383,22
384,41
385,35
386,30
387,30
388,36
389,34
390,42
391,33
392,34
393,32
394,43
395,28
396,28
397,19
398,33
399,36
400,35
401,35
402,31
403,37
404,38
405,28
406,28
407,28
408,15
409,26
410,30
411,22
412,23
413,27
414,24
415,32
416,28
417,23
418,24
419,19
420,30
421,26
422,21
423,24
424,22
425,21
426,28
427,22
428,17
429,13
430,26
431,17
432,31
433,18
434,16
435,16
436,22
437,15
438,21
439,15
440,17
441,18
442,19
443,23
444,17
445,19
446,23
447,10
448,19
449,13
450,22
451,16
452,13
453,17
454,17
455,12
456,19
457,13
458,17
459,17
460,23
461,14
462,12
463,18
464,14
465,14
466,20
467,8
468,10
469,16
470,13
471,11
472,13
473,10
474,14
475,11
476,19
477,12
478,22
479,12
480,21
481,25
482,15
483,22
484,22
485,22
486,22
487,20
488,18
489,20
490,29
491,28
492,26
493,35
494,36
495,35
496,31
497,31
498,36
499,29
500,51
501,37
502,52
503,42
504,31
505,54
506,50
507,44
508,57
509,47
510,37
511,39
512,36
513,38
514,46
515,33
516,40
517,31
518,30
519,20
520,23
521,20
522,21
523,25
524,13
525,25
526,20
527,17
528,15
529,12
530,15
531,10
532,11
533,12
534,9
535,6
536,12
537,6
538,13
539,5
540,6
541,9
542,7
543,12
544,5
545,11
546,8
547,13
548,13
549,5
550,7
551,5
552,10
553,5
554,7
555,13
556,9
557,10
558,6
559,2
560,2
561,7
562,7
563,10
564,5
565,2
566,8
567,5
568,8
569,6
570,7
571,7
572,6
573,6
574,4
575,11
576,6
577,7
578,9
579,4
580,8
581,2
582,7
583,4
584,6
585,8
586,5
587,9
588,9
589,10
590,11
591,6
592,15
593,6
594,6
595,9
596,9
597,12
598,9
599,8
600,8
601,11
602,11
603,10
604,9
605,10
606,6
607,8
608,6
609,6
610,16
611,4
612,4
613,1
614,8
615,5
616,8
617,12
618,8
619,8
620,4
621,5
622,12
623,9
624,7
625,7
626,4
627,7
628,2
629,5
630,3
631,6
632,9
633,2
634,8
635,1
636,6
637,10
638,3
639,3
640,8
641,5
642,6
643,8
644,3
645,2
646,4
647,3
648,2
649,3
650,5
651,2
652,3
653,6
654,4
655,4
656,4
657,4
658,4
659,2
660,0
661,1
662,2
663,7
664,4
665,3
666,2
667,1
668,5
669,2
670,6
671,4
672,7
673,2
674,4
675,5
676,1
677,2
678,6
679,3
680,3
681,5
682,4
683,1
684,3
685,4
686,2
687,3
688,4
689,5
690,5
691,6
692,3
693,4
694,2
695,4
696,2
697,6
698,1
699,3
700,4
701,6
702,3
703,5
704,3
705,2
706,4
707,5
708,5
709,2
710,2
711,3
712,3
713,2
714,5
715,6
716,0
717,3
718,6
719,7
720,5
721,5
722,6
723,4
724,4
725,5
726,4
727,7
728,4
729,5
730,5
731,5
732,5
733,2
734,2
735,10
736,1
737,7
738,5
739,7
740,5
741,5
742,6
743,5
744,7
745,5
746,4
747,4
748,4
749,4
750,1
751,2
752,4
753,3
754,0
755,1
756,4
757,7
758,3
759,0
760,6
761,3
762,4
763,2
764,5
765,5
766,3
767,1
768,5
769,1
770,7
771,4
772,4
773,5
774,6
775,2
776,2
777,5
778,5
779,1
780,1
781,1
782,2
783,4
784,1
785,3
786,4
787,3
788,4
789,4
790,4
791,4
792,1
793,4
794,2
795,2
796,5
797,2
798,3
799,3
800,2
801,3
802,1
803,5
804,4
805,2
806,1
807,1
808,5
809,3
810,1
811,3
812,1
813,2
814,1
815,2
816,4
817,1
818,3
819,2
820,4
821,3
822,3
823,1
824,1
825,2
826,0
827,1
828,1
829,3
830,2
831,3
832,0
833,0
834,3
835,1
836,1
837,2
838,2
839,1
840,2
841,1
842,3
843,0
844,1
845,0
846,0
847,1
848,0
849,1
850,2
851,0
852,3
853,0
854,2
855,0
856,1
857,1
858,0
859,0
860,1
861,0
862,2
863,1
864,0
865,2
866,2
867,1
868,1
869,4
870,3
871,3
872,5
873,4
874,6
875,1
876,3
877,4
878,3
879,6
880,2
881,3
882,10
883,8
884,6
885,4
886,6
887,5
888,5
889,6
890,8
891,9
892,6
893,5
894,3
895,7
896,4
897,5
898,5
899,5
900,1
901,3
902,3
903,11
904,2
905,3
906,3
907,4
908,7
909,2
910,7
911,5
912,2
913,4
914,2
915,1
916,3
917,3
918,3
919,1
920,4
921,2
922,3
923,0
924,2
925,1
926,2
927,2
928,3
929,1
930,3
931,2
932,3
933,1
934,1
935,1
936,2
937,1
938,1
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,1
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,1
967,0
968,0
969,0
970,0
971,0
972,0
973,2
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,1
985,0
986,0
987,0
988,0
989,1
990,0
991,0
992,0
993,0
994,0
995,0
996,1
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,1
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,1
1023,1
