Detector:,Red (1)
Source:,Co-60
Gating:,None
Seconds:,405
,
Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,2
23,1
24,2
25,0
26,2
27,1
28,1
29,0
30,2
31,1
32,0
33,0
34,192
35,1829
36,1922
37,1900
38,1815
39,1739
40,1733
41,1769
42,1586
43,1673
44,1664
45,1637
46,1581
47,1578
48,1588
49,1453
50,1545
51,1486
52,1384
53,1395
54,1348
55,1327
56,1308
57,1348
58,1333
59,1306
60,1303
61,1199
62,1193
63,1246
64,1181
65,1223
66,1237
67,1247
68,1193
69,1144
70,1292
71,1152
72,1187
73,1168
74,1316
75,1215
76,1196
77,1229
78,1210
79,1135
80,1067
81,1199
82,1139
83,1108
84,1036
85,1027
86,1111
87,958
88,1045
89,952
90,955
91,1012
92,901
93,934
94,873
95,893
96,910
97,901
98,915
99,937
100,916
101,884
102,893
103,901
104,947
105,890
106,832
107,864
108,915
109,833
110,834
111,866
112,855
113,859
114,790
115,825
116,809
117,773
118,783
119,816
120,801
121,793
122,800
123,795
124,723
125,712
126,732
127,691
128,832
129,727
130,737
131,725
132,665
133,705
134,710
135,672
136,668
137,670
138,649
139,632
140,611
141,641
142,602
143,705
144,624
145,638
146,625
147,618
148,616
149,583
150,626
151,609
152,574
153,600
154,599
155,590
156,631
157,577
158,581
159,584
160,590
161,589
162,571
163,588
164,615
165,594
166,584
167,582
168,575
169,584
170,568
171,610
172,569
173,547
174,594
175,576
176,578
177,580
178,586
179,555
180,567
181,521
182,581
183,562
184,592
185,554
186,586
187,576
188,594
189,598
190,558
191,561
192,537
193,535
194,527
195,572
196,557
197,541
198,559
199,563
200,540
201,546
202,533
203,568
204,519
205,565
206,550
207,569
208,532
209,569
210,556
211,580
212,570
213,587
214,567
215,596
216,515
217,540
218,585
219,550
220,555
221,569
222,546
223,520
224,573
225,582
226,546
227,558
228,535
229,551
230,548
231,508
232,551
233,560
234,579
235,575
236,567
237,580
238,553
239,541
240,549
241,565
242,600
243,538
244,592
245,573
246,611
247,563
248,548
249,581
250,595
251,584
252,598
253,610
254,569
255,577
256,544
257,566
258,507
259,569
260,589
261,566
262,592
263,582
264,588
265,548
266,590
267,578
268,556
269,604
270,610
271,600
272,597
273,594
274,575
275,594
276,598
277,614
278,615
279,595
280,583
281,615
282,580
283,586
284,632
285,606
286,588
287,615
288,650
289,617
290,607
291,668
292,644
293,617
294,627
295,657
296,635
297,658
298,642
299,642
300,671
301,654
302,672
303,642
304,661
305,687
306,660
307,693
308,645
309,635
310,660
311,694
312,731
313,685
314,736
315,716
316,702
317,703
318,753
319,673
320,699
321,645
322,667
323,651
324,641
325,624
326,680
327,625
328,609
329,612
330,617
331,583
332,567
333,504
334,505
335,564
336,516
337,480
338,530
339,474
340,456
341,460
342,466
343,448
344,429
345,432
346,446
347,462
348,464
349,415
350,437
351,462
352,430
353,393
354,412
355,418
356,441
357,445
358,400
359,457
360,448
361,417
362,390
363,440
364,393
365,410
366,384
367,415
368,368
369,388
370,416
371,398
372,384
373,389
374,399
375,386
376,382
377,322
378,377
379,342
380,307
381,323
382,351
383,312
384,359
385,323
386,320
387,329
388,348
389,387
390,372
391,457
392,420
393,495
394,518
395,592
396,697
397,738
398,790
399,839
400,969
401,1082
402,1166
403,1217
404,1304
405,1353
406,1467
407,1474
408,1511
409,1573
410,1646
411,1587
412,1570
413,1559
414,1445
415,1364
416,1357
417,1357
418,1185
419,1141
420,1079
421,988
422,869
423,832
424,716
425,670
426,575
427,525
428,429
429,348
430,355
431,289
432,287
433,215
434,220
435,167
436,184
437,157
438,144
439,144
440,138
441,163
442,176
443,180
444,205
445,232
446,264
447,313
448,345
449,383
450,482
451,516
452,618
453,733
454,753
455,836
456,901
457,983
458,1101
459,1107
460,1208
461,1208
462,1210
463,1320
464,1352
465,1246
466,1230
467,1282
468,1207
469,1254
470,1168
471,1127
472,1017
473,969
474,894
475,875
476,803
477,665
478,655
479,581
480,524
481,439
482,372
483,311
484,317
485,252
486,221
487,196
488,157
489,127
490,139
491,112
492,90
493,93
494,75
495,74
496,69
497,50
498,60
499,52
500,52
501,65
502,44
503,37
504,47
505,45
506,45
507,52
508,37
509,41
510,33
511,33
512,22
513,22
514,46
515,30
516,34
517,20
518,30
519,24
520,27
521,20
522,21
523,23
524,16
525,15
526,18
527,17
528,22
529,16
530,14
531,15
532,7
533,16
534,10
535,16
536,22
537,12
538,13
539,13
540,17
541,14
542,7
543,7
544,11
545,13
546,10
547,14
548,12
549,12
550,14
551,7
552,10
553,6
554,8
555,14
556,16
557,15
558,13
559,10
560,9
561,9
562,9
563,15
564,14
565,10
566,6
567,9
568,10
569,10
570,8
571,9
572,13
573,6
574,13
575,11
576,12
577,11
578,6
579,17
580,12
581,14
582,9
583,14
584,7
585,8
586,7
587,5
588,14
589,7
590,5
591,9
592,9
593,5
594,11
595,14
596,5
597,9
598,8
599,6
600,9
601,8
602,7
603,11
604,13
605,14
606,10
607,6
608,16
609,10
610,7
611,8
612,10
613,14
614,13
615,7
616,10
617,9
618,7
619,13
620,10
621,8
622,12
623,16
624,8
625,8
626,9
627,6
628,9
629,6
630,17
631,12
632,10
633,7
634,11
635,6
636,9
637,7
638,8
639,7
640,6
641,9
642,9
643,9
644,7
645,11
646,5
647,8
648,7
649,8
650,11
651,5
652,13
653,12
654,9
655,5
656,14
657,6
658,3
659,2
660,9
661,4
662,6
663,7
664,10
665,2
666,8
667,9
668,5
669,5
670,6
671,10
672,10
673,6
674,5
675,3
676,6
677,3
678,2
679,6
680,12
681,6
682,4
683,5
684,9
685,3
686,5
687,2
688,4
689,6
690,3
691,8
692,8
693,5
694,6
695,4
696,3
697,8
698,7
699,4
700,6
701,7
702,7
703,5
704,4
705,5
706,5
707,3
708,5
709,3
710,5
711,9
712,7
713,2
714,8
715,6
716,9
717,5
718,1
719,2
720,4
721,5
722,6
723,8
724,4
725,6
726,2
727,8
728,4
729,5
730,9
731,11
732,6
733,12
734,6
735,3
736,8
737,8
738,2
739,1
740,3
741,8
742,4
743,5
744,9
745,5
746,10
747,5
748,10
749,5
750,3
751,4
752,8
753,16
754,6
755,4
756,7
757,3
758,5
759,8
760,5
761,6
762,9
763,8
764,10
765,7
766,2
767,10
768,7
769,4
770,9
771,6
772,5
773,6
774,3
775,3
776,4
777,7
778,6
779,5
780,4
781,8
782,8
783,4
784,4
785,3
786,7
787,14
788,3
789,3
790,6
791,4
792,4
793,5
794,3
795,5
796,4
797,10
798,5
799,2
800,4
801,5
802,3
803,2
804,3
805,5
806,3
807,6
808,0
809,2
810,3
811,6
812,2
813,2
814,5
815,0
816,1
817,2
818,3
819,1
820,1
821,3
822,2
823,0
824,4
825,1
826,1
827,2
828,0
829,0
830,1
831,1
832,1
833,1
834,2
835,2
836,0
837,2
838,2
839,1
840,3
841,1
842,1
843,2
844,3
845,3
846,5
847,3
848,0
849,1
850,2
851,3
852,3
853,2
854,2
855,2
856,4
857,2
858,3
859,4
860,2
861,3
862,5
863,8
864,8
865,2
866,5
867,5
868,3
869,6
870,12
871,4
872,4
873,4
874,1
875,5
876,11
877,6
878,5
879,4
880,5
881,10
882,1
883,9
884,8
885,6
886,11
887,5
888,5
889,6
890,8
891,3
892,8
893,4
894,8
895,12
896,7
897,4
898,4
899,3
900,3
901,7
902,7
903,3
904,3
905,2
906,4
907,4
908,4
909,2
910,2
911,5
912,7
913,3
914,6
915,4
916,4
917,3
918,1
919,3
920,3
921,2
922,1
923,2
924,2
925,0
926,1
927,2
928,1
929,1
930,2
931,0
932,3
933,1
934,0
935,1
936,2
937,1
938,1
939,3
940,0
941,1
942,1
943,0
944,2
945,0
946,0
947,1
948,0
949,0
950,1
951,0
952,0
953,1
954,0
955,0
956,0
957,0
958,0
959,0
960,1
961,0
962,1
963,1
964,1
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,1
974,0
975,1
976,0
977,0
978,0
979,0
980,0
981,1
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,1
1021,0
1022,0
1023,0
