Detector:,Red (1)
Source:,Cs-137
Gating:,None
Seconds:,915
,
Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,2
21,0
22,1
23,0
24,1
25,0
26,0
27,2
28,0
29,1
30,0
31,2
32,0
33,4
34,355
35,5431
36,5406
37,5333
38,5077
39,4961
40,4784
41,4827
42,4689
43,4665
44,4430
45,4462
46,4380
47,4305
48,4294
49,4154
50,4182
51,4118
52,3917
53,3924
54,3940
55,3889
56,3966
57,3969
58,3820
59,3874
60,3878
61,3947
62,4130
63,4028
64,3962
65,4008
66,3945
67,3794
68,3847
69,3759
70,3674
71,3589
72,3641
73,3542
74,3541
75,3637
76,3569
77,3493
78,3621
79,3549
80,3653
81,3622
82,3641
83,3591
84,3516
85,3499
86,3500
87,3388
88,3429
89,3384
90,3282
91,3364
92,3317
93,3183
94,3180
95,3094
96,3059
97,3193
98,3157
99,3110
100,2931
101,2946
102,3043
103,2876
104,2885
105,2926
106,2855
107,2735
108,2847
109,2757
110,2713
111,2736
112,2743
113,2696
114,2664
115,2653
116,2658
117,2626
118,2611
119,2527
120,2548
121,2594
122,2541
123,2506
124,2534
125,2553
126,2421
127,2498
128,2376
129,2516
130,2395
131,2461
132,2387
133,2441
134,2338
135,2435
136,2407
137,2393
138,2441
139,2458
140,2507
141,2485
142,2445
143,2459
144,2481
145,2597
146,2585
147,2585
148,2606
149,2708
150,2541
151,2608
152,2504
153,2476
154,2424
155,2444
156,2375
157,2261
158,2058
159,2052
160,1873
161,1700
162,1667
163,1502
164,1435
165,1304
166,1188
167,1085
168,1028
169,966
170,922
171,849
172,846
173,789
174,725
175,749
176,641
177,646
178,599
179,552
180,598
181,525
182,510
183,554
184,457
185,438
186,432
187,434
188,389
189,439
190,366
191,383
192,355
193,324
194,378
195,341
196,345
197,320
198,321
199,325
200,351
201,358
202,336
203,346
204,397
205,388
206,361
207,423
208,478
209,520
210,557
211,641
212,838
213,1024
214,1226
215,1676
216,2167
217,2713
218,3389
219,4159
220,5210
221,6192
222,7218
223,8409
224,9497
225,10622
226,11871
227,12853
228,13644
229,14071
230,14320
231,14359
232,13929
233,13686
234,12891
235,11938
236,10925
237,9797
238,8524
239,7066
240,6207
241,5391
242,4325
243,3588
244,2822
245,2357
246,1879
247,1357
248,1133
249,868
250,692
251,540
252,418
253,334
254,299
255,205
256,177
257,150
258,144
259,117
260,101
261,100
262,96
263,93
264,84
265,73
266,71
267,66
268,64
269,58
270,86
271,103
272,77
273,73
274,78
275,69
276,73
277,83
278,67
279,73
280,72
281,67
282,67
283,59
284,70
285,66
286,61
287,50
288,67
289,74
290,59
291,71
292,58
293,51
294,58
295,67
296,53
297,93
298,71
299,71
300,63
301,73
302,57
303,60
304,64
305,51
306,67
307,56
308,67
309,61
310,54
311,63
312,66
313,55
314,77
315,59
316,67
317,58
318,60
319,58
320,59
321,61
322,68
323,68
324,65
325,53
326,75
327,55
328,66
329,56
330,61
331,59
332,67
333,56
334,79
335,50
336,56
337,55
338,59
339,38
340,56
341,63
342,48
343,67
344,61
345,55
346,37
347,41
348,45
349,45
350,43
351,43
352,42
353,43
354,52
355,39
356,35
357,38
358,40
359,60
360,29
361,40
362,49
363,40
364,33
365,44
366,35
367,41
368,35
369,32
370,36
371,38
372,45
373,40
374,46
375,55
376,35
377,44
378,38
379,38
380,31
381,50
382,41
383,26
384,36
385,31
386,43
387,47
388,35
389,43
390,39
391,48
392,33
393,39
394,40
395,45
396,50
397,44
398,36
399,42
400,40
401,34
402,49
403,41
404,44
405,39
406,36
407,27
408,40
409,36
410,32
411,38
412,30
413,45
414,37
415,45
416,40
417,37
418,32
419,34
420,37
421,31
422,38
423,28
424,29
425,27
426,27
427,30
428,33
429,29
430,25
431,28
432,32
433,34
434,31
435,32
436,28
437,20
438,18
439,27
440,25
441,20
442,37
443,29
444,27
445,28
446,26
447,23
448,29
449,25
450,29
451,25
452,22
453,26
454,26
455,36
456,36
457,21
458,28
459,23
460,20
461,22
462,22
463,30
464,21
465,20
466,21
467,19
468,16
469,20
470,25
471,16
472,15
473,20
474,21
475,15
476,30
477,23
478,20
479,25
480,18
481,25
482,22
483,26
484,36
485,23
486,27
487,28
488,29
489,26
490,21
491,30
492,33
493,29
494,35
495,39
496,48
497,44
498,57
499,51
500,46
501,45
502,40
503,72
504,52
505,44
506,57
507,57
508,57
509,45
510,65
511,52
512,41
513,41
514,59
515,41
516,40
517,45
518,28
519,28
520,35
521,29
522,26
523,25
524,28
525,21
526,20
527,29
528,19
529,27
530,21
531,14
532,15
533,18
534,18
535,19
536,19
537,9
538,12
539,24
540,15
541,13
542,14
543,9
544,12
545,11
546,8
547,14
548,13
549,12
550,9
551,11
552,15
553,14
554,11
555,13
556,11
557,11
558,10
559,6
560,7
561,7
562,15
563,7
564,15
565,12
566,8
567,9
568,9
569,6
570,6
571,13
572,9
573,9
574,5
575,5
576,11
577,8
578,8
579,12
580,5
581,10
582,8
583,8
584,12
585,15
586,5
587,8
588,9
589,7
590,8
591,6
592,10
593,8
594,9
595,11
596,8
597,22
598,8
599,12
600,9
601,9
602,6
603,16
604,10
605,13
606,9
607,9
608,12
609,5
610,12
611,6
612,12
613,12
614,12
615,8
616,6
617,5
618,12
619,9
620,8
621,11
622,6
623,7
624,8
625,9
626,9
627,8
628,5
629,6
630,8
631,4
632,5
633,6
634,7
635,4
636,11
637,10
638,11
639,10
640,4
641,7
642,6
643,5
644,11
645,5
646,5
647,8
648,4
649,3
650,8
651,7
652,5
653,6
654,6
655,4
656,5
657,2
658,6
659,3
660,7
661,7
662,8
663,5
664,4
665,0
666,3
667,10
668,4
669,7
670,4
671,9
672,8
673,4
674,4
675,2
