Detector:,Red (1)
Source:,Na-22
Gating:,None
Seconds:,587
,
Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,3
22,0
23,1
24,1
25,0
26,0
27,0
28,0
29,1
30,1
31,1
32,4
33,1
34,255
35,3549
36,3556
37,3423
38,3334
39,3306
40,3359
41,3290
42,3302
43,3099
44,3131
45,3063
46,3108
47,3065
48,2985
49,2905
50,2945
51,2883
52,2816
53,2899
54,2916
55,2781
56,2859
57,2804
58,2846
59,2863
60,2796
61,2783
62,2719
63,2754
64,2834
65,2790
66,2726
67,2773
68,2771
69,2783
70,2691
71,2837
72,2765
73,2739
74,2800
75,2695
76,2716
77,2661
78,2608
79,2574
80,2577
81,2600
82,2538
83,2582
84,2607
85,2483
86,2512
87,2401
88,2351
89,2407
90,2331
91,2325
92,2288
93,2249
94,2295
95,2184
96,2288
97,2237
98,2169
99,2152
100,2375
101,2160
102,2234
103,2264
104,2131
105,2331
106,2145
107,2027
108,2132
109,1942
110,1882
111,1867
112,1793
113,1687
114,1617
115,1554
116,1463
117,1325
118,1265
119,1171
120,1151
121,1151
122,1061
123,1063
124,950
125,929
126,947
127,943
128,847
129,788
130,846
131,796
132,812
133,785
134,781
135,755
136,717
137,678
138,660
139,695
140,637
141,663
142,665
143,662
144,657
145,639
146,662
147,627
148,640
149,653
150,588
151,591
152,599
153,593
154,615
155,575
156,530
157,641
158,660
159,662
160,669
161,749
162,908
163,1045
164,1216
165,1503
166,1981
167,2677
168,3094
169,3893
170,4782
171,5716
172,6900
173,7997
174,8791
175,9757
176,10620
177,11165
178,11343
179,11277
180,11047
181,10520
182,9646
183,8869
184,7778
185,6779
186,5671
187,4824
188,3939
189,3169
190,2449
191,1945
192,1572
193,1234
194,1036
195,808
196,692
197,585
198,510
199,474
200,414
201,388
202,407
203,392
204,372
205,385
206,389
207,373
208,420
209,383
210,397
211,346
212,362
213,351
214,366
215,341
216,342
217,377
218,342
219,376
220,373
221,349
222,342
223,349
224,352
225,349
226,339
227,334
228,328
229,354
230,351
231,383
232,301
233,361
234,358
235,331
236,312
237,341
238,323
239,323
240,377
241,323
242,347
243,328
244,367
245,355
246,337
247,323
248,336
249,308
250,317
251,328
252,332
253,314
254,334
255,332
256,337
257,345
258,329
259,315
260,335
261,337
262,321
263,332
264,324
265,319
266,345
267,364
268,325
269,361
270,340
271,318
272,317
273,330
274,358
275,340
276,331
277,326
278,329
279,365
280,313
281,318
282,317
283,302
284,334
285,350
286,360
287,315
288,344
289,310
290,320
291,336
292,370
293,333
294,328
295,327
296,359
297,352
298,327
299,348
300,332
301,337
302,326
303,361
304,347
305,348
306,335
307,326
308,368
309,351
310,356
311,362
312,355
313,343
314,378
315,368
316,385
317,401
318,375
319,375
320,372
321,360
322,369
323,388
324,381
325,381
326,396
327,398
328,371
329,368
330,403
331,402
332,408
333,380
334,370
335,392
336,401
337,444
338,405
339,451
340,407
341,451
342,380
343,434
344,430
345,406
346,426
347,413
348,393
349,456
350,427
351,419
352,415
353,371
354,401
355,393
356,391
357,334
358,387
359,324
360,367
361,329
362,307
363,298
364,293
365,275
366,298
367,262
368,257
369,238
370,251
371,201
372,194
373,230
374,167
375,188
376,177
377,177
378,155
379,170
380,163
381,134
382,137
383,112
384,132
385,134
386,115
387,93
388,119
389,116
390,120
391,103
392,103
393,102
394,78
395,91
396,81
397,87
398,76
399,78
400,69
401,75
402,80
403,73
404,61
405,55
406,58
407,57
408,67
409,66
410,60
411,62
412,44
413,63
414,83
415,68
416,94
417,88
418,116
419,129
420,120
421,164
422,165
423,208
424,225
425,250
426,300
427,328
428,455
429,506
430,576
431,613
432,700
433,766
434,891
435,976
436,1014
437,1048
438,1128
439,1231
440,1275
441,1295
442,1384
443,1335
444,1445
445,1347
446,1434
447,1326
448,1294
449,1272
450,1207
451,1164
452,1120
453,1019
454,938
455,849
456,784
457,699
458,633
459,547
460,495
461,452
462,385
463,331
464,290
465,240
466,218
467,195
468,178
469,151
470,136
471,106
472,102
473,85
474,93
475,70
476,47
477,59
478,53
479,48
480,52
481,44
482,35
483,46
484,43
485,39
486,32
487,34
488,34
489,37
490,52
491,47
492,36
493,34
494,31
495,44
496,42
497,43
498,40
499,47
500,50
501,49
502,51
503,55
504,45
505,48
506,54
507,54
508,56
509,53
510,65
511,49
512,43
513,55
514,45
515,45
516,40
517,38
518,35
519,35
520,42
521,40
522,43
523,35
524,34
525,38
526,22
527,28
528,29
529,31
530,22
531,29
532,33
533,27
534,25
535,35
536,20
537,28
538,32
539,32
540,15
541,27
542,10
543,19
544,24
545,19
546,19
547,26
548,29
549,13
550,18
551,21
552,23
553,16
554,22
555,13
556,11
557,16
558,24
559,20
560,20
561,20
562,24
563,15
564,11
565,12
566,9
567,5
568,11
569,11
570,12
571,12
572,9
573,6
574,8
575,14
576,4
577,10
578,3
579,5
580,6
581,13
582,1
583,14
584,12
585,12
586,7
587,4
588,14
589,6
590,6
591,10
592,6
593,6
594,6
595,9
596,10
597,7
598,14
599,6
600,12
601,11
602,13
603,15
604,19
605,12
606,12
607,18
608,25
609,21
610,16
611,24
612,24
613,31
614,27
615,21
616,29
617,31
618,25
619,27
620,31
621,35
622,34
623,24
624,38
625,36
626,33
627,30
628,42
629,36
630,28
631,33
632,30
633,31
634,27
635,34
636,18
637,21
638,29
639,18
640,19
641,13
642,18
643,6
644,18
645,14
646,17
647,14
648,11
649,13
650,7
651,6
652,10
653,11
654,7
655,7
656,5
657,0
658,4
659,5
660,8
661,4
662,2
663,6
664,7
665,6
666,5
667,3
668,4
669,4
670,3
671,2
672,2
673,4
674,8
675,1
676,6
677,3
678,3
679,1
680,4
681,2
682,5
683,3
684,2
685,9
686,2
687,2
688,3
689,2
690,3
691,1
692,3
693,2
694,3
695,3
696,4
697,1
698,2
699,3
700,4
701,3
702,2
703,1
704,1
705,1
706,3
707,6
708,3
709,0
710,6
711,3
712,5
713,1
714,1
715,1
716,2
717,4
718,3
719,4
720,4
721,4
722,7
723,1
724,4
725,5
726,5
727,0
728,3
729,5
730,11
731,4
732,4
733,4
734,3
735,5
736,2
737,3
738,6
739,6
740,8
741,5
742,3
743,3
744,2
745,6
746,4
747,1
748,2
749,5
750,6
751,4
752,3
753,6
754,7
755,5
756,4
757,4
758,3
759,4
760,4
761,5
762,3
763,4
764,0
765,4
766,9
767,6
768,2
769,0
770,4
771,1
772,3
773,1
774,4
775,3
776,2
777,4
778,1
779,6
780,2
781,4
782,5
783,1
784,2
785,2
786,6
787,2
788,4
789,5
790,2
791,3
792,3
793,1
794,2
795,4
796,3
797,2
798,1
799,6
800,1
801,3
802,0
803,1
804,2
805,2
806,2
807,3
808,3
809,2
810,1
811,4
812,2
813,0
814,3
815,3
816,3
817,6
818,1
819,4
820,2
821,0
