Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	1.00
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	300.0
Elapsed Live Time:	297.1
Start Time:	June 02, 2021, 01:03:43
End Time:	June 02, 2021, 01:08:43
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		3
3		7
4		42
5		1057
6		2133
7		1581
8		1309
9		1099
10		836
11		798
12		862
13		906
14		916
15		947
16		1036
17		1004
18		1070
19		1167
20		1431
21		1683
22		1789
23		1693
24		1569
25		1495
26		1442
27		1419
28		1239
29		1220
30		1193
31		1135
32		1129
33		1140
34		1130
35		1104
36		1117
37		1142
38		1177
39		1133
40		1079
41		1114
42		1180
43		1100
44		1107
45		1083
46		1122
47		1093
48		1108
49		1122
50		1059
51		1064
52		1049
53		1117
54		1105
55		1111
56		1185
57		1252
58		1231
59		1355
60		1364
61		1444
62		1426
63		1464
64		1365
65		1341
66		1367
67		1308
68		1257
69		1296
70		1235
71		1247
72		1217
73		1259
74		1252
75		1300
76		1247
77		1277
78		1238
79		1249
80		1208
81		1280
82		1270
83		1254
84		1297
85		1289
86		1254
87		1272
88		1316
89		1250
90		1245
91		1148
92		1212
93		1200
94		1113
95		1198
96		1166
97		1127
98		1124
99		1099
100		1146
101		1130
102		1016
103		1033
104		1018
105		1006
106		1002
107		982
108		1020
109		1006
110		928
111		963
112		975
113		924
114		882
115		912
116		902
117		881
118		937
119		938
120		905
121		881
122		855
123		877
124		879
125		848
126		848
127		868
128		896
129		902
130		867
131		818
132		826
133		867
134		878
135		829
136		846
137		794
138		821
139		841
140		866
141		818
142		846
143		892
144		800
145		862
146		813
147		812
148		751
149		751
150		685
151		715
152		704
153		646
154		567
155		545
156		493
157		533
158		408
159		412
160		434
161		342
162		347
163		293
164		281
165		249
166		269
167		250
168		211
169		211
170		190
171		203
172		208
173		166
174		191
175		167
176		186
177		139
178		168
179		138
180		151
181		104
182		134
183		123
184		114
185		126
186		126
187		117
188		105
189		117
190		113
191		115
192		114
193		102
194		92
195		109
196		92
197		114
198		137
199		171
200		170
201		214
202		264
203		327
204		494
205		664
206		801
207		1041
208		1311
209		1603
210		2008
211		2303
212		2712
213		3160
214		3546
215		3975
216		4403
217		4483
218		4654
219		4802
220		4827
221		4700
222		4403
223		4031
224		3860
225		3280
226		2878
227		2474
228		2145
229		1692
230		1413
231		1033
232		861
233		664
234		492
235		381
236		253
237		185
238		167
239		114
240		92
241		78
242		38
243		36
244		40
245		32
246		27
247		16
248		16
249		17
250		22
251		19
252		13
253		15
254		14
255		21
256		14
257		13
258		16
259		13
260		21
261		19
262		12
263		12
264		10
265		14
266		23
267		14
268		13
269		20
270		19
271		9
272		10
273		16
274		9
275		15
276		20
277		16
278		13
279		13
280		14
281		15
282		11
283		11
284		17
285		18
286		14
287		10
288		14
289		14
290		19
291		11
292		9
293		14
294		11
295		10
296		20
297		11
298		11
299		7
300		14
301		13
302		14
303		13
304		8
305		20
306		7
307		9
308		10
309		9
310		9
311		13
312		15
313		7
314		12
315		13
316		11
317		5
318		8
319		10
320		8
321		10
322		7
323		10
324		11
325		5
326		4
327		12
328		9
329		9
330		14
331		9
332		6
333		7
334		8
335		11
336		7
337		10
338		7
339		10
340		10
341		1
342		8
343		6
344		9
345		10
346		11
347		8
348		6
349		5
350		12
351		10
352		5
353		8
354		5
355		4
356		5
357		7
358		7
359		5
360		7
361		4
362		7
363		9
364		10
365		17
366		13
367		11
368		9
369		9
370		6
371		11
372		13
373		5
374		12
375		10
376		9
377		7
378		5
379		13
380		14
381		5
382		7
383		6
384		8
385		10
386		10
387		11
388		9
389		2
390		8
391		7
392		7
393		10
394		8
395		13
396		7
397		5
398		8
399		7
400		7
401		2
402		3
403		3
404		4
405		3
406		6
407		6
408		3
409		3
410		6
411		6
412		5
413		6
414		7
415		5
416		9
417		3
418		7
419		6
420		5
421		9
422		4
423		14
424		8
425		4
426		7
427		5
428		9
429		6
430		11
431		7
432		6
433		2
434		6
435		8
436		7
437		4
438		10
439		7
