Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	1.00
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	10.0
Elapsed Live Time:	9.9
Start Time:	June 02, 2021, 01:24:27
End Time:	June 02, 2021, 01:24:37
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		51
6		75
7		73
8		40
9		35
10		27
11		29
12		24
13		32
14		23
15		33
16		32
17		35
18		37
19		44
20		40
21		48
22		74
23		49
24		45
25		49
26		38
27		41
28		38
29		45
30		38
31		32
32		35
33		33
34		44
35		45
36		43
37		44
38		26
39		36
40		41
41		42
42		38
43		42
44		43
45		41
46		32
47		35
48		46
49		27
50		39
51		51
52		42
53		40
54		31
55		38
56		34
57		59
58		43
59		44
60		54
61		49
62		42
63		58
64		44
65		44
66		42
67		41
68		46
69		37
70		35
71		45
72		40
73		56
74		50
75		38
76		46
77		46
78		49
79		39
80		35
81		50
82		33
83		41
84		57
85		46
86		40
87		54
88		48
89		39
90		40
91		33
92		34
93		37
94		28
95		34
96		53
97		37
98		41
99		39
100		29
101		40
102		39
103		51
104		30
105		35
106		29
107		36
108		31
109		29
110		36
111		35
112		24
113		32
114		36
115		30
116		21
117		26
118		22
119		21
120		36
121		29
122		30
123		25
124		33
125		35
126		28
127		27
128		23
129		32
130		30
131		24
132		31
133		24
134		23
135		36
136		21
137		20
138		36
139		36
140		23
141		35
142		31
143		28
144		31
145		31
146		30
147		21
148		26
149		21
150		30
151		26
152		21
153		16
154		18
155		19
156		15
157		20
158		16
159		13
160		17
161		9
162		9
163		7
164		7
165		13
166		10
167		5
168		10
169		3
170		7
171		10
172		5
173		7
174		6
175		5
176		4
177		6
178		1
179		6
180		7
181		7
182		7
183		3
184		4
185		3
186		4
187		0
188		4
189		3
190		2
191		3
192		6
193		3
194		3
195		3
196		5
197		2
198		6
199		4
200		6
201		5
202		11
203		13
204		16
205		25
206		29
207		31
208		40
209		53
210		69
211		78
212		94
213		91
214		109
215		141
216		143
217		167
218		147
219		161
220		135
221		153
222		143
223		145
224		98
225		101
226		83
227		91
228		81
229		58
230		59
231		38
232		28
233		17
234		15
235		17
236		10
237		4
238		7
239		1
240		3
241		2
242		0
243		0
244		0
245		0
246		2
247		0
248		1
249		0
250		1
251		2
252		1
253		0
254		1
255		0
256		1
257		1
258		0
259		2
260		0
261		1
262		0
263		0
264		1
265		1
266		1
267		0
268		0
269		0
270		0
271		1
272		0
273		0
274		0
275		0
276		0
277		0
278		1
279		1
280		0
281		0
282		2
283		0
284		0
285		0
286		1
287		0
288		0
289		0
290		0
291		0
292		0
293		1
294		0
295		0
296		1
297		0
298		1
299		1
300		0
301		0
302		0
303		0
304		0
305		1
306		0
307		0
308		0
309		0
310		1
311		0
312		0
313		0
314		1
315		0
316		1
317		1
318		1
319		0
320		1
321		0
322		0
323		0
324		0
325		1
326		1
327		0
328		0
329		0
330		0
331		0
332		2
333		0
334		1
335		0
336		0
337		1
338		1
339		0
340		0
341		0
342		0
343		1
344		0
345		1
346		0
347		0
348		1
349		0
350		0
351		0
352		0
353		1
354		1
355		0
356		0
357		0
358		0
359		0
360		0
361		0
362		0
363		1
364		0
365		1
366		0
367		0
368		0
369		1
370		0
371		1
372		0
373		1
374		0
375		1
376		0
377		0
378		0
379		0
380		0
381		0
382		0
383		0
384		0
385		2
386		0
387		0
388		0
389		1
390		1
391		0
392		0
393		0
394		0
395		0
396		0
397		0
398		0
399		1
400		1
401		0
402		0
403		0
404		0
405		0
406		0
407		0
408		0
409		0
410		0
411		0
412		0
413		0
414		0
415		0
416		0
417		0
418		0
419		0
420		0
421		2
422		0
423		0
424		0
425		0
426		0
427		0
428		1
429		0
430		0
431		0
432		0
433		0
434		0
435		0
436		1
437		0
438		0
439		0
440		0
441		0
442		0
443		0
444		1
445		0
446		0
447		0
448		0
449		0
450		0
451		0
452		0
453		0
454		0
455		0
456		0
457		0
458		0
459		0
460		0
461		1
462		0
463		0
464		0
465		0
466		0
467		1
468		0
469		0
470		0
