Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	1.00
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	10.0
Elapsed Live Time:	9.9
Start Time:	June 02, 2021, 01:24:48
End Time:	June 02, 2021, 01:24:58
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		3
5		40
6		78
7		73
8		34
9		46
10		32
11		34
12		34
13		29
14		31
15		33
16		35
17		33
18		35
19		43
20		46
21		56
22		51
23		52
24		42
25		42
26		55
27		38
28		45
29		43
30		26
31		33
32		35
33		41
34		37
35		29
36		52
37		32
38		35
39		36
40		34
41		39
42		39
43		41
44		28
45		40
46		37
47		33
48		38
49		33
50		30
51		37
52		36
53		42
54		42
55		38
56		42
57		45
58		46
59		44
60		52
61		58
62		43
63		46
64		53
65		52
66		39
67		34
68		36
69		37
70		47
71		47
72		39
73		46
74		40
75		48
76		54
77		40
78		40
79		36
80		46
81		41
82		41
83		49
84		51
85		33
86		39
87		30
88		36
89		51
90		34
91		47
92		40
93		40
94		39
95		37
96		51
97		49
98		30
99		41
100		36
101		48
102		36
103		40
104		29
105		25
106		35
107		37
108		35
109		41
110		23
111		42
112		20
113		28
114		30
115		24
116		24
117		38
118		25
119		33
120		26
121		30
122		28
123		40
124		29
125		37
126		23
127		33
128		24
129		37
130		32
131		34
132		27
133		28
134		31
135		21
136		26
137		26
138		15
139		27
140		28
141		32
142		30
143		37
144		39
145		29
146		31
147		23
148		25
149		20
150		33
151		22
152		31
153		16
154		21
155		13
156		13
157		17
158		15
159		14
160		13
161		12
162		11
163		6
164		8
165		9
166		8
167		8
168		4
169		8
170		8
171		8
172		11
173		4
174		5
175		8
176		8
177		1
178		4
179		2
180		3
181		4
182		3
183		9
184		3
185		1
186		8
187		3
188		2
189		6
190		1
191		5
192		3
193		4
194		4
195		8
196		3
197		1
198		2
199		4
200		6
201		8
202		14
203		15
204		14
205		23
206		27
207		26
208		33
209		53
210		66
211		77
212		84
213		121
214		137
215		121
216		141
217		154
218		152
219		165
220		181
221		188
222		161
223		160
224		127
225		103
226		92
227		87
228		74
229		45
230		48
231		34
232		31
233		16
234		14
235		11
236		8
237		4
238		7
239		4
240		1
241		5
242		0
243		1
244		0
245		1
246		1
247		1
248		0
249		1
250		0
251		2
252		0
253		0
254		1
255		0
256		1
257		2
258		3
259		0
260		0
261		1
262		1
263		1
264		0
265		0
266		0
267		0
268		0
269		0
270		0
271		0
272		2
273		1
274		0
275		0
276		0
277		2
278		0
279		0
280		0
281		1
282		0
283		0
284		0
285		0
286		0
287		0
288		0
289		0
290		0
291		0
292		0
293		0
294		0
295		1
296		0
297		1
298		0
299		0
300		0
301		0
302		0
303		1
304		1
305		0
306		0
307		0
308		1
309		0
310		0
311		0
312		0
313		0
314		0
315		0
316		2
317		0
318		0
319		1
320		0
321		0
322		2
323		1
324		0
325		1
326		0
327		0
328		1
329		0
330		0
331		1
332		0
333		0
334		0
335		0
336		0
337		0
338		0
339		0
340		0
341		1
342		0
343		1
344		1
345		1
346		0
347		0
348		0
349		0
350		0
351		0
352		0
353		0
354		0
355		0
356		0
357		0
358		0
359		0
360		0
361		1
362		0
363		0
364		0
365		0
366		0
367		0
368		1
369		0
370		1
371		0
372		1
373		0
374		0
375		0
376		0
377		0
378		0
379		0
380		0
381		0
382		0
383		0
384		0
385		0
386		0
387		0
388		0
389		0
390		0
391		0
392		0
393		0
394		1
395		0
396		0
397		1
398		0
399		0
400		1
401		1
402		1
403		0
404		0
405		0
406		1
407		0
408		0
409		0
410		0
411		0
412		0
413		0
414		0
415		0
416		0
417		0
418		0
419		0
420		0
421		0
422		0
423		0
424		0
425		0
426		0
427		0
428		0
429		0
430		0
431		0
432		0
433		0
434		1
435		0
436		0
437		1
438		2
439		0
440		0
441		0
442		0
443		0
444		0
445		1
446		0
447		0
448		0
449		0
450		0
451		1
452		0
453		0
454		0
455		0
456		0
457		0
458		0
459		0
460		0
461		0
462		0
463		0
464		0
465		1
466		0
467		0
468		0
469		0
470		0
