Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	1.00
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	300.0
Elapsed Live Time:	291.87
Start Time:	June 02, 2021, 01:10:25
End Time:	June 02, 2021, 01:15:25
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		1
1		5
2		11
3		29
4		54
5		463
6		1027
7		1193
8		1383
9		1665
10		1821
11		1973
12		1997
13		2001
14		2203
15		2269
16		2365
17		2473
18		2392
19		2765
20		3114
21		3965
22		4431
23		4359
24		4021
25		3459
26		3401
27		3244
28		2939
29		2603
30		2547
31		2659
32		2536
33		2580
34		2600
35		2618
36		2673
37		2669
38		2651
39		2632
40		2624
41		2686
42		2601
43		2652
44		2740
45		2648
46		2593
47		2654
48		2739
49		2642
50		2698
51		2818
52		2877
53		2954
54		3010
55		3264
56		3266
57		3350
58		3307
59		3246
60		3271
61		3174
62		3215
63		3078
64		3046
65		3127
66		3144
67		3226
68		3231
69		3286
70		3388
71		3430
72		3350
73		3458
74		3369
75		3393
76		3405
77		3319
78		3360
79		3202
80		3340
81		3377
82		3299
83		3223
84		3183
85		3184
86		3025
87		3056
88		3021
89		2935
90		2957
91		2940
92		2947
93		2854
94		2906
95		2805
96		2881
97		2887
98		2859
99		2819
100		2729
101		2779
102		2623
103		2738
104		2641
105		2553
106		2464
107		2355
108		2240
109		2140
110		2002
111		1937
112		1820
113		1778
114		1621
115		1556
116		1532
117		1426
118		1276
119		1285
120		1319
121		1257
122		1185
123		1173
124		1112
125		1164
126		1123
127		1069
128		990
129		1023
130		945
131		1009
132		960
133		884
134		873
135		854
136		826
137		790
138		772
139		805
140		792
141		770
142		787
143		741
144		733
145		755
146		710
147		719
148		708
149		716
150		747
151		735
152		778
153		843
154		983
155		1147
156		1426
157		1790
158		2300
159		2975
160		3657
161		4568
162		5585
163		6946
164		8119
165		9514
166		10675
167		11743
168		12588
169		13072
170		13195
171		13026
172		12188
173		11539
174		10466
175		9215
176		7953
177		6759
178		5338
179		4295
180		3416
181		2542
182		2013
183		1536
184		1076
185		1000
186		676
187		650
188		534
189		487
190		429
191		429
192		428
193		403
194		367
195		365
196		366
197		382
198		373
199		393
200		345
201		363
202		355
203		370
204		362
205		348
206		363
207		349
208		366
209		346
210		335
211		323
212		342
213		339
214		374
215		350
216		379
217		351
218		362
219		316
220		341
221		335
222		322
223		345
224		368
225		359
226		354
227		353
228		367
229		342
230		376
231		364
232		329
233		344
234		339
235		355
236		348
237		341
238		351
239		313
240		306
241		348
242		325
243		325
244		338
245		343
246		354
247		358
248		350
249		320
250		328
251		335
252		362
253		369
254		351
255		340
256		346
