Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	1.00
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	10.0
Elapsed Live Time:	9.95
Start Time:	June 02, 2021, 01:34:47
End Time:	June 02, 2021, 01:34:57
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		2
6		10
7		6
8		5
9		16
10		18
11		14
12		17
13		22
14		20
15		11
16		17
17		21
18		27
19		33
20		27
21		33
22		32
23		40
24		32
25		53
26		42
27		39
28		58
29		49
30		44
31		44
32		44
33		39
34		31
35		39
36		50
37		41
38		37
39		41
40		43
41		36
42		32
43		44
44		45
45		38
46		39
47		25
48		28
49		35
50		32
51		43
52		27
53		30
54		33
55		25
56		32
57		21
58		27
59		24
60		25
61		27
62		28
63		38
64		28
65		28
66		35
67		28
68		23
69		20
70		21
71		25
72		17
73		30
74		19
75		29
76		15
77		17
78		18
79		19
80		21
81		13
82		16
83		20
84		14
85		16
86		10
87		15
88		21
89		13
90		14
91		9
92		10
93		8
94		14
95		17
96		5
97		8
98		16
99		9
100		10
101		14
102		14
103		15
104		13
105		7
106		12
107		5
108		12
109		10
110		12
111		9
112		7
113		8
114		5
115		7
116		8
117		9
118		11
119		6
120		11
121		11
122		7
123		7
124		6
125		8
126		4
127		4
128		5
129		7
130		6
131		12
132		4
133		7
134		10
135		3
136		3
137		12
138		8
139		5
140		10
141		6
142		3
143		9
144		4
145		3
146		6
147		4
148		5
149		6
150		6
151		8
152		6
153		3
154		3
155		5
156		3
157		7
158		6
159		9
160		4
161		5
162		3
163		3
164		4
165		6
166		5
167		1
168		5
169		4
170		8
171		8
172		6
173		4
174		3
175		6
176		2
177		4
178		6
179		3
180		10
181		4
182		6
183		5
184		2
185		1
186		5
187		7
188		4
189		6
190		4
191		3
192		3
193		8
194		6
195		7
196		0
197		1
198		6
199		5
200		5
201		2
202		4
203		9
204		3
205		5
206		6
207		4
208		4
209		1
210		5
211		2
212		9
213		3
214		3
215		4
216		4
217		4
218		2
219		2
220		2
221		3
222		3
223		1
224		3
225		2
226		6
227		4
228		3
229		4
230		4
231		0
232		2
233		2
234		3
235		0
236		3
237		3
238		2
239		1
240		7
241		3
242		4
243		2
244		5
245		5
246		0
247		1
248		4
249		2
250		2
251		2
252		5
253		1
254		5
255		4
256		0
257		2
258		2
259		4
260		5
261		3
262		2
263		3
264		1
265		3
266		1
267		3
268		1
269		3
270		13
271		8
272		3
273		4
274		7
275		4
276		5
277		8
278		9
279		11
280		13
281		7
282		11
283		8
284		4
285		5
286		5
287		1
288		3
289		6
290		5
291		6
292		7
293		5
294		0
295		2
296		2
297		1
298		1
299		1
300		3
301		2
302		0
303		1
304		0
305		1
306		1
307		2
308		0
309		2
310		0
311		1
312		0
313		3
314		2
315		1
316		1
317		2
318		2
319		4
320		3
321		1
322		1
323		3
324		2
325		2
326		0
327		1
328		2
329		1
330		2
331		2
332		3
333		2
334		1
335		4
336		3
337		3
338		3
339		3
340		9
341		0
342		5
343		2
344		1
345		4
346		4
347		3
348		3
349		1
350		1
351		0
352		1
353		2
354		1
355		2
356		2
357		1
358		2
359		2
360		0
361		1
362		0
363		2
364		1
365		2
366		1
367		2
368		1
369		1
370		3
371		3
372		1
373		1
374		1
375		0
376		2
377		3
378		0
379		1
380		3
381		0
382		1
383		3
384		0
385		0
386		2
387		0
388		2
389		3
390		0
391		1
392		1
393		4
394		1
395		2
396		2
397		2
398		0
399		0
400		0
401		1
402		3
403		1
404		3
405		2
406		2
407		2
408		1
409		0
410		1
411		1
412		2
413		0
414		2
415		4
416		2
417		3
418		1
419		1
420		1
421		0
422		0
423		1
424		2
425		1
426		1
427		3
428		1
429		1
430		2
431		1
432		1
433		3
434		2
435		0
436		3
437		1
438		4
439		1
440		1
441		1
442		1
443		3
444		0
445		0
446		1
447		0
448		5
449		0
450		1
451		2
452		0
453		1
454		1
455		0
456		1
457		1
458		1
459		1
460		2
461		2
462		0
463		2
464		2
465		3
466		1
467		0
468		1
469		1
470		2
