Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	1.00
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	300.0
Elapsed Live Time:	294.99
Start Time:	June 02, 2021, 01:16:31
End Time:	June 02, 2021, 01:21:31
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		2
2		5
3		22
4		21
5		144
6		411
7		420
8		497
9		685
10		810
11		780
12		692
13		763
14		800
15		831
16		934
17		930
18		1012
19		1010
20		1167
21		1442
22		1609
23		1621
24		1382
25		1362
26		1239
27		1292
28		1159
29		1063
30		1040
31		972
32		940
33		1031
34		964
35		945
36		975
37		965
38		991
39		1000
40		962
41		1001
42		1016
43		939
44		955
45		1031
46		978
47		1002
48		969
49		1009
50		962
51		981
52		908
53		958
54		952
55		952
56		964
57		920
58		928
59		882
60		939
61		931
62		941
63		975
64		999
65		1009
66		1035
67		1102
68		1130
69		1205
70		1154
71		1196
72		1238
73		1213
74		1201
75		1174
76		1104
77		1137
78		1121
79		1045
80		1113
81		1052
82		1036
83		1078
84		1045
85		1036
86		995
87		994
88		1010
89		983
90		1018
91		998
92		1079
93		968
94		953
95		985
96		989
97		1031
98		999
99		1022
100		1007
101		1001
102		1040
103		1009
104		1022
105		909
106		979
107		969
108		949
109		970
110		978
111		967
112		973
113		942
114		878
115		938
116		878
117		891
118		926
119		867
120		925
121		831
122		869
123		860
124		852
125		804
126		803
127		814
128		773
129		798
130		814
131		789
132		771
133		784
134		755
135		718
136		831
137		712
138		786
139		718
140		739
141		698
142		729
143		707
144		705
145		710
146		704
147		679
148		687
149		638
150		699
151		650
152		675
153		653
154		694
155		665
156		722
157		726
158		630
159		688
160		632
161		661
162		627
163		653
164		593
165		641
166		657
167		645
168		626
169		661
170		634
171		599
172		640
173		588
174		638
175		578
176		608
177		632
178		583
179		596
180		559
181		555
182		596
183		550
184		568
185		578
186		565
187		544
188		561
189		547
190		564
191		553
192		497
193		549
194		528
195		581
196		554
197		564
198		546
199		615
200		571
201		544
202		568
203		536
204		548
205		548
206		513
207		533
208		544
209		495
210		567
211		489
212		540
213		528
214		548
215		551
216		544
217		522
218		542
219		563
220		566
221		552
222		550
223		558
224		528
225		539
226		538
227		565
228		527
229		557
230		527
231		528
232		530
233		522
234		506
235		496
236		549
237		553
238		519
239		554
240		537
241		558
242		545
243		509
244		517
245		571
246		543
247		531
248		542
249		550
250		586
251		525
252		560
253		522
254		533
255		548
256		543
257		530
258		547
259		561
260		584
261		579
262		565
263		566
264		560
265		552
266		626
267		562
268		559
269		550
270		591
271		577
272		587
273		631
274		621
275		570
276		588
277		610
278		612
279		582
280		611
281		617
282		568
283		586
284		570
285		562
286		616
287		630
288		583
289		611
290		668
291		620
292		608
293		664
294		591
295		612
296		669
297		644
298		631
299		580
300		674
301		626
302		655
303		669
304		645
305		611
306		638
307		609
308		603
309		617
310		615
311		586
312		604
313		604
314		526
315		560
316		554
317		523
318		512
319		518
320		526
321		485
322		457
323		463
324		485
325		439
326		446
327		427
328		398
329		394
330		435
331		445
332		427
333		401
334		371
335		424
336		433
337		404
338		353
339		355
340		358
341		382
342		388
343		357
344		410
345		423
346		360
347		377
348		355
349		405
350		338
351		376
352		366
353		382
354		354
355		377
356		356
357		365
358		386
359		381
360		356
361		311
362		325
363		325
364		340
365		344
366		319
367		322
368		323
369		332
370		323
371		364
372		427
373		441
374		431
375		518
376		584
377		653
378		756
379		781
380		842
381		984
382		1088
383		1114
384		1229
385		1362
386		1368
387		1472
388		1504
389		1490
390		1599
391		1528
392		1563
393		1532
394		1426
395		1408
396		1396
397		1309
398		1203
399		1074
400		1045
401		820
402		858
403		744
404		622
405		562
406		500
407		441
408		385
409		311
410		309
411		215
412		178
413		133
414		145
415		125
416		151
417		150
418		128
419		135
420		141
421		159
422		167
423		211
424		260
425		274
426		335
427		382
428		403
429		493
430		585
431		627
432		692
433		809
434		880
435		1007
436		1085
437		1157
438		1143
439		1214
440		1249
441		1275
442		1241
443		1222
444		1224
445		1266
446		1154
447		1138
448		1098
449		1009
450		930
451		919
452		772
453		734
454		599
455		550
456		483
457		467
458		365
459		298
460		295
461		241
462		192
463		158
464		148
465		149
466		102
467		91
468		60
469		77
470		64
471		31
472		40
473		31
474		42
475		44
476		29
477		37
478		28
479		39
480		25
481		25
482		28
483		24
484		17
485		24
486		18
487		19
488		15
489		17
490		16
491		24
492		18
493		16
494		17
495		7
496		19
497		12
498		15
499		13
500		8
501		7
502		11
503		11
504		11
505		10
506		7
507		10
508		20
509		9
510		10
511		6
512		8
513		4
514		11
515		10
516		7
517		11
518		10
519		9
520		14
521		6
522		11
523		11
524		9
525		9
526		16
527		6
528		5
529		11
530		8
531		3
532		8
533		11
534		3
535		8
536		3
537		9
538		6
539		8
540		9
541		10
542		3
543		9
544		9
545		9
546		6
547		12
548		5
549		6
550		7
551		5
552		7
553		9
554		4
555		8
556		9
557		4
558		12
559		8
560		7
561		5
562		6
563		9
564		4
565		7
566		5
567		10
568		4
569		6
570		7
571		5
572		10
573		7
574		5
575		10
576		8
577		6
578		6
579		5
580		5
581		5
582		6
583		5
584		6
585		5
586		3
587		3
588		5
589		11
590		8
591		5
592		4
593		3
594		7
595		7
596		5
597		6
598		7
599		6
600		6
601		5
602		4
603		11
604		2
605		6
606		8
607		4
608		11
609		7
610		6
611		3
612		6
613		3
614		1
615		5
616		6
617		8
618		4
619		8
620		1
621		4
622		1
623		4
624		2
625		6
626		3
627		2
628		5
629		5
630		5
631		6
632		9
633		5
634		2
635		3
636		5
637		6
638		4
639		6
640		8
641		2
642		6
643		3
644		4
645		5
646		5
647		5
648		5
649		8
650		4
651		5
652		6
653		4
654		5
655		5
656		2
657		3
658		6
659		6
660		2
661		3
662		8
663		6
664		4
665		8
666		2
667		2
668		2
669		3
670		8
671		5
672		5
673		9
674		5
675		3
676		2
677		4
678		6
679		2
680		0
681		5
682		6
683		6
684		2
685		4
686		2
687		6
688		5
689		4
690		2
691		5
692		8
693		2
694		3
695		5
696		6
697		4
698		4
699		5
700		7
701		6
702		5
703		3
704		7
705		5
706		5
707		5
708		4
709		2
710		4
711		6
712		2
713		5
714		7
715		3
716		5
717		6
718		5
719		3
720		3
721		3
722		3
723		6
724		7
725		6
726		5
727		1
728		8
729		2
730		3
731		4
732		5
733		5
734		5
735		6
736		6
737		4
738		2
739		5
740		5
741		7
742		2
743		4
744		2
745		4
746		3
747		5
748		6
749		7
750		2
751		4
752		4
753		2
754		2
755		1
756		4
757		2
758		4
759		3
760		2
761		2
762		7
763		3
764		2
765		2
766		2
767		0
768		2
769		1
770		4
771		2
772		2
773		2
774		3
775		4
776		1
777		1
778		4
779		1
780		1
781		0
782		0
783		1
784		0
785		0
786		2
787		0
788		0
789		0
790		2
791		0
792		1
793		1
794		1
795		2
796		0
797		0
798		0
799		2
800		1
801		1
802		2
803		2
804		1
805		2
806		1
807		2
808		1
809		1
810		3
811		2
812		4
813		1
814		0
815		2
816		2
817		4
818		2
819		2
820		1
821		4
822		1
823		4
824		4
825		2
826		4
827		2
828		2
829		7
830		4
831		4
832		0
833		7
834		5
835		10
836		5
837		4
838		9
839		4
840		2
841		4
842		8
843		3
844		4
845		7
846		6
847		2
848		3
849		0
850		4
851		5
852		3
853		1
854		4
855		3
856		1
857		1
858		3
859		1
860		1
861		1
862		1
863		3
864		0
865		1
866		2
867		1
868		3
869		1
870		2
871		0
872		0
873		2
874		3
875		0
876		2
877		3
878		2
879		1
880		1
881		0
882		1
883		1
884		0
885		0
886		1
887		1
888		1
889		1
890		0
891		0
892		0
893		0
894		1
895		1
896		1
897		0
898		0
899		0
900		0
901		1
902		0
903		0
904		0
905		0
906		1
907		0
908		0
909		0
910		0
911		0
912		0
913		0
914		0
915		0
916		0
917		1
918		0
919		0
920		1
921		0
922		0
923		0
924		0
925		0
926		0
927		0
928		1
929		0
930		2
931		0
932		0
933		0
934		0
935		0
936		1
937		1
938		0
939		0
940		0
941		0
942		1
943		0
944		1
945		1
946		0
947		0
948		0
949		0
950		0
951		0
952		0
953		0
954		1
955		0
956		0
957		0
958		1
959		0
960		0
961		0
962		0
963		0
964		0
965		1
966		0
967		0
968		0
969		0
970		0
971		0
972		0
973		0
974		0
975		0
976		0
977		0
978		1
979		0
980		1
981		0
982		0
983		0
984		0
985		0
986		0
987		0
988		0
989		0
990		0
991		0
992		0
993		0
994		0
995		1
996		0
997		1
998		0
999		1
1000		0
1001		1
1002		1
1003		1
1004		0
1005		0
1006		0
1007		0
1008		0
1009		0
1010		1
1011		0
1012		1
1013		1
1014		0
1015		0
1016		0
1017		0
1018		0
1019		0
1020		0
1021		0
1022		0
1023		0
