Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	1.00
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	10.0
Elapsed Live Time:	9.97
Start Time:	June 08, 2021, 01:56:08
End Time:	June 08, 2021, 01:56:18
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		1
6		6
7		4
8		4
9		16
10		3
11		7
12		15
13		18
14		11
15		13
16		32
17		20
18		22
19		23
20		33
21		41
22		41
23		31
24		42
25		35
26		31
27		37
28		38
29		39
30		31
31		42
32		33
33		35
34		36
35		30
36		35
37		34
38		29
39		26
40		38
41		27
42		37
43		25
44		25
45		24
46		20
47		23
48		30
49		23
50		22
51		15
52		19
53		23
54		18
55		21
56		25
57		15
58		17
59		25
60		17
61		18
62		6
63		16
64		18
65		10
66		21
67		18
68		15
69		14
70		12
71		15
72		15
73		19
74		10
75		13
76		16
77		17
78		18
79		11
80		11
81		13
82		6
83		7
84		9
85		14
86		13
87		5
88		12
89		9
90		6
91		12
92		6
93		5
94		7
95		4
96		7
97		4
98		13
99		5
100		8
101		10
102		9
103		7
104		6
105		4
106		6
107		7
108		4
109		6
110		7
111		4
112		8
113		8
114		8
115		2
116		5
117		0
118		7
119		6
120		5
121		4
122		5
123		5
124		2
125		7
126		7
127		5
128		6
129		5
130		2
131		3
132		3
133		4
134		4
135		5
136		1
137		5
138		3
139		6
140		2
141		2
142		3
143		4
144		4
145		2
146		2
147		1
148		4
149		1
150		5
151		1
152		1
153		1
154		1
155		3
156		3
157		1
158		3
159		1
160		1
161		1
162		2
163		5
164		3
165		4
166		1
167		5
168		5
169		2
170		4
171		2
172		2
173		2
174		4
175		1
176		3
177		2
178		1
179		2
180		4
181		2
182		1
183		2
184		2
185		2
186		3
187		2
188		3
189		3
190		4
191		3
192		4
193		1
194		0
195		1
196		2
197		0
198		2
199		1
200		4
201		1
202		3
203		0
204		2
205		2
206		1
207		3
208		2
209		3
210		1
211		3
212		3
213		1
214		3
215		3
216		1
217		1
218		4
219		0
220		1
221		1
222		2
223		0
224		1
225		1
226		1
227		1
228		0
229		1
230		1
231		2
232		0
233		4
234		2
235		2
236		2
237		3
238		1
239		1
240		2
241		0
242		1
243		1
244		1
245		0
246		5
247		4
248		4
249		2
250		1
251		3
252		2
253		5
254		2
255		1
256		1
257		2
258		4
259		5
260		1
261		7
262		3
263		6
264		3
265		7
266		4
267		3
268		2
269		5
270		6
271		5
272		3
273		0
274		5
275		2
276		4
277		3
278		4
279		3
280		2
281		0
282		1
283		2
284		0
285		1
286		2
287		0
288		1
289		0
290		2
291		2
292		1
293		0
294		0
295		1
296		1
297		2
298		1
299		0
300		3
301		0
302		0
303		0
304		0
305		0
306		2
307		1
308		2
309		0
310		1
311		1
312		0
313		0
314		1
315		0
316		0
317		0
318		5
319		1
320		0
321		0
322		2
323		0
324		0
325		1
326		0
327		0
328		1
329		2
330		3
331		0
332		0
333		1
334		2
335		0
336		0
337		0
338		0
339		0
340		0
341		2
342		3
343		0
344		1
345		1
346		1
347		0
348		1
349		1
350		0
351		1
352		1
353		0
354		0
355		0
356		1
357		0
358		0
359		0
360		0
361		0
362		0
363		1
364		0
365		0
366		1
367		0
368		1
369		0
370		1
371		0
372		0
373		3
374		0
375		0
376		1
377		0
378		0
379		1
380		0
381		0
382		0
383		1
384		0
385		1
386		0
387		0
388		0
389		1
390		0
391		0
392		0
393		1
394		0
395		0
396		0
397		0
398		0
399		0
400		1
401		0
402		2
403		0
404		1
405		1
406		1
407		0
408		0
409		1
410		0
411		1
412		1
413		0
414		0
415		0
416		0
417		1
418		0
419		1
420		2
421		0
422		0
423		0
424		2
425		0
426		0
427		1
428		1
429		2
430		0
431		0
432		0
433		0
434		1
435		1
436		0
437		1
438		2
439		1
440		1
441		0
442		0
443		3
444		2
445		1
446		0
447		0
448		1
449		0
450		0
451		2
452		1
453		0
454		0
455		2
456		0
457		2
458		0
459		0
460		1
461		3
462		1
463		0
464		0
465		1
466		0
467		0
468		2
469		0
470		1
