Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	1.00
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	10.0
Elapsed Live Time:	9.97
Start Time:	June 08, 2021, 01:36:11
End Time:	June 08, 2021, 01:36:21
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		3
5		12
6		8
7		11
8		8
9		5
10		15
11		24
12		43
13		28
14		19
15		39
16		27
17		30
18		45
19		29
20		42
21		39
22		32
23		45
24		31
25		47
26		47
27		29
28		35
29		42
30		47
31		47
32		45
33		30
34		49
35		47
36		28
37		35
38		35
39		22
40		27
41		26
42		27
43		28
44		22
45		25
46		17
47		25
48		17
49		28
50		29
51		16
52		25
53		15
54		20
55		14
56		17
57		22
58		16
59		17
60		13
61		20
62		16
63		17
64		14
65		13
66		15
67		20
68		14
69		6
70		11
71		14
72		12
73		13
74		11
75		17
76		10
77		8
78		11
79		12
80		12
81		12
82		8
83		7
84		4
85		8
86		8
87		12
88		9
89		9
90		2
91		8
92		10
93		4
94		10
95		6
96		9
97		3
98		4
99		5
100		6
101		8
102		7
103		4
104		5
105		10
106		2
107		8
108		10
109		4
110		3
111		5
112		4
113		4
114		7
115		5
116		10
117		5
118		4
119		7
120		5
121		5
122		2
123		1
124		4
125		5
126		2
127		7
128		2
129		5
130		4
131		5
132		1
133		9
134		5
135		5
136		1
137		4
138		7
139		2
140		2
141		0
142		7
143		6
144		6
145		2
146		8
147		3
148		2
149		3
150		4
151		4
152		1
153		7
154		4
155		11
156		6
157		6
158		4
159		4
160		2
161		2
162		1
163		3
164		5
165		5
166		4
167		1
168		2
169		2
170		1
171		2
172		6
173		0
174		4
175		6
176		3
177		3
178		1
179		2
180		1
181		3
182		2
183		0
184		3
185		3
186		3
187		3
188		1
189		3
190		5
191		2
192		0
193		2
194		3
195		3
196		0
197		3
198		3
199		1
200		0
201		3
202		6
203		0
204		3
205		2
206		5
207		3
208		2
209		0
210		2
211		2
212		2
213		2
214		3
215		1
216		3
217		4
218		3
219		4
220		3
221		3
222		8
223		2
224		3
225		3
226		4
227		1
228		3
229		3
230		0
231		4
232		4
233		5
234		1
235		2
236		3
237		5
238		3
239		4
240		2
241		1
242		3
243		1
244		1
245		0
246		1
247		2
248		2
249		2
250		2
251		0
252		2
253		1
254		1
255		0
256		1
257		2
258		0
259		1
260		0
261		0
262		2
263		2
264		1
265		0
266		0
267		1
268		5
269		1
270		1
271		1
272		2
273		3
274		1
275		0
276		0
277		2
278		0
279		1
280		0
281		2
282		0
283		1
284		2
285		1
286		3
287		4
288		4
289		1
290		1
291		2
292		3
293		0
294		2
295		0
296		0
297		1
298		0
299		1
300		0
301		0
302		1
303		1
304		1
305		2
306		3
307		1
308		0
309		1
310		2
311		0
312		2
313		1
314		0
315		3
316		0
317		1
318		1
319		0
320		0
321		0
322		0
323		0
324		2
325		1
326		0
327		2
328		1
329		1
330		0
331		1
332		1
333		0
334		0
335		0
336		1
337		1
338		3
339		4
340		0
341		2
342		0
343		2
344		1
345		0
346		1
347		0
348		1
349		1
350		3
351		4
352		1
353		2
354		1
355		1
356		2
357		2
358		3
359		0
360		0
361		1
362		3
363		0
364		2
365		2
366		0
367		2
368		2
369		0
370		1
371		1
372		2
373		2
374		1
375		2
376		1
377		4
378		2
379		1
380		0
381		0
382		2
383		0
384		4
385		0
386		2
387		3
388		0
389		1
390		0
391		0
392		1
393		0
394		4
395		2
396		1
397		1
398		0
399		2
400		1
401		0
402		1
403		0
404		3
405		2
406		1
407		0
408		6
409		2
410		2
411		2
412		1
413		2
414		0
415		1
416		1
417		0
418		2
419		1
420		0
421		2
422		2
423		1
424		1
425		0
426		0
427		1
428		1
429		3
430		0
431		3
432		0
433		1
434		0
435		0
436		0
437		0
438		0
439		1
440		1
441		1
442		0
443		2
444		0
445		0
446		2
447		0
448		1
449		0
450		0
451		0
452		0
453		0
454		0
455		2
456		1
457		1
458		0
459		0
460		0
461		0
462		0
463		1
464		1
465		1
466		2
467		1
468		2
469		0
470		3
