Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,700
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,1215.48
Elapsed Live Time:,1200.0
Start Time:,October 07, 2022, 08:43:39
End Time:,October 07, 2022, 09:03:55
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,1
1,,1
2,,2
3,,10
4,,53
5,,50
6,,36
7,,65
8,,54
9,,70
10,,100
11,,98
12,,103
13,,96
14,,112
15,,118
16,,126
17,,117
18,,101
19,,128
20,,105
21,,134
22,,105
23,,129
24,,121
25,,64
26,,52
27,,60
28,,41
29,,52
30,,102
31,,150
32,,74
33,,55
34,,44
35,,61
36,,39
37,,24
38,,20
39,,18
40,,25
41,,28
42,,27
43,,24
44,,17
45,,16
46,,20
47,,19
48,,14
49,,16
50,,17
51,,16
52,,12
53,,17
54,,14
55,,13
56,,20
57,,19
58,,18
59,,23
60,,18
61,,9
62,,14
63,,22
64,,17
65,,22
66,,10
67,,23
68,,17
69,,32
70,,147
71,,505
72,,841
73,,1246
74,,1638
75,,1912
76,,2399
77,,2810
78,,3249
79,,3614
80,,4043
81,,4357
82,,4635
83,,4863
84,,4916
85,,4938
86,,4654
87,,4426
88,,3952
89,,3638
90,,3463
91,,3061
92,,2851
93,,2827
94,,2700
95,,2505
96,,2451
97,,2220
98,,2263
99,,2130
100,,2077
101,,1888
102,,1856
103,,1859
104,,1770
105,,1683
106,,1735
107,,1676
108,,1697
109,,1673
110,,1708
111,,1696
112,,2019
113,,2613
114,,3685
115,,5607
116,,8741
117,,13439
118,,19845
119,,27893
120,,37871
121,,48253
122,,57330
123,,64834
124,,67433
125,,66509
126,,61844
127,,53043
128,,43682
129,,33386
130,,23839
131,,16256
132,,10539
133,,6644
134,,4033
135,,2434
136,,1584
137,,1062
138,,761
139,,597
140,,543
141,,463
142,,392
143,,397
144,,393
145,,410
146,,398
147,,368
148,,362
149,,364
150,,331
151,,344
152,,358
153,,319
154,,322
155,,338
156,,327
157,,302
158,,347
159,,309
160,,311
161,,294
162,,317
163,,314
164,,301
165,,313
166,,299
167,,340
168,,271
169,,324
170,,264
171,,302
172,,296
173,,280
174,,265
175,,307
176,,284
177,,259
178,,280
179,,260
180,,298
181,,291
182,,252
183,,282
184,,248
185,,246
186,,246
187,,253
188,,242
189,,245
190,,241
191,,212
192,,230
193,,226
194,,205
195,,220
196,,241
197,,202
198,,205
199,,238
200,,189
201,,209
202,,192
203,,202
204,,186
205,,225
206,,241
207,,217
208,,192
209,,203
210,,212
211,,236
212,,207
213,,205
214,,183
215,,200
216,,195
217,,218
218,,215
219,,209
220,,212
221,,191
222,,226
223,,197
224,,218
225,,212
226,,218
227,,210
228,,202
229,,174
230,,200
231,,186
232,,194
233,,186
234,,180
235,,180
236,,170
237,,177
238,,176
239,,167
240,,161
241,,134
242,,140
243,,171
244,,159
245,,188
246,,166
247,,148
248,,156
249,,142
250,,141
251,,139
252,,152
253,,151
254,,134
255,,141
256,,144
257,,150
258,,136
259,,155
260,,156
261,,163
262,,134
263,,138
264,,136
265,,123
266,,162
267,,161
268,,162
269,,163
270,,154
271,,185
272,,200
273,,169
274,,216
275,,207
276,,217
277,,195
278,,203
279,,180
280,,214
281,,184
282,,165
283,,135
284,,150
285,,152
286,,135
287,,143
288,,106
289,,130
290,,121
291,,120
292,,113
293,,110
294,,116
295,,87
296,,107
297,,119
298,,100
299,,107
300,,100
301,,93
302,,125
303,,103
304,,117
305,,98
306,,107
307,,100
308,,102
309,,99
310,,100
311,,95
312,,92
313,,104
314,,100
315,,103
316,,105
317,,99
318,,91
319,,107
320,,111
321,,118
322,,116
323,,112
324,,99
325,,123
326,,136
327,,147
328,,141
329,,132
330,,113
331,,110
332,,131
333,,110
334,,100
335,,115
336,,132
337,,103
338,,112
339,,112
340,,112
341,,104
342,,104
343,,101
344,,89
345,,94
346,,98
347,,92
348,,93
349,,94
350,,97
351,,99
352,,87
353,,101
354,,79
355,,100
356,,87
357,,99
358,,100
359,,88
360,,98
361,,88
362,,91
363,,91
364,,89
365,,87
366,,102
367,,83
368,,96
369,,82
370,,74
371,,80
372,,98
373,,76
374,,78
375,,79
376,,60
377,,73
378,,81
379,,65
380,,70
381,,75
382,,61
383,,62
384,,57
385,,57
386,,50
387,,42
388,,50
389,,56
390,,59
391,,65
392,,62
393,,64
394,,54
395,,60
396,,48
397,,53
398,,55
399,,56
400,,51
401,,56
402,,55
403,,57
404,,41
405,,58
406,,41
407,,65
408,,66
409,,79
410,,72
411,,89
412,,84
413,,92
414,,100
415,,108
416,,114
417,,127
418,,137
419,,136
420,,150
421,,143
422,,126
423,,146
424,,141
425,,152
426,,150
427,,139
428,,120
429,,115
430,,110
431,,110
432,,92
433,,76
434,,83
435,,74
436,,62
437,,70
438,,48
439,,56
440,,63
441,,41
442,,50
443,,39
444,,44
445,,37
446,,37
447,,32
448,,39
449,,34
450,,27
451,,32
452,,34
453,,34
454,,21
455,,33
456,,44
457,,26
458,,28
459,,30
460,,30
461,,27
462,,25
463,,33
464,,26
465,,22
466,,35
467,,40
468,,26
469,,35
470,,27
471,,34
472,,29
473,,21
474,,30
475,,21
476,,28
477,,38
478,,26
479,,19
480,,45
481,,29
482,,33
483,,26
484,,37
485,,43
486,,34
487,,39
488,,48
489,,43
490,,36
491,,27
492,,36
493,,34
494,,38
495,,54
496,,33
497,,31
498,,37
499,,34
500,,43
501,,47
502,,30
503,,41
504,,34
505,,24
506,,37
507,,26
508,,36
509,,33
510,,24
511,,23
512,,25
513,,30
514,,23
515,,30
516,,15
517,,26
518,,15
519,,26
520,,29
521,,25
522,,29
523,,18
524,,28
525,,26
526,,39
527,,22
528,,27
529,,18
530,,29
531,,19
532,,28
533,,27
534,,26
535,,21
536,,25
537,,22
538,,19
539,,26
540,,22
541,,21
542,,17
543,,22
544,,24
545,,24
546,,20
547,,22
548,,18
549,,29
550,,21
551,,19
552,,17
553,,31
554,,20
555,,21
556,,21
557,,20
558,,21
559,,24
560,,18
561,,26
562,,36
563,,23
564,,30
565,,20
566,,35
567,,23
568,,19
569,,18
570,,21
571,,32
572,,29
573,,21
574,,27
575,,17
576,,30
577,,20
578,,21
579,,17
580,,17
581,,21
582,,24
583,,25
584,,16
585,,24
586,,25
