Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,700
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,1228.15
Elapsed Live Time:,1200.0
Start Time:,October 07, 2022, 07:45:27
End Time:,October 07, 2022, 08:05:55
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,1
1,,2
2,,1
3,,17
4,,124
5,,118
6,,114
7,,140
8,,150
9,,215
10,,218
11,,335
12,,331
13,,303
14,,297
15,,317
16,,369
17,,316
18,,339
19,,319
20,,316
21,,322
22,,341
23,,340
24,,317
25,,229
26,,176
27,,198
28,,230
29,,276
30,,380
31,,365
32,,211
33,,202
34,,161
35,,144
36,,95
37,,110
38,,91
39,,77
40,,78
41,,81
42,,84
43,,65
44,,58
45,,53
46,,59
47,,59
48,,55
49,,55
50,,51
51,,47
52,,51
53,,49
54,,52
55,,52
56,,50
57,,42
58,,45
59,,56
60,,62
61,,52
62,,42
63,,39
64,,38
65,,29
66,,28
67,,31
68,,27
69,,29
70,,85
71,,272
72,,506
73,,792
74,,1069
75,,1282
76,,1523
77,,1761
78,,1909
79,,2168
80,,2334
81,,2501
82,,2732
83,,2861
84,,3154
85,,3495
86,,4173
87,,5525
88,,8039
89,,12783
90,,20467
91,,31913
92,,46619
93,,64031
94,,82140
95,,96358
96,,106058
97,,107371
98,,98549
99,,84592
100,,66531
101,,48306
102,,33145
103,,21674
104,,13771
105,,9051
106,,6556
107,,5205
108,,4592
109,,4190
110,,4005
111,,3982
112,,3945
113,,3827
114,,3888
115,,3851
116,,3778
117,,3902
118,,3708
119,,3654
120,,3645
121,,3733
122,,3734
123,,3801
124,,3689
125,,3789
126,,3753
127,,3643
128,,3749
129,,3803
130,,3914
131,,3940
132,,3854
133,,3863
134,,3891
135,,3797
136,,3901
137,,3712
138,,3774
139,,3701
140,,3733
141,,3690
142,,3731
143,,3653
144,,3746
145,,3787
146,,3739
147,,3761
148,,3840
149,,3767
150,,3831
151,,3763
152,,3775
153,,3773
154,,3670
155,,3761
156,,3775
157,,3751
158,,3923
159,,3817
160,,3842
161,,3798
162,,3858
163,,3885
164,,3810
165,,3845
166,,3926
167,,3853
168,,3856
169,,3846
170,,3941
171,,3974
172,,3991
173,,3934
174,,4118
175,,4014
176,,4157
177,,4154
178,,4035
179,,4116
180,,4055
181,,4165
182,,4253
183,,4238
184,,4281
185,,4369
186,,4422
187,,4457
188,,4386
189,,4435
190,,4442
191,,4406
192,,4592
193,,4362
194,,4355
195,,4238
196,,4056
197,,3983
198,,3699
199,,3467
200,,3257
201,,3107
202,,2798
203,,2596
204,,2414
205,,2215
206,,2056
207,,1837
208,,1847
209,,1630
210,,1646
211,,1466
212,,1374
213,,1269
214,,1235
215,,1206
216,,1081
217,,1057
218,,1014
219,,962
220,,985
221,,987
222,,927
223,,870
224,,895
225,,831
226,,960
227,,994
228,,1078
229,,1356
230,,1814
231,,2183
232,,2789
233,,3593
234,,4712
235,,5751
236,,7350
237,,8709
238,,10437
239,,11761
240,,13325
241,,14232
242,,14905
243,,15262
244,,15260
245,,14529
246,,13561
247,,12342
248,,10998
249,,9376
250,,8004
251,,6541
252,,5327
253,,4157
254,,3417
255,,2620
256,,1995
257,,1593
258,,1354
259,,1095
260,,881
261,,748
262,,692
263,,637
264,,658
265,,616
266,,582
267,,572
268,,548
269,,538
270,,575
271,,559
272,,576
273,,532
274,,540
275,,609
276,,570
277,,606
278,,596
279,,613
280,,613
281,,571
282,,611
283,,577
284,,541
285,,566
286,,562
287,,587
288,,581
289,,552
290,,510
291,,504
292,,554
293,,502
294,,488
295,,454
296,,458
297,,457
298,,498
299,,449
300,,410
301,,433
302,,423
303,,401
304,,384
305,,391
306,,398
307,,325
308,,358
309,,330
310,,286
311,,297
312,,306
313,,278
314,,231
315,,234
316,,214
317,,243
318,,207
319,,226
320,,170
321,,182
322,,199
323,,174
324,,203
325,,186
326,,187
327,,181
328,,161
329,,199
330,,166
331,,179
332,,200
333,,226
334,,206
335,,226
336,,264
337,,278
338,,322
339,,379
340,,403
341,,437
342,,507
343,,549
344,,564
345,,595
346,,606
347,,636
348,,583
349,,658
350,,620
351,,579
352,,570
353,,533
354,,465
355,,410
356,,400
357,,347
358,,289
359,,257
360,,233
361,,205
362,,180
363,,160
364,,173
365,,119
366,,123
367,,125
368,,113
369,,133
370,,113
371,,99
372,,88
373,,106
374,,95
375,,99
376,,113
377,,84
378,,96
379,,76
380,,80
381,,78
382,,76
383,,86
384,,81
385,,81
386,,75
387,,75
388,,75
389,,61
390,,71
391,,66
392,,55
393,,73
394,,53
395,,58
396,,43
397,,54
398,,56
399,,49
400,,73
401,,58
402,,55
403,,56
404,,56
405,,46
406,,58
407,,50
408,,67
409,,63
410,,52
411,,48
412,,65
413,,70
414,,70
415,,82
416,,92
417,,99
418,,84
419,,113
420,,139
421,,144
422,,119
423,,134
424,,142
425,,145
426,,141
427,,150
428,,145
429,,158
430,,122
431,,133
432,,110
433,,121
434,,127
435,,95
436,,92
437,,89
438,,88
439,,80
440,,54
441,,63
442,,58
443,,59
444,,48
445,,46
446,,41
447,,49
448,,48
449,,44
450,,50
451,,32
452,,40
453,,32
454,,37
455,,42
456,,38
457,,28
458,,35
459,,37
460,,32
461,,30
462,,20
463,,31
464,,29
465,,33
466,,26
467,,40
468,,34
469,,46
470,,38
471,,30
472,,31
473,,28
474,,28
475,,34
476,,19
477,,40
478,,31
479,,30
480,,29
481,,23
482,,30
483,,35
484,,37
485,,39
486,,34
487,,27
488,,38
489,,34
490,,44
491,,26
492,,40
493,,35
494,,40
495,,43
496,,46
497,,48
498,,31
499,,33
500,,45
501,,34
502,,39
503,,33
504,,43
505,,32
506,,31
507,,37
508,,32
509,,49
510,,35
511,,32
512,,27
513,,21
514,,30
515,,24
516,,23
517,,21
518,,24
519,,26
520,,24
521,,24
522,,31
523,,35
524,,34
525,,23
526,,25
527,,26
528,,20
529,,22
530,,24
531,,25
532,,24
533,,24
534,,16
535,,22
536,,21
537,,38
538,,14
539,,21
540,,27
541,,24
542,,25
543,,21
544,,29
545,,18
546,,22
547,,15
548,,22
549,,14
550,,20
551,,28
552,,19
553,,18
554,,19
555,,22
556,,32
557,,27
558,,25
559,,15
560,,26
561,,29
562,,26
563,,23
564,,32
565,,20
566,,22
567,,22
568,,24
569,,27
570,,22
571,,26
572,,19
573,,19
574,,28
575,,23
576,,22
577,,15
578,,22
579,,29
580,,25
581,,26
582,,25
583,,24
584,,31
585,,29
586,,23
587,,20
588,,30
589,,26
590,,18
591,,27
592,,19
593,,24
594,,25
595,,22
596,,23
597,,25
598,,22
599,,17
600,,25
601,,29
602,,18
603,,22
604,,24
605,,24
606,,28
607,,22
608,,24
609,,20
610,,22
611,,22
612,,22
613,,22
614,,22
615,,28
616,,26
617,,23
618,,25
619,,19
620,,27
621,,34
622,,24
623,,32
624,,35
625,,30
626,,30
627,,24
628,,33
629,,30
630,,39
631,,36
632,,26
633,,39
634,,39
635,,43
636,,31
637,,39
638,,31
639,,30
640,,27
641,,42
642,,26
643,,39
644,,50
645,,32
646,,47
647,,46
648,,38
649,,40
650,,41
651,,49
652,,47
653,,47
654,,50
655,,46
656,,38
657,,37
658,,23
659,,40
660,,37
661,,42
662,,40
663,,39
664,,35
665,,33
666,,38
667,,29
668,,29
669,,31
670,,26
671,,33
672,,40
673,,32
674,,33
675,,22
676,,27
677,,28
678,,31
679,,35
680,,23
681,,26
682,,30
683,,22
684,,31
685,,30
