Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,700
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,1218.93
Elapsed Live Time:,1200.0
Start Time:,October 07, 2022, 08:17:09
End Time:,October 07, 2022, 08:37:28
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,1
1,,0
2,,1
3,,14
4,,39
5,,43
6,,40
7,,44
8,,59
9,,66
10,,70
11,,97
12,,92
13,,91
14,,86
15,,114
16,,116
17,,106
18,,86
19,,96
20,,99
21,,101
22,,119
23,,102
24,,108
25,,62
26,,48
27,,63
28,,60
29,,106
30,,148
31,,155
32,,86
33,,50
34,,44
35,,39
36,,36
37,,32
38,,25
39,,25
40,,26
41,,25
42,,22
43,,21
44,,19
45,,17
46,,25
47,,16
48,,13
49,,14
50,,22
51,,15
52,,17
53,,11
54,,21
55,,12
56,,13
57,,12
58,,17
59,,11
60,,11
61,,7
62,,14
63,,11
64,,10
65,,12
66,,16
67,,12
68,,15
69,,23
70,,57
71,,247
72,,495
73,,782
74,,1022
75,,1305
76,,1562
77,,1713
78,,1974
79,,2256
80,,2318
81,,2665
82,,2727
83,,3107
84,,3349
85,,3429
86,,3720
87,,3753
88,,3929
89,,4089
90,,4311
91,,4570
92,,4637
93,,4743
94,,4952
95,,5137
96,,5403
97,,5555
98,,5671
99,,5714
100,,5712
101,,5804
102,,6110
103,,6163
104,,6278
105,,6319
106,,6169
107,,6320
108,,6279
109,,6230
110,,6361
111,,6243
112,,6296
113,,6288
114,,6310
115,,6232
116,,6310
117,,6240
118,,6305
119,,6349
120,,6215
121,,6224
122,,6240
123,,6134
124,,6248
125,,6358
126,,6132
127,,6318
128,,6315
129,,6242
130,,6242
131,,6202
132,,6299
133,,6439
134,,6254
135,,6428
136,,6240
137,,6376
138,,6527
139,,6476
140,,6506
141,,6424
142,,6520
143,,6411
144,,6499
145,,6542
146,,6511
147,,6507
148,,6583
149,,6665
150,,6664
151,,6846
152,,6838
153,,6952
154,,6961
155,,6987
156,,6925
157,,7266
158,,7175
159,,7199
160,,7165
161,,7213
162,,7448
163,,7457
164,,7369
165,,7372
166,,7456
167,,7598
168,,7513
169,,7793
170,,7733
171,,7651
172,,7745
173,,7856
174,,7793
175,,7658
176,,7758
177,,7738
178,,7412
179,,7082
180,,6963
181,,6777
182,,6576
183,,6358
184,,6015
185,,5913
186,,5608
187,,5441
188,,5414
189,,5245
190,,5177
191,,5029
192,,4985
193,,4859
194,,4642
195,,4717
196,,4841
197,,4803
198,,4828
199,,4618
200,,4746
201,,4706
202,,4560
203,,4536
204,,4428
205,,4353
206,,4345
207,,4232
208,,4146
209,,4143
210,,4157
211,,4237
212,,4653
213,,5070
214,,5924
215,,6980
216,,8165
217,,9849
218,,11664
219,,13272
220,,15231
221,,16645
222,,17722
223,,18343
224,,18727
225,,18000
226,,17623
227,,16100
228,,14462
229,,12499
230,,10464
231,,8595
232,,7002
233,,5638
234,,4293
235,,3215
236,,2585
237,,2086
238,,1705
239,,1666
240,,1615
241,,1762
242,,2125
243,,2640
244,,3346
245,,4314
246,,5654
247,,6716
248,,8105
249,,9528
250,,11003
251,,12250
252,,13481
253,,13939
254,,14480
255,,14403
256,,14023
257,,13227
258,,12410
259,,11127
260,,9744
261,,8058
262,,6872
263,,5573
264,,4543
265,,3672
266,,2874
267,,2156
268,,1661
269,,1285
270,,1051
271,,864
272,,730
273,,613
274,,566
275,,542
276,,484
277,,464
278,,417
279,,445
280,,368
281,,369
282,,362
283,,368
284,,343
285,,313
286,,346
287,,302
288,,297
289,,296
290,,297
291,,287
292,,305
293,,283
294,,254
295,,256
296,,231
297,,247
298,,262
299,,229
300,,242
301,,267
302,,246
303,,234
304,,225
305,,218
306,,244
307,,243
308,,231
309,,223
310,,236
311,,250
312,,231
313,,202
314,,234
315,,217
316,,236
317,,229
318,,230
319,,193
320,,218
321,,206
322,,218
323,,226
324,,247
325,,225
326,,207
327,,238
328,,235
329,,215
330,,240
331,,229
332,,211
333,,237
334,,220
335,,230
336,,212
337,,227
338,,215
339,,192
340,,209
341,,211
342,,187
343,,205
344,,187
345,,179
346,,203
347,,182
348,,210
349,,188
350,,186
351,,186
352,,207
353,,188
354,,181
355,,186
356,,202
357,,186
358,,164
359,,186
360,,189
361,,194
362,,159
363,,169
364,,185
365,,177
366,,152
367,,182
368,,165
369,,158
370,,164
371,,184
372,,152
373,,174
374,,178
375,,162
376,,170
377,,153
378,,161
379,,150
380,,151
381,,147
382,,160
383,,161
384,,157
385,,154
386,,137
387,,137
388,,114
389,,133
390,,146
391,,126
392,,132
393,,120
394,,114
395,,118
396,,110
397,,116
398,,139
399,,131
400,,118
401,,124
402,,146
403,,124
404,,116
405,,120
406,,101
407,,124
408,,128
409,,111
410,,134
411,,127
412,,122
413,,139
414,,135
415,,148
416,,184
417,,183
418,,173
419,,168
420,,185
421,,202
422,,190
423,,212
424,,211
425,,202
426,,225
427,,214
428,,247
429,,203
430,,199
431,,196
432,,180
433,,182
434,,196
435,,168
436,,165
437,,156
438,,150
439,,126
440,,142
441,,128
442,,104
443,,113
444,,104
445,,97
446,,89
447,,96
448,,93
449,,78
450,,90
451,,61
452,,73
453,,72
454,,58
455,,56
456,,55
457,,56
458,,55
459,,43
460,,37
461,,45
462,,47
463,,38
464,,43
465,,55
466,,41
467,,37
468,,46
469,,52
470,,51
471,,57
472,,59
473,,73
474,,76
475,,93
476,,75
477,,98
478,,100
479,,102
480,,111
481,,129
482,,119
483,,112
484,,138
485,,134
486,,159
487,,106
488,,128
489,,128
490,,103
491,,116
492,,103
493,,93
494,,93
495,,102
496,,77
497,,91
498,,67
499,,72
500,,55
501,,58
502,,47
503,,61
504,,45
505,,24
506,,36
507,,40
508,,31
509,,32
510,,45
511,,40
512,,38
513,,20
514,,17
515,,35
516,,25
517,,30
518,,35
519,,32
520,,29
521,,34
522,,18
523,,21
524,,26
525,,30
526,,23
527,,21
528,,27
529,,18
530,,29
531,,19
532,,18
533,,21
534,,17
535,,22
536,,28
537,,26
538,,26
539,,21
540,,24
541,,32
542,,27
543,,22
544,,20
545,,25
546,,30
547,,23
548,,23
549,,23
550,,24
551,,25
552,,25
553,,19
554,,22
555,,26
556,,23
557,,20
558,,21
559,,24
560,,20
561,,21
562,,23
563,,21
564,,23
565,,23
566,,24
567,,20
568,,27
569,,22
570,,25
571,,24
572,,23
573,,16
574,,35
575,,22
576,,21
577,,24
578,,25
579,,21
580,,26
581,,24
582,,20
583,,21
584,,18
585,,23
586,,25
587,,22
588,,27
589,,18
590,,22
591,,23
592,,23
593,,24
594,,16
595,,23
596,,27
597,,22
598,,15
599,,27
600,,33
601,,23
602,,27
603,,19
604,,20
605,,27
606,,26
607,,19
608,,24
609,,24
610,,24
611,,18
612,,13
613,,31
614,,29
615,,20
616,,32
617,,26
618,,21
619,,32
620,,18
621,,27
622,,34
623,,25
624,,30
625,,29
626,,29
627,,30
628,,27
629,,38
630,,26
631,,28
632,,25
633,,32
634,,45
635,,44
636,,25
637,,35
638,,35
639,,38
640,,41
641,,44
642,,56
643,,37
644,,50
645,,52
646,,48
647,,32
648,,56
649,,45
650,,41
651,,56
652,,34
653,,45
654,,39
655,,57
656,,38
657,,33
658,,54
659,,31
660,,40
661,,55
662,,35
663,,35
664,,42
665,,38
666,,42
667,,42
668,,35
669,,48
670,,37
671,,39
672,,25
673,,34
674,,34
675,,36
676,,35
677,,31
678,,31
679,,35
680,,33
681,,28
682,,29
683,,26
684,,24
685,,38
686,,33
687,,26
688,,31
689,,29
690,,30
691,,20
692,,28
693,,32
694,,28
695,,29
696,,33
697,,28
698,,31
699,,28
700,,26
701,,33
702,,33
703,,28
704,,26
705,,31
706,,36
707,,25
708,,23
709,,25
710,,26
711,,26
712,,32
713,,25
714,,28
715,,28
716,,37
717,,33
718,,31
719,,37
720,,24
721,,31
722,,39
723,,31
724,,44
725,,38
726,,29
727,,29
728,,27
729,,33
730,,19
731,,38
732,,40
733,,38
734,,42
735,,37
736,,35
737,,47
738,,48
739,,43
740,,50
741,,49
742,,42
743,,48
744,,37
745,,40
746,,41
747,,58
748,,48
749,,32
750,,38
751,,44
752,,47
753,,34
754,,40
755,,56
756,,41
757,,43
758,,36
759,,48
760,,42
761,,34
762,,42
763,,39
764,,36
765,,32
766,,32
767,,37
768,,41
769,,32
770,,38
771,,24
772,,25
773,,38
774,,38
775,,36
776,,23
777,,27
778,,21
779,,18
780,,28
781,,23
782,,24
783,,22
784,,25
785,,31
786,,14
787,,15
788,,17
789,,18
790,,29
791,,17
792,,22
793,,15
794,,16
795,,15
796,,21
797,,20
798,,22
799,,20
800,,10
801,,17
802,,21
803,,12
804,,9
805,,17
806,,12
807,,10
808,,17
809,,13
810,,12
811,,16
812,,11
813,,20
814,,19
815,,11
816,,15
817,,21
818,,15
819,,17
820,,19
821,,18
822,,14
823,,16
824,,26
825,,14
826,,13
827,,25
828,,14
829,,29
830,,24
831,,27
832,,25
833,,21
834,,20
835,,27
836,,25
837,,26
838,,26
839,,33
840,,28
841,,21
842,,32
843,,33
844,,36
845,,27
846,,25
847,,26
848,,25
849,,22
850,,26
851,,25
852,,20
853,,26
854,,23
855,,17
856,,11
857,,10
858,,12
859,,13
860,,11
861,,8
862,,23
863,,14
864,,10
865,,8
866,,11
867,,8
868,,15
869,,5
870,,9
871,,12
872,,10
873,,7
874,,7
875,,6
876,,9
877,,5
878,,6
879,,6
880,,4
881,,5
882,,7
883,,5
884,,6
885,,1
886,,5
887,,3
888,,1
889,,6
890,,2
891,,4
892,,4
893,,3
894,,7
895,,3
896,,3
897,,5
898,,3
899,,8
900,,7
901,,2
902,,4
903,,5
904,,4
905,,3
906,,3
907,,4
908,,6
909,,3
910,,5
911,,6
912,,3
913,,5
914,,3
915,,5
916,,6
917,,1
918,,0
919,,2
920,,2
921,,9
922,,6
923,,6
924,,1
925,,3
926,,1
927,,2
928,,4
929,,1
930,,3
931,,5
932,,1
933,,6
934,,3
935,,4
936,,4
937,,6
938,,2
939,,4
940,,3
941,,6
