Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,700
Conversion Gain:,4096
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,4191
Lower Discriminator:,54
Calibration Coefficients:Elapsed Real Time:,1220.54
Elapsed Live Time:,1200.0
Start Time:,October 06, 2022, 12:49:39
End Time:,October 06, 2022, 01:10:00
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,1
11,,0
12,,1
13,,3
14,,4
15,,9
16,,14
17,,8
18,,22
19,,10
20,,16
21,,9
22,,13
23,,17
24,,16
25,,15
26,,16
27,,11
28,,7
29,,10
30,,13
31,,17
32,,17
33,,10
34,,14
35,,6
36,,18
37,,10
38,,12
39,,14
40,,17
41,,15
42,,13
43,,12
44,,20
45,,27
46,,17
47,,20
48,,15
49,,21
50,,18
51,,21
52,,16
53,,20
54,,20
55,,21
56,,13
57,,17
58,,9
59,,11
60,,20
61,,10
62,,19
63,,26
64,,21
65,,22
66,,25
67,,26
68,,26
69,,22
70,,23
71,,18
72,,19
73,,20
74,,15
75,,15
76,,18
77,,28
78,,11
79,,24
80,,22
81,,18
82,,22
83,,18
84,,24
85,,19
86,,19
87,,22
88,,23
89,,22
90,,28
91,,19
92,,24
93,,14
94,,15
95,,27
96,,16
97,,21
98,,24
99,,19
100,,21
101,,20
102,,12
103,,20
104,,21
105,,20
106,,24
107,,13
108,,14
109,,22
110,,16
111,,11
112,,17
113,,16
114,,30
115,,31
116,,32
117,,37
118,,39
119,,44
120,,31
121,,36
122,,28
123,,37
124,,31
125,,28
126,,33
127,,37
128,,34
129,,28
130,,21
131,,28
132,,17
133,,23
134,,17
135,,15
136,,7
137,,14
138,,13
139,,12
140,,10
141,,5
142,,6
143,,9
144,,11
145,,10
146,,11
147,,12
148,,12
149,,9
150,,9
151,,9
152,,5
153,,5
154,,9
155,,5
156,,9
157,,10
158,,6
159,,7
160,,1
161,,8
162,,3
163,,9
164,,6
165,,5
166,,2
167,,2
168,,2
169,,5
170,,5
171,,3
172,,6
173,,4
174,,1
175,,4
176,,3
177,,4
178,,7
179,,5
180,,2
181,,1
182,,5
183,,3
184,,2
185,,2
186,,2
187,,4
188,,4
189,,0
190,,4
191,,2
192,,7
193,,3
194,,5
195,,2
196,,2
197,,3
198,,1
199,,3
200,,2
201,,5
202,,3
203,,3
204,,3
205,,3
206,,4
207,,8
208,,0
209,,11
210,,0
211,,3
212,,3
213,,3
214,,3
215,,5
216,,5
217,,5
218,,2
219,,4
220,,5
221,,1
222,,2
223,,4
224,,1
225,,1
226,,2
227,,3
228,,2
229,,4
230,,3
231,,3
232,,1
233,,4
234,,2
235,,4
236,,2
237,,5
238,,1
239,,5
240,,2
241,,7
242,,6
243,,3
244,,7
245,,3
246,,3
247,,3
248,,4
249,,6
250,,2
251,,4
252,,4
253,,7
254,,5
255,,3
256,,5
257,,0
258,,4
259,,8
260,,5
261,,2
262,,4
263,,1
264,,6
265,,8
266,,7
267,,5
268,,2
269,,3
270,,5
271,,4
272,,2
273,,3
274,,8
275,,5
276,,2
277,,3
278,,3
279,,14
280,,19
281,,22
282,,25
283,,46
284,,63
285,,92
286,,96
287,,92
288,,135
289,,160
290,,162
291,,175
292,,216
293,,223
294,,248
295,,272
296,,280
297,,264
298,,306
299,,312
300,,370
301,,365
302,,398
303,,392
304,,421
305,,451
306,,454
307,,456
308,,510
309,,506
310,,531
311,,518
312,,529
313,,556
314,,574
315,,590
316,,596
317,,645
318,,672
319,,649
320,,663
321,,645
322,,688
323,,733
324,,723
325,,701
326,,756
327,,749
328,,807
329,,781
330,,743
331,,809
332,,812
333,,830
334,,862
335,,870
336,,888
337,,883
338,,818
339,,900
340,,892
341,,918
342,,877
343,,851
344,,960
345,,964
346,,994
347,,972
348,,947
349,,955
350,,931
351,,972
352,,1004
353,,1012
354,,1040
355,,1014
356,,1084
357,,1125
358,,1086
359,,1110
360,,1109
361,,1104
362,,1100
363,,1095
364,,1114
365,,1111
366,,1120
367,,1117
368,,1179
369,,1115
370,,1180
371,,1173
