Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,700
Conversion Gain:,4096
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,4191
Lower Discriminator:,54
Calibration Coefficients:Elapsed Real Time:,1201.36
Elapsed Live Time:,1200.0
Start Time:,August 30, 2022, 11:41:46
End Time:,August 30, 2022, 12:01:47
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,1
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,0
28,,0
29,,0
30,,0
31,,0
32,,0
33,,1
34,,0
35,,0
36,,0
37,,0
38,,0
39,,1
40,,1
41,,0
42,,0
43,,0
44,,1
45,,0
46,,0
47,,0
48,,1
49,,0
50,,0
51,,0
52,,1
53,,1
54,,0
55,,0
56,,1
57,,0
58,,4
59,,1
60,,1
61,,0
62,,0
63,,0
64,,0
65,,0
66,,0
67,,0
68,,1
69,,2
70,,0
71,,0
72,,0
73,,0
74,,1
75,,0
76,,0
77,,0
78,,0
79,,1
80,,0
81,,2
82,,4
83,,1
84,,1
85,,0
86,,0
87,,0
88,,3
89,,1
90,,0
91,,0
92,,0
93,,0
94,,0
95,,1
96,,0
97,,0
98,,0
99,,1
100,,0
101,,2
102,,0
103,,1
104,,1
105,,0
106,,0
107,,1
108,,0
109,,0
110,,1
111,,0
112,,0
113,,0
114,,1
115,,1
116,,1
117,,0
118,,0
119,,0
120,,0
121,,0
122,,0
123,,0
124,,0
125,,0
126,,1
127,,0
128,,0
129,,0
130,,0
131,,0
132,,0
133,,1
134,,0
135,,0
136,,0
137,,0
138,,1
139,,0
140,,0
141,,0
142,,0
143,,0
144,,0
145,,1
146,,0
147,,0
148,,0
149,,0
150,,0
151,,0
152,,0
153,,1
154,,0
155,,0
156,,0
157,,0
158,,0
159,,1
160,,0
161,,0
162,,0
163,,0
164,,0
165,,0
166,,0
167,,0
168,,0
169,,0
170,,0
171,,0
172,,0
173,,0
174,,0
175,,0
176,,0
177,,0
178,,1
179,,0
180,,0
181,,0
182,,0
183,,0
184,,0
185,,0
186,,0
187,,0
188,,0
189,,0
190,,0
191,,0
192,,0
193,,0
194,,0
195,,0
196,,0
197,,0
198,,0
199,,0
200,,0
201,,0
202,,0
203,,0
204,,0
205,,0
206,,0
207,,0
208,,0
209,,0
210,,0
211,,0
212,,0
213,,0
214,,0
215,,0
216,,0
217,,0
218,,0
219,,0
220,,0
221,,0
222,,0
223,,0
224,,0
225,,0
226,,0
227,,0
228,,0
229,,0
230,,0
231,,0
232,,0
233,,0
234,,0
235,,0
236,,0
237,,0
238,,0
239,,0
240,,0
241,,0
242,,0
243,,0
244,,0
245,,0
246,,0
247,,0
248,,0
249,,0
250,,0
251,,0
252,,0
253,,0
254,,0
255,,0
256,,0
257,,0
258,,0
259,,0
260,,0
261,,0
262,,0
263,,0
264,,0
265,,0
266,,0
267,,0
268,,2
269,,4
270,,5
271,,5
272,,8
273,,9
274,,6
275,,10
276,,14
277,,18
278,,13
279,,24
280,,20
281,,22
282,,23
283,,29
284,,40
285,,29
286,,34
287,,42
288,,37
289,,33
290,,40
291,,39
292,,46
293,,47
294,,56
295,,46
296,,52
297,,51
298,,43
299,,59
300,,45
301,,51
302,,68
303,,33
304,,70
305,,65
306,,57
307,,56
308,,64
309,,59
310,,62
311,,64
312,,61
313,,75
314,,66
315,,77
316,,82
317,,65
318,,73
319,,79
320,,90
321,,74
322,,65
323,,74
324,,95
325,,69
326,,84
327,,82
328,,85
329,,92
330,,92
331,,92
332,,77
333,,104
334,,92
335,,92
336,,98
337,,98
338,,100
339,,87
340,,116
341,,102
342,,105
343,,111
344,,91
345,,114
346,,84
347,,105
348,,121
349,,98
350,,108
351,,98
352,,86
353,,109
354,,82
355,,88
356,,96
357,,94
358,,99
359,,104
360,,84
361,,82
362,,66
363,,107
364,,102
365,,80
366,,87
367,,98
368,,93
369,,92
370,,98
371,,89
372,,96
373,,80
374,,99
375,,92
