Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,700
Conversion Gain:,4096
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,4191
Lower Discriminator:,54
Calibration Coefficients:Elapsed Real Time:,1222.56
Elapsed Live Time:,1200.0
Start Time:,October 06, 2022, 11:37:12
End Time:,October 06, 2022, 11:57:34
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,3
14,,2
15,,1
16,,2
17,,3
18,,3
19,,1
20,,3
21,,3
22,,7
23,,2
24,,6
25,,6
26,,2
27,,2
28,,6
29,,3
30,,6
31,,5
32,,8
33,,7
34,,7
35,,7
36,,6
37,,3
38,,8
39,,9
40,,15
41,,11
42,,15
43,,14
44,,22
45,,29
46,,36
47,,33
48,,21
49,,26
50,,21
51,,22
52,,26
53,,27
54,,31
55,,34
56,,43
57,,48
58,,69
59,,51
60,,61
61,,59
62,,66
63,,67
64,,52
65,,61
66,,61
67,,60
68,,60
69,,44
70,,54
71,,47
72,,39
73,,42
74,,28
75,,41
76,,31
77,,28
78,,40
79,,33
80,,20
81,,22
82,,21
83,,32
84,,25
85,,33
86,,21
87,,20
88,,19
89,,22
90,,24
91,,24
92,,17
93,,11
94,,21
95,,17
96,,30
97,,20
98,,17
99,,21
100,,21
101,,11
102,,20
103,,11
104,,14
105,,11
106,,9
107,,12
108,,18
109,,26
110,,9
111,,28
112,,23
113,,29
114,,31
115,,44
116,,36
117,,43
118,,42
119,,51
120,,27
121,,38
122,,33
123,,43
124,,29
125,,38
126,,24
127,,26
128,,35
129,,16
130,,24
131,,10
132,,11
133,,12
134,,10
135,,9
136,,7
137,,12
138,,7
139,,5
140,,5
141,,9
142,,12
143,,9
144,,5
145,,3
146,,3
147,,5
148,,9
149,,6
150,,3
151,,3
152,,2
153,,7
154,,6
155,,4
156,,8
157,,2
158,,4
159,,0
160,,4
161,,2
162,,3
163,,3
164,,3
165,,4
166,,4
167,,3
168,,3
169,,4
170,,1
171,,4
172,,5
173,,4
174,,1
175,,0
176,,1
177,,2
178,,1
179,,3
180,,2
181,,4
182,,2
183,,2
184,,2
185,,4
186,,3
187,,4
188,,2
189,,2
190,,3
191,,0
192,,0
193,,1
194,,1
195,,4
196,,3
197,,4
198,,1
199,,2
200,,3
201,,4
202,,3
203,,0
204,,2
205,,5
206,,0
207,,1
208,,0
209,,3
210,,2
211,,3
212,,4
213,,2
214,,1
215,,4
216,,1
217,,0
218,,4
219,,2
220,,4
221,,2
222,,7
223,,3
224,,4
225,,4
226,,2
227,,2
228,,3
229,,0
230,,1
231,,2
232,,1
233,,2
234,,1
235,,0
236,,2
237,,3
238,,3
239,,0
240,,0
241,,4
242,,2
243,,0
244,,3
245,,3
246,,2
247,,2
248,,4
249,,3
250,,2
251,,0
252,,2
253,,2
254,,2
255,,2
256,,2
257,,6
258,,5
259,,6
260,,3
261,,5
262,,2
263,,3
264,,1
265,,1
266,,2
267,,8
268,,6
269,,2
270,,3
271,,5
272,,4
273,,5
274,,9
275,,15
276,,8
277,,18
278,,37
279,,49
280,,56
281,,68
282,,51
283,,92
284,,107
285,,122
286,,139
287,,146
288,,157
289,,180
290,,189
291,,192
292,,211
293,,246
294,,235
295,,288
296,,278
297,,290
298,,309
299,,334
300,,334
301,,347
302,,356
303,,383
304,,431
305,,405
306,,410
307,,426
308,,435
309,,449
310,,470
311,,523
312,,537
313,,544
314,,541
315,,558
316,,553
317,,578
318,,653
319,,611
320,,650
321,,547
322,,678
323,,631
324,,679
325,,686
326,,686
327,,695
328,,748
329,,744
330,,741
331,,744
332,,742
333,,744
334,,804
335,,819
336,,782
337,,835
338,,868
339,,815
340,,888
341,,851
342,,904
343,,904
344,,895
345,,971
346,,972
347,,965
348,,959
349,,961
350,,939
351,,989
352,,966
353,,1003
354,,1007
355,,1009
356,,1029
357,,1009
358,,1036
359,,1091
360,,1097
361,,1081
362,,1076
363,,1078
364,,1121
365,,1076
366,,1163
367,,1218
368,,1179
369,,1145
370,,1194
371,,1204
