Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,700
Conversion Gain:,4096
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,4191
Lower Discriminator:,54
Calibration Coefficients:Elapsed Real Time:,1241.66
Elapsed Live Time:,1200.0
Start Time:,October 06, 2022, 10:27:13
End Time:,October 06, 2022, 10:47:54
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,6
1,,0
2,,0
3,,1
4,,0
5,,0
6,,0
7,,0
8,,0
9,,1
10,,0
11,,2
12,,2
13,,2
14,,12
15,,15
16,,20
17,,26
18,,13
19,,17
20,,20
21,,14
22,,14
23,,9
24,,15
25,,12
26,,12
27,,18
28,,29
29,,21
30,,39
31,,30
32,,28
33,,25
34,,27
35,,24
36,,22
37,,23
38,,26
39,,31
40,,27
41,,40
42,,45
43,,45
44,,67
45,,116
46,,106
47,,114
48,,76
49,,87
50,,75
51,,67
52,,60
53,,46
54,,41
55,,52
56,,54
57,,60
58,,49
59,,56
60,,65
61,,65
62,,76
63,,63
64,,75
65,,108
66,,99
67,,96
68,,120
69,,136
70,,127
71,,169
72,,188
73,,190
74,,202
75,,258
76,,309
77,,298
78,,337
79,,406
80,,500
81,,478
82,,477
83,,504
84,,571
85,,565
86,,586
87,,585
88,,599
89,,575
90,,603
91,,561
92,,537
93,,551
94,,503
95,,474
96,,475
97,,375
98,,384
99,,302
100,,251
101,,212
102,,208
103,,185
104,,195
105,,167
106,,154
107,,173
108,,139
109,,135
110,,134
111,,135
112,,114
113,,148
114,,136
115,,114
116,,112
117,,117
118,,102
119,,78
120,,81
121,,75
122,,51
123,,52
124,,51
125,,42
126,,33
127,,29
128,,26
129,,25
130,,27
131,,31
132,,20
133,,16
134,,18
135,,23
136,,14
137,,20
138,,11
139,,12
140,,7
141,,11
142,,10
143,,9
144,,13
145,,7
146,,7
147,,11
148,,10
149,,11
150,,4
151,,6
152,,6
153,,5
154,,10
155,,5
156,,14
157,,8
158,,6
159,,5
160,,9
161,,7
162,,11
163,,7
164,,9
165,,6
166,,3
167,,7
168,,7
169,,7
170,,12
171,,7
172,,6
173,,8
174,,13
175,,4
176,,9
177,,3
178,,10
179,,8
180,,11
181,,10
182,,13
183,,3
184,,5
185,,2
186,,7
187,,5
188,,12
189,,6
190,,7
191,,13
192,,11
193,,16
194,,8
195,,9
196,,12
197,,10
198,,10
199,,13
200,,7
201,,11
202,,14
203,,8
204,,9
205,,14
206,,11
207,,13
208,,12
209,,10
210,,22
211,,18
212,,20
213,,15
214,,9
215,,11
216,,16
217,,17
218,,17
219,,14
220,,13
221,,19
222,,12
223,,11
224,,20
225,,16
226,,14
227,,11
228,,12
229,,19
230,,14
231,,14
232,,9
233,,14
234,,8
235,,11
236,,18
