Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,700
Conversion Gain:,4096
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,4191
Lower Discriminator:,54
Calibration Coefficients:Elapsed Real Time:,1224.36
Elapsed Live Time:,1200.0
Start Time:,October 06, 2022, 11:15:26
End Time:,October 06, 2022, 11:35:52
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,3
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,2
14,,0
15,,1
16,,3
17,,2
18,,0
19,,1
20,,6
21,,2
22,,3
23,,3
24,,6
25,,4
26,,2
27,,3
28,,4
29,,4
30,,6
31,,4
32,,2
33,,3
34,,7
35,,8
36,,4
37,,6
38,,6
39,,8
40,,5
41,,11
42,,12
43,,12
44,,38
45,,42
46,,40
47,,26
48,,15
49,,17
50,,16
51,,14
52,,12
53,,9
54,,8
55,,13
56,,10
57,,11
58,,9
59,,13
60,,12
61,,10
62,,12
63,,15
64,,9
65,,19
66,,13
67,,9
68,,11
69,,8
70,,11
71,,15
72,,23
73,,12
74,,13
75,,18
76,,15
77,,20
78,,14
79,,17
80,,15
81,,15
82,,13
83,,19
84,,17
85,,18
86,,20
87,,16
88,,24
89,,21
90,,25
91,,17
92,,18
93,,19
94,,16
95,,25
96,,22
97,,24
98,,18
99,,25
100,,17
101,,17
102,,20
103,,20
104,,20
105,,25
106,,19
107,,29
108,,24
109,,31
110,,30
111,,33
112,,32
113,,26
114,,46
115,,39
116,,42
117,,33
118,,27
119,,39
120,,32
121,,35
122,,32
123,,24
124,,24
125,,27
126,,37
127,,21
128,,24
129,,20
130,,22
131,,15
132,,14
133,,20
134,,16
135,,11
136,,14
137,,8
138,,4
139,,6
140,,5
141,,8
142,,5
143,,13
144,,7
145,,6
146,,8
147,,9
148,,5
149,,3
150,,2
151,,2
152,,2
153,,2
154,,5
155,,2
156,,3
157,,5
158,,1
159,,2
160,,2
161,,4
162,,2
163,,0
164,,1
165,,3
166,,3
167,,4
168,,3
169,,2
170,,3
171,,2
172,,1
173,,0
174,,1
175,,2
176,,4
177,,2
178,,2
179,,2
180,,3
181,,2
182,,3
183,,0
184,,2
185,,3
186,,2
187,,4
188,,1
189,,3
190,,1
191,,4
192,,5
193,,4
194,,1
195,,2
196,,3
197,,2
198,,1
199,,1
200,,2
201,,0
202,,1
203,,2
204,,1
205,,2
206,,1
207,,1
208,,2
209,,0
210,,0
211,,5
212,,3
213,,2
214,,2
215,,0
216,,2
217,,0
218,,1
219,,1
220,,2
221,,1
222,,1
223,,0
224,,2
225,,1
226,,2
227,,4
228,,0
229,,2
230,,0
231,,2
232,,1
233,,2
234,,1
235,,1
236,,3
237,,1
238,,1
239,,2
240,,0
241,,2
242,,1
243,,2
244,,2
245,,3
246,,2
247,,5
248,,1
249,,2
250,,4
251,,4
252,,1
253,,2
254,,1
255,,2
256,,2
257,,0
258,,0
259,,1
260,,1
261,,1
262,,2
263,,1
264,,3
265,,4
266,,2
267,,0
268,,0
269,,1
270,,1
271,,0
272,,2
273,,3
274,,6
275,,9
276,,11
277,,13
278,,19
279,,28
280,,28
281,,33
282,,45
283,,62
284,,63
285,,79
286,,86
287,,95
288,,102
289,,114
290,,118
291,,139
292,,145
293,,148
294,,164
295,,197
296,,191
297,,201
298,,195
299,,217
300,,246
301,,252
302,,239
303,,239
304,,253
305,,303
306,,297
307,,269
308,,290
309,,340
310,,326
311,,347
312,,368
313,,382
314,,400
315,,372
316,,408
317,,401
318,,414
319,,445
320,,439
321,,492
322,,475
323,,447
324,,477
325,,479
326,,509
327,,502
328,,501
329,,506
330,,552
331,,564
332,,568
333,,521
334,,559
335,,643
336,,573
337,,612
338,,628
339,,623
340,,627
341,,666
342,,623
343,,681
344,,666
345,,675
346,,710
347,,675
348,,740
349,,729
350,,727
351,,728
352,,737
353,,758
354,,794
355,,785
356,,825
357,,789
358,,793
359,,821
360,,793
361,,812
362,,796
363,,761
364,,872
365,,832
366,,855
367,,910
368,,811
369,,851
370,,871
371,,864
372,,872
373,,929
374,,902
375,,928
376,,980
377,,950
378,,991
379,,893
380,,925
381,,909
382,,981
383,,981
384,,963
385,,937
386,,934
387,,979
388,,1041
389,,1014
390,,1051
391,,1020
392,,974
393,,980
394,,1039
395,,1043
396,,1043
397,,1038
398,,1114
399,,1059
400,,1071
401,,1027
402,,1051
403,,1074
404,,1103
405,,1091
406,,1111
407,,1084
408,,1026
409,,1150
410,,1157
411,,1089
412,,1158
413,,1094
414,,1093
415,,1047
416,,1105
417,,1157
418,,1055
419,,1119
420,,1110
421,,1077
422,,1190
423,,1102
424,,1087
425,,1106
426,,1064
427,,1181
428,,1098
429,,1120
430,,1125
431,,1159
432,,1079
433,,1090
434,,1093
435,,1074
436,,1137
437,,1084
438,,1090
439,,1116
440,,1125
441,,1142
442,,1142
443,,1113
444,,1164
445,,1075
446,,1125
447,,1125
448,,1048
449,,1081
450,,1114
451,,1162
452,,1145
453,,1058
454,,1096
455,,1163
456,,1077
457,,1149
458,,1127
459,,1127
460,,1071
461,,1100
462,,1159
463,,1110
464,,1130
465,,1120
466,,1165
467,,1085
468,,1145
469,,1111
470,,1149
471,,1140
472,,1135
473,,1086
474,,1176
475,,1150
476,,1113
477,,1143
478,,1207
479,,1163
480,,1182
481,,1155
482,,1144
483,,1171
484,,1183
485,,1193
486,,1232
487,,1157
488,,1133
489,,1227
490,,1278
491,,1243
492,,1249
493,,1145
494,,1203
495,,1243
496,,1281
497,,1253
498,,1219
499,,1222
500,,1277
501,,1248
502,,1262
503,,1248
504,,1300
505,,1186
506,,1247
507,,1214
508,,1276
509,,1327
510,,1247
511,,1230
512,,1299
513,,1342
514,,1244
515,,1253
516,,1332
517,,1339
518,,1293
519,,1207
520,,1345
521,,1274
522,,1306
523,,1248
524,,1249
525,,1343
526,,1319
527,,1316
528,,1315
529,,1314
530,,1266
531,,1298
532,,1234
533,,1296
534,,1246
535,,1243
536,,1305
537,,1276
538,,1268
539,,1290
540,,1170
541,,1279
542,,1285
543,,1318
544,,1276
545,,1249
546,,1330
547,,1220
548,,1271
549,,1231
550,,1290
551,,1279
552,,1278
553,,1296
554,,1268
555,,1286
556,,1314
557,,1299
558,,1278
559,,1249
560,,1262
561,,1269
562,,1274
563,,1263
564,,1286
565,,1228
566,,1262
567,,1233
568,,1203
569,,1166
570,,1239
571,,1300
572,,1262
573,,1258
574,,1268
575,,1220
576,,1292
577,,1242
578,,1217
579,,1254
580,,1248
581,,1172
582,,1249
583,,1222
584,,1229
585,,1201
586,,1211
587,,1132
588,,1205
589,,1245
590,,1244
591,,1232
592,,1219
593,,1235
594,,1238
595,,1253
596,,1241
597,,1195
598,,1211
599,,1135
600,,1179
601,,1211
602,,1242
603,,1228
604,,1230
605,,1180
606,,1233
607,,1099
608,,1152
609,,1215
610,,1229
611,,1202
612,,1148
613,,1163
614,,1152
615,,1163
616,,1179
617,,1223
618,,1161
619,,1207
620,,1129
621,,1116
622,,1150
623,,1167
624,,1149
625,,1188
626,,1127
627,,1127
628,,1186
629,,1154
630,,1125
631,,1091
632,,1142
633,,1101
634,,1129
635,,1164
636,,1140
637,,1144
638,,1144
639,,1173
640,,1150
641,,1103
642,,1112
643,,1146
644,,1133
645,,1142
646,,1076
647,,1104
648,,1133
649,,1093
650,,1153
651,,1115
652,,1080
653,,1118
654,,1104
655,,1109
656,,1085
657,,1112
658,,1009
659,,1080
660,,1161
661,,1111
662,,1050
663,,1072
664,,1091
665,,1140
666,,1132
667,,1066
668,,1066
669,,1016
670,,1047
671,,1072
672,,1028
673,,1050
674,,1103
675,,1080
676,,1063
677,,1039
678,,1060
679,,1049
680,,1079
681,,1052
682,,1073
683,,1049
684,,1019
685,,975
686,,1029
687,,1022
688,,1042
689,,1054
690,,1110
691,,1042
692,,1014
693,,1052
694,,1066
695,,1007
696,,1053
697,,1078
698,,1034
699,,1020
700,,1048
701,,1068
702,,1013
703,,1048
704,,1012
705,,1031
706,,1028
707,,973
708,,1042
709,,997
710,,971
711,,1035
712,,1002
713,,971
714,,1008
715,,1026
716,,1000
717,,966
718,,1029
719,,948
720,,930
721,,1028
722,,1007
723,,972
724,,953
725,,1004
726,,987
727,,957
728,,981
729,,993
730,,945
731,,958
732,,1020
733,,982
734,,930
735,,955
736,,1014
737,,929
738,,969
739,,918
740,,940
741,,942
742,,936
743,,965
744,,889
745,,961
746,,948
747,,932
748,,917
749,,933
750,,948
751,,916
752,,880
753,,898
754,,896
755,,874
756,,951
757,,913
758,,988
759,,900
760,,887
761,,863
762,,861
763,,890
764,,889
765,,816
766,,848
767,,861
768,,931
769,,850
770,,833
771,,891
772,,831
773,,878
774,,884
775,,854
776,,851
777,,857
778,,883
779,,862
780,,853
781,,843
782,,849
783,,831
784,,882
785,,841
786,,842
787,,828
788,,866
789,,823
790,,900
791,,877
792,,822
793,,854
794,,828
795,,874
796,,811
797,,884
798,,893
799,,838
800,,822
801,,854
802,,763
803,,781
804,,807
805,,784
806,,826
807,,842
808,,829
809,,816
810,,869
811,,774
812,,838
813,,800
814,,868
815,,800
816,,761
817,,764
818,,815
819,,747
820,,808
821,,791
822,,766
823,,763
824,,778
825,,784
826,,815
827,,814
828,,787
829,,798
830,,794
831,,762
832,,781
833,,727
834,,813
835,,811
836,,779
837,,772
838,,779
839,,745
840,,729
841,,786
842,,785
843,,759
844,,777
845,,771
846,,744
847,,747
848,,716
849,,783
850,,773
851,,765
852,,763
853,,768
854,,758
855,,702
856,,762
857,,753
858,,769
859,,721
860,,761
861,,781
862,,740
863,,708
864,,723
865,,722
866,,746
867,,761
868,,768
869,,714
870,,708
871,,737
872,,692
873,,699
874,,766
875,,759
876,,729
877,,648
878,,703
879,,699
880,,689
881,,722
882,,698
883,,711
884,,715
885,,760
886,,738
887,,709
888,,697
889,,686
890,,728
891,,691
892,,694
893,,668
894,,694
895,,674
896,,708
897,,656
898,,719
899,,680
900,,686
901,,725
902,,667
903,,677
904,,713
905,,687
906,,669
907,,741
908,,679
909,,662
910,,689
911,,635
912,,671
913,,729
914,,672
915,,671
916,,643
917,,672
918,,663
919,,684
920,,672
921,,667
922,,699
923,,640
924,,697
925,,739
926,,647
927,,660
928,,692
929,,681
930,,711
931,,645
932,,706
933,,638
934,,667
935,,681
936,,649
937,,669
938,,634
939,,616
940,,612
941,,649
942,,669
943,,678
944,,680
945,,630
946,,652
947,,671
948,,658
949,,694
950,,642
951,,624
952,,632
953,,661
954,,662
955,,693
956,,668
957,,619
958,,593
959,,652
960,,662
961,,636
962,,651
963,,638
964,,637
965,,634
966,,636
967,,633
968,,646
969,,634
970,,662
971,,638
972,,599
973,,629
974,,613
975,,674
976,,659
977,,617
978,,614
979,,685
980,,628
981,,653
982,,626
983,,623
984,,612
985,,634
986,,624
987,,646
988,,632
989,,621
990,,618
991,,610
992,,610
993,,639
994,,619
995,,637
996,,614
997,,562
998,,604
999,,606
1000,,631
1001,,614
1002,,577
1003,,635
1004,,617
1005,,624
1006,,600
1007,,603
1008,,622
1009,,563
1010,,641
1011,,617
1012,,595
1013,,607
1014,,589
1015,,605
1016,,572
1017,,624
1018,,634
1019,,594
1020,,548
1021,,622
1022,,607
1023,,570
1024,,608
1025,,657
1026,,632
1027,,600
1028,,611
1029,,613
1030,,621
1031,,620
1032,,630
1033,,593
1034,,624
1035,,587
1036,,597
1037,,609
1038,,559
1039,,576
1040,,598
1041,,621
1042,,609
1043,,590
1044,,555
1045,,590
1046,,600
1047,,570
1048,,559
1049,,586
1050,,580
1051,,604
1052,,563
1053,,593
1054,,582
1055,,609
1056,,614
1057,,566
1058,,609
1059,,549
1060,,580
1061,,614
1062,,602
1063,,575
1064,,585
1065,,524
1066,,606
1067,,612
1068,,579
1069,,609
1070,,578
1071,,582
1072,,559
1073,,585
1074,,557
1075,,593
1076,,601
1077,,619
1078,,548
1079,,592
1080,,549
1081,,619
1082,,580
1083,,561
1084,,619
1085,,602
1086,,579
1087,,516
1088,,616
1089,,545
1090,,588
1091,,571
1092,,627
1093,,581
1094,,572
1095,,578
1096,,552
1097,,568
1098,,534
1099,,574
1100,,536
1101,,528
1102,,588
1103,,593
1104,,566
1105,,571
1106,,545
1107,,578
1108,,556
1109,,539
1110,,584
1111,,554
1112,,513
1113,,540
1114,,538
1115,,545
1116,,557
1117,,587
1118,,585
1119,,538
1120,,583
1121,,520
1122,,577
1123,,569
1124,,577
1125,,571
1126,,606
1127,,607
1128,,538
1129,,548
1130,,544
1131,,524
1132,,564
1133,,536
1134,,556
1135,,582
1136,,532
1137,,498
1138,,589
1139,,574
1140,,523
1141,,562
1142,,574
1143,,595
1144,,531
1145,,555
1146,,539
1147,,549
1148,,571
1149,,588
1150,,545
1151,,519
1152,,499
1153,,564
1154,,575
1155,,564
1156,,570
1157,,545
1158,,540
1159,,540
1160,,548
1161,,539
1162,,592
1163,,572
1164,,530
1165,,560
1166,,541
1167,,550
1168,,550
1169,,544
1170,,566
1171,,505
1172,,578
1173,,562
1174,,547
1175,,545
1176,,569
1177,,531
1178,,497
1179,,584
1180,,546
1181,,553
1182,,598
1183,,535
1184,,561
1185,,578
1186,,533
1187,,559
1188,,573
1189,,567
1190,,546
1191,,547
1192,,533
1193,,544
1194,,541
1195,,532
1196,,537
1197,,515
1198,,533
1199,,544
1200,,593
1201,,557
1202,,535
1203,,505
1204,,543
1205,,567
1206,,519
1207,,513
1208,,560
1209,,598
1210,,540
1211,,552
1212,,537
1213,,539
1214,,576
1215,,515
1216,,539
1217,,560
1218,,507
1219,,539
1220,,529
1221,,564
1222,,558
1223,,559
1224,,533
1225,,530
1226,,537
1227,,536
1228,,528
1229,,553
1230,,540
1231,,546
1232,,528
1233,,516
1234,,568
1235,,548
1236,,531
1237,,539
1238,,482
1239,,525
1240,,523
1241,,518
1242,,498
1243,,532
1244,,515
1245,,497
1246,,529
1247,,517
1248,,569
1249,,535
1250,,511
1251,,570
1252,,560
1253,,523
1254,,528
1255,,553
1256,,537
1257,,518
1258,,571
1259,,511
1260,,500
1261,,495
1262,,530
1263,,505
1264,,509
1265,,504
1266,,522
1267,,548
1268,,522
1269,,524
1270,,527
1271,,514
1272,,495
1273,,490
1274,,493
1275,,495
1276,,508
1277,,542
1278,,537
1279,,510
1280,,525
1281,,495
1282,,580
1283,,503
1284,,471
1285,,537
1286,,532
1287,,506
1288,,518
1289,,510
1290,,500
1291,,521
1292,,463
1293,,460
1294,,535
1295,,515
1296,,531
1297,,513
1298,,545
1299,,489
1300,,526
1301,,506
1302,,494
1303,,516
1304,,486
1305,,522
1306,,514
1307,,475
1308,,550
1309,,516
1310,,512
1311,,497
1312,,500
1313,,531
1314,,515
1315,,493
1316,,485
1317,,541
1318,,534
1319,,495
1320,,441
1321,,524
1322,,535
1323,,486
1324,,525
1325,,517
1326,,548
1327,,538
1328,,514
1329,,532
1330,,531
1331,,538
1332,,484
1333,,531
1334,,545
1335,,497
1336,,502
1337,,501
1338,,528
1339,,501
1340,,500
1341,,517
1342,,517
1343,,539
1344,,517
1345,,530
1346,,527
1347,,473
1348,,500
1349,,490
1350,,512
1351,,515
1352,,514
1353,,518
1354,,517
1355,,531
1356,,494
1357,,564
1358,,503
1359,,514
1360,,553
1361,,510
1362,,487
1363,,540
