Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,700
Conversion Gain:,4096
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,4191
Lower Discriminator:,54
Calibration Coefficients:Elapsed Real Time:,1220.47
Elapsed Live Time:,1200.0
Start Time:,August 28, 2022, 02:06:08
End Time:,August 28, 2022, 02:26:29
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,1
14,,2
15,,0
16,,3
17,,5
18,,6
19,,2
20,,2
21,,3
22,,7
23,,2
24,,1
25,,5
26,,3
27,,3
28,,1
29,,6
30,,5
31,,1
32,,6
33,,5
34,,5
35,,9
36,,6
37,,14
38,,10
39,,9
40,,11
41,,11
42,,14
43,,9
44,,22
45,,17
46,,27
47,,30
48,,37
49,,29
50,,31
51,,40
52,,36
53,,49
54,,51
55,,41
56,,44
57,,45
58,,51
59,,43
60,,56
61,,37
62,,55
63,,46
64,,36
65,,37
66,,18
67,,16
68,,29
69,,19
70,,24
71,,19
72,,19
73,,16
74,,14
75,,18
76,,24
77,,13
78,,15
79,,12
80,,10
81,,6
82,,17
83,,12
84,,11
85,,19
86,,8
87,,14
88,,12
89,,11
90,,4
91,,8
92,,8
93,,13
94,,6
95,,8
96,,9
97,,11
98,,13
99,,9
100,,12
101,,11
102,,13
103,,12
104,,12
105,,17
106,,15
107,,12
108,,20
109,,20
110,,24
111,,16
112,,26
113,,27
114,,27
115,,42
116,,29
117,,39
118,,35
119,,33
120,,26
121,,26
122,,31
123,,24
124,,25
125,,24
126,,22
127,,11
128,,8
129,,6
130,,8
131,,7
132,,9
133,,8
134,,4
135,,3
136,,6
137,,5
138,,7
139,,4
140,,2
141,,2
142,,3
143,,5
144,,7
145,,5
146,,7
147,,5
148,,3
149,,6
150,,7
151,,4
152,,3
153,,2
154,,3
155,,2
156,,2
157,,4
158,,2
159,,2
160,,3
161,,0
162,,3
163,,1
164,,0
165,,1
166,,4
167,,3
168,,1
169,,2
170,,1
171,,3
172,,0
173,,0
174,,1
175,,3
176,,0
177,,2
178,,2
179,,4
180,,2
181,,4
182,,3
183,,0
184,,1
185,,1
186,,4
187,,0
188,,2
189,,3
190,,2
191,,0
192,,1
193,,3
194,,2
195,,2
196,,3
197,,2
198,,2
199,,3
200,,0
201,,3
202,,3
203,,2
204,,3
205,,1
206,,2
207,,1
208,,1
209,,2
210,,0
211,,1
212,,0
213,,3
214,,0
215,,1
216,,0
217,,1
218,,1
219,,0
220,,3
221,,0
222,,1
223,,2
224,,0
225,,3
226,,2
227,,1
228,,5
229,,2
230,,4
231,,4
232,,1
233,,3
234,,2
235,,0
236,,4
237,,6
238,,3
239,,2
240,,1
241,,1
242,,1
243,,1
244,,1
245,,3
246,,2
247,,2
248,,1
249,,5
250,,2
251,,3
252,,4
253,,4
254,,7
255,,3
256,,3
257,,2
258,,4
259,,4
260,,3
261,,1
262,,1
263,,1
264,,5
265,,5
266,,1
267,,0
268,,3
269,,7
270,,11
271,,20
272,,28
273,,35
274,,39
275,,43
276,,70
277,,83
278,,107
279,,96
280,,102
281,,131
282,,149
283,,151
284,,181
285,,181
286,,185
287,,204
288,,238
289,,233
290,,214
291,,275
292,,301
293,,296
294,,288
295,,305
296,,343
297,,352
298,,360
299,,375
300,,374
301,,394
302,,389
303,,408
304,,427
305,,453
306,,477
307,,464
308,,529
309,,526
310,,535
311,,538
312,,537
313,,529
314,,543
315,,540
316,,554
317,,600
318,,580
319,,626
320,,617
321,,612
322,,670
323,,654
324,,678
325,,707
326,,723
327,,711
328,,717
329,,707
330,,763
331,,711
332,,787
333,,807
334,,779
335,,799
336,,851
337,,787
338,,847
339,,848
340,,871
341,,864
342,,941
343,,897
344,,896
345,,932
346,,946
347,,932
348,,971
349,,916
350,,927
351,,910
352,,954
353,,1063
354,,1064
355,,1017
356,,1030
357,,1075
358,,1052
359,,1043
360,,979
361,,1043
362,,1154
363,,1040
364,,1143
365,,1140
366,,1085
367,,1129
368,,1167
369,,1181
370,,1240
371,,1204
372,,1225
