Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,700
Conversion Gain:,4096
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,4191
Lower Discriminator:,54
Calibration Coefficients:Elapsed Real Time:,1221.85
Elapsed Live Time:,1200.0
Start Time:,August 28, 2022, 04:44:15
End Time:,August 28, 2022, 05:04:37
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,2
15,,1
16,,2
17,,0
18,,0
19,,2
20,,4
21,,3
22,,3
23,,2
24,,1
25,,0
26,,2
27,,4
28,,2
29,,6
30,,1
31,,3
32,,3
33,,6
34,,4
35,,3
36,,7
37,,7
38,,2
39,,6
40,,5
41,,14
42,,17
43,,16
44,,9
45,,4
46,,11
47,,4
48,,8
49,,7
50,,8
51,,6
52,,2
53,,6
54,,5
55,,5
56,,8
57,,9
58,,6
59,,10
60,,9
61,,5
62,,8
63,,10
64,,3
65,,12
66,,10
67,,10
68,,9
69,,11
70,,5
71,,6
72,,8
73,,10
74,,9
75,,8
76,,10
77,,4
78,,7
79,,8
80,,10
81,,9
82,,10
83,,11
84,,9
85,,9
86,,5
87,,16
88,,19
89,,9
90,,12
91,,10
92,,16
93,,12
94,,12
95,,12
96,,8
97,,11
98,,10
99,,8
100,,12
101,,11
102,,7
103,,15
104,,11
105,,8
106,,16
107,,13
108,,14
109,,9
110,,16
111,,14
112,,17
113,,24
114,,20
115,,23
116,,21
117,,28
118,,43
119,,40
120,,26
121,,28
122,,22
123,,37
124,,38
125,,32
126,,30
127,,31
128,,25
129,,24
130,,23
131,,32
132,,12
133,,17
134,,14
135,,17
136,,11
137,,9
138,,7
139,,9
140,,4
141,,5
142,,2
143,,4
144,,7
145,,10
146,,8
147,,9
148,,4
149,,5
150,,2
151,,4
152,,6
153,,4
154,,2
155,,2
156,,3
157,,5
158,,2
159,,1
160,,3
161,,2
162,,2
163,,1
164,,4
165,,2
166,,3
167,,2
168,,2
169,,5
170,,1
171,,1
172,,1
173,,6
174,,0
175,,3
176,,2
177,,2
178,,1
179,,2
180,,2
181,,3
182,,1
183,,2
184,,1
185,,1
186,,0
187,,1
188,,0
189,,1
190,,5
191,,0
192,,1
193,,2
194,,3
195,,1
196,,2
197,,0
198,,1
199,,1
200,,0
201,,0
202,,0
203,,3
204,,1
205,,3
206,,1
207,,1
208,,0
209,,3
210,,2
211,,1
212,,3
213,,3
214,,2
215,,2
216,,0
217,,1
218,,1
219,,0
220,,1
221,,2
222,,0
223,,1
224,,1
225,,0
226,,1
227,,0
228,,2
229,,1
230,,2
231,,0
232,,1
233,,2
234,,0
235,,3
236,,3
237,,2
238,,0
239,,2
240,,2
241,,2
242,,2
243,,1
244,,3
245,,3
246,,4
247,,0
248,,1
249,,1
250,,0
251,,1
252,,3
253,,0
254,,3
255,,4
256,,0
257,,1
258,,3
259,,2
260,,1
261,,3
262,,1
263,,0
264,,5
265,,1
266,,4
267,,3
268,,4
269,,7
270,,9
271,,4
272,,15
273,,15
274,,32
275,,28
276,,51
277,,55
278,,61
279,,81
280,,82
281,,94
282,,123
283,,115
284,,130
285,,162
286,,159
287,,172
288,,163
289,,168
290,,182
291,,168
292,,213
293,,193
294,,240
295,,226
296,,234
297,,248
298,,273
299,,291
300,,274
301,,312
302,,311
303,,342
304,,367
305,,362
306,,375
307,,345
308,,361
309,,388
310,,439
311,,432
312,,450
313,,428
314,,396
315,,396
316,,463
317,,435
318,,466
319,,496
320,,518
321,,505
322,,545
323,,506
324,,561
325,,546
326,,564
327,,575
328,,576
329,,579
330,,632
331,,619
332,,604
333,,617
334,,630
335,,612
336,,641
337,,661
338,,647
339,,672
340,,726
341,,697
342,,657
343,,708
344,,700
345,,702
346,,737
347,,756
348,,785
349,,716
350,,743
351,,794
352,,828
353,,814
354,,825
355,,828
356,,810
357,,900
358,,876
359,,880
360,,911
361,,885
362,,944
363,,968
364,,942
365,,983
366,,1014
367,,1031
368,,1038
369,,1013
370,,1006
371,,1039
372,,1080
373,,1122
374,,1013
