Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,700
Conversion Gain:,4096
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,4191
Lower Discriminator:,54
Calibration Coefficients:Elapsed Real Time:,1201.86
Elapsed Live Time:,1200.0
Start Time:,August 28, 2022, 02:28:34
End Time:,August 28, 2022, 02:48:36
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,1
27,,0
28,,0
29,,0
30,,0
31,,0
32,,0
33,,0
34,,0
35,,0
36,,0
37,,1
38,,2
39,,1
40,,0
41,,0
42,,0
43,,1
44,,0
45,,0
46,,0
47,,0
48,,0
49,,0
50,,0
51,,0
52,,0
53,,1
54,,0
55,,1
56,,0
57,,0
58,,1
59,,0
60,,0
61,,0
62,,0
63,,1
64,,0
65,,0
66,,0
67,,0
68,,0
69,,0
70,,0
71,,0
72,,0
73,,0
74,,0
75,,0
76,,0
77,,0
78,,1
79,,0
80,,0
81,,1
82,,1
83,,0
84,,0
85,,0
86,,0
87,,0
88,,1
89,,0
90,,1
91,,0
92,,0
93,,0
94,,0
95,,1
96,,0
97,,0
98,,0
99,,0
100,,0
101,,0
102,,0
103,,0
104,,0
105,,0
106,,0
107,,0
108,,1
109,,0
110,,0
111,,1
112,,0
113,,1
114,,0
115,,0
116,,0
117,,0
118,,0
119,,1
120,,0
121,,0
122,,0
123,,0
124,,0
125,,0
126,,1
127,,0
128,,0
129,,0
130,,0
131,,0
132,,0
133,,1
134,,0
135,,0
136,,0
137,,0
138,,0
139,,0
140,,0
141,,0
142,,0
143,,0
144,,0
145,,0
146,,0
147,,0
148,,0
149,,0
150,,0
151,,0
152,,0
153,,1
154,,0
155,,0
156,,0
157,,0
158,,0
159,,0
160,,0
161,,0
162,,0
163,,0
164,,0
165,,0
166,,0
167,,0
168,,0
169,,1
170,,0
171,,0
172,,0
173,,0
174,,0
175,,0
176,,0
177,,0
178,,0
179,,0
180,,0
181,,0
182,,0
183,,0
184,,0
185,,0
186,,1
187,,0
188,,0
189,,0
190,,0
191,,0
192,,0
193,,0
194,,0
195,,0
196,,0
197,,0
198,,1
199,,0
200,,0
201,,0
202,,0
203,,0
204,,1
205,,1
206,,0
207,,0
208,,0
209,,0
210,,0
211,,0
212,,0
213,,0
214,,0
215,,0
216,,0
217,,0
218,,1
219,,0
220,,0
221,,0
222,,0
223,,0
224,,0
225,,0
226,,0
227,,0
228,,0
229,,0
230,,0
231,,0
232,,0
233,,1
234,,0
235,,0
236,,0
237,,0
238,,0
239,,0
240,,0
241,,0
242,,0
243,,0
244,,0
245,,0
246,,0
247,,0
248,,0
249,,0
250,,0
251,,0
252,,0
253,,0
254,,1
255,,0
256,,1
257,,0
258,,0
259,,0
260,,1
261,,0
262,,0
263,,0
264,,0
265,,0
266,,1
267,,2
268,,1
269,,1
270,,2
271,,6
272,,5
273,,10
274,,17
275,,13
276,,28
277,,29
278,,31
279,,29
280,,41
281,,54
282,,58
283,,52
284,,48
285,,55
286,,66
287,,82
288,,70
289,,75
290,,90
291,,76
292,,81
293,,91
294,,100
295,,106
296,,91
297,,102
298,,96
299,,102
300,,121
301,,127
302,,132
303,,142
304,,143
305,,112
306,,136
307,,147
308,,132
309,,145
310,,129
311,,139
312,,135
313,,167
314,,144
315,,157
316,,152
317,,156
318,,161
319,,171
320,,154
321,,188
322,,207
323,,171
324,,189
325,,173
326,,197
327,,180
328,,194
329,,187
330,,179
331,,190
332,,219
333,,186
334,,163
335,,188
336,,211
337,,215
338,,225
339,,189
340,,224
341,,211
342,,208
343,,214
344,,229
345,,194
346,,224
347,,199
348,,225
349,,235
350,,223
351,,225
352,,238
353,,246
354,,224
355,,219
356,,232
357,,235
358,,214
359,,235
360,,243
361,,220
362,,219
363,,232
364,,222
365,,238
366,,272
367,,231
368,,235
369,,253
370,,260
371,,253
372,,244
373,,211
374,,243
375,,254
