Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,700
Conversion Gain:,4096
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,4191
Lower Discriminator:,54
Calibration Coefficients:Elapsed Real Time:,1203.9
Elapsed Live Time:,1200.0
Start Time:,October 06, 2022, 12:00:50
End Time:,October 06, 2022, 12:20:54
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,0
28,,0
29,,0
30,,0
31,,0
32,,0
33,,1
34,,1
35,,1
36,,0
37,,1
38,,0
39,,0
40,,0
41,,1
42,,0
43,,2
44,,2
45,,5
46,,7
47,,2
48,,0
49,,2
50,,1
51,,0
52,,2
53,,2
54,,2
55,,2
56,,2
57,,3
58,,2
59,,1
60,,1
61,,2
62,,2
63,,1
64,,0
65,,0
66,,2
67,,4
68,,2
69,,1
70,,3
71,,1
72,,1
73,,2
74,,3
75,,1
76,,1
77,,4
78,,1
79,,2
80,,3
81,,1
82,,3
83,,2
84,,3
85,,5
86,,3
87,,4
88,,3
89,,2
90,,1
91,,3
92,,4
93,,2
94,,0
95,,1
96,,5
97,,2
98,,0
99,,5
100,,1
101,,1
102,,0
103,,0
104,,2
105,,0
106,,1
107,,2
108,,1
109,,2
110,,0
111,,1
112,,0
113,,3
114,,1
115,,0
116,,0
117,,0
118,,1
119,,3
120,,2
121,,1
122,,1
123,,3
124,,1
125,,2
126,,1
127,,2
128,,2
129,,0
130,,0
131,,1
132,,0
133,,0
134,,0
135,,0
136,,2
137,,1
138,,0
139,,0
140,,1
141,,0
142,,0
143,,1
144,,0
145,,2
146,,0
147,,1
148,,0
149,,0
150,,1
151,,1
152,,0
153,,0
154,,1
155,,0
156,,1
157,,0
158,,0
159,,0
160,,0
161,,1
162,,1
163,,0
164,,0
165,,0
166,,0
167,,1
168,,0
169,,0
170,,1
171,,1
172,,0
173,,0
174,,0
175,,0
176,,0
177,,0
178,,0
179,,0
180,,0
181,,0
182,,2
183,,0
184,,0
185,,0
186,,0
187,,0
188,,1
189,,2
190,,0
191,,0
192,,0
193,,0
194,,0
195,,0
196,,1
197,,0
198,,0
199,,0
200,,0
201,,0
202,,0
203,,0
204,,0
205,,0
206,,0
207,,0
208,,2
209,,0
210,,0
211,,2
212,,0
213,,0
214,,1
215,,0
216,,1
217,,0
218,,1
219,,1
220,,0
221,,3
222,,0
223,,0
224,,1
225,,1
226,,0
227,,0
228,,0
229,,0
230,,1
231,,1
232,,0
233,,0
234,,0
235,,1
236,,0
237,,0
238,,0
239,,0
240,,0
241,,0
242,,0
243,,0
244,,1
245,,1
246,,0
247,,0
248,,1
249,,1
250,,2
251,,0
252,,0
253,,1
254,,0
255,,0
256,,0
257,,0
258,,1
259,,0
260,,0
261,,0
262,,0
263,,1
264,,0
265,,0
266,,0
267,,1
268,,0
269,,1
270,,0
271,,1
272,,2
273,,0
274,,2
275,,3
276,,6
277,,14
278,,16
279,,13
280,,27
281,,27
282,,29
283,,45
284,,56
285,,53
286,,67
287,,87
288,,71
289,,80
290,,86
291,,96
292,,95
293,,103
294,,113
295,,128
296,,124
297,,132
298,,150
299,,125
300,,143
301,,134
302,,169
303,,166
304,,146
305,,172
306,,188
307,,188
308,,170
309,,194
310,,199
311,,192
312,,256
313,,225
314,,227
315,,237
316,,243
317,,226
318,,198
319,,231
320,,248
321,,276
322,,277
323,,255
324,,284
325,,287
326,,281
327,,253
328,,298
329,,300
330,,299
331,,281
332,,315
333,,318
334,,333
335,,325
336,,287
337,,297
338,,312
339,,343
340,,324
341,,340
342,,326
343,,326
344,,349
345,,359
346,,342
347,,346
348,,357
349,,383
350,,364
351,,348
352,,364
353,,366
354,,354
355,,356
356,,395
357,,379
358,,376
359,,392
360,,381
361,,376
362,,412
363,,333
364,,414
365,,426
366,,401
367,,402
368,,406
369,,398
370,,419
371,,413
372,,397
373,,399
374,,444
375,,424
