Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,700
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,13066.34
Elapsed Live Time:,12906.99
Start Time:,October 07, 2022, 12:08:55
End Time:,October 07, 2022, 03:46:43
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,1
3,,331
4,,878
5,,609
6,,548
7,,706
8,,685
9,,715
10,,813
11,,1009
12,,1033
13,,942
14,,1067
15,,1116
16,,1100
17,,1036
18,,992
19,,955
20,,995
21,,905
22,,873
23,,912
24,,804
25,,506
26,,442
27,,416
28,,446
29,,460
30,,549
31,,490
32,,420
33,,309
34,,295
35,,262
36,,255
37,,197
38,,185
39,,156
40,,141
41,,120
42,,133
43,,124
44,,163
45,,127
46,,134
47,,125
48,,134
49,,112
50,,111
51,,118
52,,103
53,,123
54,,119
55,,122
56,,97
57,,112
58,,96
59,,99
60,,112
61,,95
62,,126
63,,99
64,,112
65,,114
66,,137
67,,147
68,,120
69,,177
70,,695
71,,2127
72,,4109
73,,5877
74,,7491
75,,9176
76,,10807
77,,12401
78,,13940
79,,15477
80,,16571
81,,17848
82,,18811
83,,19887
84,,21192
85,,22503
86,,23594
87,,24909
88,,25911
89,,27192
90,,28660
91,,30067
92,,31488
93,,32828
94,,34219
95,,34860
96,,35879
97,,36279
98,,36349
99,,35931
100,,35459
101,,35418
102,,34707
103,,34654
104,,34344
105,,34418
106,,34661
107,,34433
108,,34759
109,,34831
110,,34862
111,,35075
112,,34510
113,,34215
114,,33041
115,,32047
116,,30945
117,,29965
118,,29078
119,,27920
120,,27481
121,,26810
122,,26385
123,,25863
124,,25782
125,,25576
126,,24920
127,,24713
128,,24574
129,,24228
130,,24133
131,,23666
132,,23728
133,,23096
134,,23142
135,,22538
136,,22591
137,,22578
138,,21985
139,,22075
140,,21629
141,,21671
142,,21108
143,,21195
144,,20946
145,,20738
146,,20486
147,,20557
148,,20201
149,,19981
150,,19787
151,,19469
152,,19314
153,,19275
154,,18861
155,,18724
156,,18585
157,,18699
158,,18370
159,,18205
160,,18239
161,,18117
162,,17696
163,,17841
164,,17459
165,,17351
166,,17474
167,,16767
168,,16916
169,,16789
170,,16942
171,,16609
172,,16304
173,,16352
174,,16408
175,,16203
176,,16105
177,,15933
178,,15737
179,,15800
180,,15535
181,,15665
182,,15406
183,,15023
184,,15237
185,,15025
186,,15014
187,,15002
188,,14792
189,,14449
190,,14511
191,,14711
192,,14403
193,,14022
194,,14090
195,,14188
196,,13875
197,,14047
198,,13844
199,,13788
200,,13698
201,,13515
202,,13427
203,,13507
204,,13337
205,,13466
206,,13268
207,,13222
208,,13560
209,,13263
210,,13349
211,,13109
212,,13427
213,,13388
214,,13296
215,,13427
216,,13590
217,,13488
218,,13643
219,,13931
220,,13813
221,,13961
222,,13965
223,,13783
224,,13909
225,,13790
226,,13905
227,,13965
228,,13900
229,,13697
230,,13542
231,,13429
232,,13416
233,,13028
234,,12771
235,,12832
236,,12197
237,,12517
238,,12380
239,,12074
240,,12276
241,,12056
242,,12139
243,,11990
244,,11947
245,,11958
246,,11899
247,,11755
248,,11770
249,,11835
250,,11943
251,,12004
252,,12024
253,,11966
254,,12036
255,,12002
256,,12161
257,,12185
258,,11988
259,,12134
260,,12243
261,,12215
262,,12250
263,,12230
264,,12025
265,,11987
266,,11975
267,,12023
268,,11984
269,,11841
270,,11765
271,,11694
272,,11525
273,,11514
274,,11603
275,,11432
276,,11240
277,,11288
278,,11088
279,,11043
280,,10878
281,,10959
282,,10901
283,,10830
284,,10621
285,,10846
286,,10582
287,,10410
288,,10649
289,,10501
290,,10448
291,,10206
292,,10006
293,,10149
294,,10419
295,,10105
296,,10061
297,,10051
298,,10077
299,,9966
300,,10030
301,,9937
302,,10011
303,,10007
304,,9893
305,,9945
306,,9849
307,,9934
308,,9777
309,,9844
310,,9952
311,,9896
312,,10034
313,,9859
314,,10246
315,,10257
316,,10347
317,,10289
318,,10602
319,,10631
320,,10818
321,,10996
322,,10690
323,,11183
