Time	Position (50 Hz sampling rate)
0.02	0.309
0.04	0.306
0.06	0.298
0.08	0.288
0.1	0.277
0.12	0.264
0.14	0.257
0.16	0.255
0.18	0.257
0.2	0.264
0.22	0.277
0.24	0.287
0.26	0.297
0.28	0.304
0.3	0.307
0.32	0.307
0.34	0.302
0.36	0.294
0.38	0.284
0.4	0.275
0.42	0.263
0.44	0.258
0.46	0.258
0.48	0.261
0.5	0.268
0.52	0.28
0.54	0.29
0.56	0.298
0.58	0.303
0.6	0.305
0.62	0.304
0.64	0.298
0.66	0.29
0.68	0.281
0.7	0.27
0.72	0.263
0.74	0.26
0.76	0.26
0.78	0.265
0.8	0.275
0.82	0.284
0.84	0.292
0.86	0.299
0.88	0.303
0.9	0.303
0.92	0.301
0.94	0.295
0.96	0.287
0.98	0.279
1	0.268
1.02	0.263
1.04	0.261
1.06	0.263
1.08	0.268
1.1	0.278
1.12	0.287
1.14	0.294
1.16	0.299
1.18	0.302
1.2	0.302
1.22	0.298
1.24	0.292
1.26	0.284
1.28	0.277
1.3	0.267
1.32	0.264
1.34	0.263
1.36	0.266
1.38	0.272
1.4	0.282
1.42	0.289
1.44	0.295
1.46	0.299
1.48	0.301
1.5	0.299
1.52	0.295
1.54	0.289
1.56	0.282
1.58	0.272
1.6	0.267
1.62	0.264
1.64	0.265
1.66	0.269
1.68	0.277
1.7	0.284
1.72	0.291
1.74	0.296
1.76	0.299
1.78	0.299
1.8	0.297
1.82	0.292
1.84	0.286
1.86	0.28
1.88	0.273
1.9	0.267
1.92	0.266
1.94	0.267
1.96	0.274
1.98	0.28
2	0.287
2.02	0.292
2.04	0.297
2.06	0.298
2.08	0.298
2.1	0.295
2.12	0.289
2.14	0.284
2.16	0.278
2.18	0.273
2.2	0.267
2.22	0.267
2.24	0.27
2.26	0.277
2.28	0.283
2.3	0.288
2.32	0.293
2.34	0.296
2.36	0.297
2.38	0.296
2.4	0.292
2.42	0.287
2.44	0.282
2.46	0.276
2.48	0.27
2.5	0.268
2.52	0.269
2.54	0.272
2.56	0.279
2.58	0.285
2.6	0.29
2.62	0.294
2.64	0.296
2.66	0.296
2.68	0.294
2.7	0.29
2.72	0.285
2.74	0.28
2.76	0.275
2.78	0.27
2.8	0.269
2.82	0.27
2.84	0.276
2.86	0.281
2.88	0.287
2.9	0.291
2.92	0.294
2.94	0.295
2.96	0.295
2.98	0.292
3	0.288
3.02	0.283
3.04	0.279
3.06	0.275
3.08	0.273
3.1	0.273
3.12	0.275
3.14	0.279
3.16	0.284
3.18	0.288
3.2	0.292
3.22	0.294
3.24	0.295
3.26	0.293
3.28	0.29
3.3	0.286
3.32	0.282
3.34	0.277
3.36	0.274
3.38	0.273
3.4	0.274
3.42	0.277
3.44	0.281
3.46	0.285
3.48	0.289
3.5	0.292
3.52	0.294
3.54	0.294
3.56	0.292
3.58	0.288
3.6	0.284
3.62	0.28
3.64	0.277
3.66	0.274
3.68	0.274
3.7	0.276
3.72	0.279
3.74	0.283
3.76	0.287
3.78	0.29
3.8	0.292
3.82	0.293
3.84	0.292
3.86	0.29
3.88	0.287
3.9	0.283
3.92	0.279
3.94	0.276
3.96	0.275
3.98	0.275
4	0.277
4.02	0.28
4.04	0.284
4.06	0.288
4.08	0.291
4.1	0.292
4.12	0.293
4.14	0.291
4.16	0.288
4.18	0.285
4.2	0.281
4.22	0.278
4.24	0.276
4.26	0.276
4.28	0.276
4.3	0.279
4.32	0.282
4.34	0.286
4.36	0.289
4.38	0.291
4.4	0.292
4.42	0.292
4.44	0.29
4.46	0.287
4.48	0.284
4.5	0.28
4.52	0.278
4.54	0.276
4.56	0.276
4.58	0.278
4.6	0.28
4.62	0.283
4.64	0.287
4.66	0.289
4.68	0.291
4.7	0.292
4.72	0.291
4.74	0.289
4.76	0.286
4.78	0.282
4.8	0.28
4.82	0.277
4.84	0.277
4.86	0.277
4.88	0.279
4.9	0.282
4.92	0.285
4.94	0.288
4.96	0.29
4.98	0.291
5	0.291
