Time [s] - Voltage Capacitor	Voltage [V] - Voltage Capacitor	Time [s] - Voltage Source	Voltage [V] - Voltage Source
0	-1.6	0	4.1
7.69E-05	-1	7.69E-05	4.1
0.000154	-0.5	0.000154	4.1
0.000231	0	0.000231	4.1
0.000308	0.4	0.000308	4.1
0.000385	0.8	0.000385	4.1
0.000462	1.1	0.000462	4.1
0.000538	1.4	0.000538	4.1
0.000615	1.7	0.000615	4.1
0.000692	2	0.000692	4.2
0.000769	2.2	0.000769	4.2
0.000846	2.4	0.000846	4.2
0.000923	2.6	0.000923	4.2
0.001	2.8	0.001	4.2
0.001077	3	0.001077	4.2
0.001154	3.2	0.001154	4.2
0.001231	3.3	0.001231	4.2
0.001308	3.4	0.001308	4.2
0.001385	3.5	0.001385	4.2
0.001461	3.6	0.001461	4.2
0.001538	3.7	0.001538	4.2
0.001615	3.8	0.001615	4.2
0.001692	3.8	0.001692	4.2
0.001769	3.9	0.001769	4.2
0.001846	3.9	0.001846	4.2
0.001923	4	0.001923	4.2
0.002	4	0.002	4.2
0.002077	4	0.002077	4.2
0.002154	4	0.002154	4.2
0.002231	4.1	0.002231	4.2
0.002308	4.1	0.002308	4.2
0.002385	2.9	0.002385	-4.1
0.002461	2	0.002461	-4.1
0.002538	1.3	0.002538	-4.1
0.002615	0.8	0.002615	-4.1
0.002692	0.3	0.002692	-4.1
0.002769	-0.1	0.002769	-4.1
0.002846	-0.5	0.002846	-4.1
0.002923	-0.9	0.002923	-4.1
0.003	-1.2	0.003	-4.1
0.003077	-1.5	0.003077	-4.1
0.003154	-1.8	0.003154	-4.1
0.003231	-2.1	0.003231	-4.1
0.003308	-2.3	0.003308	-4.1
0.003384	-2.5	0.003384	-4.1
0.003461	-2.7	0.003461	-4.1
0.003538	-2.9	0.003538	-4.1
0.003615	-3.1	0.003615	-4.1
0.003692	-3.2	0.003692	-4.1
0.003769	-3.3	0.003769	-4.1
0.003846	-3.4	0.003846	-4.1
0.003923	-3.5	0.003923	-4.1
0.004	-3.6	0.004	-4.1
0.004077	-3.7	0.004077	-4.1
0.004154	-3.8	0.004154	-4.1
0.004231	-3.8	0.004231	-4.1
0.004308	-3.9	0.004308	-4.1
0.004384	-3.9	0.004384	-4.1
0.004461	-3.9	0.004461	-4.1
0.004538	-4	0.004538	-4.1
0.004615	-4	0.004615	-4.1
0.004692	-4	0.004692	-4.1
0.004769	-4	0.004769	-4.1
0.004846	-3.3	0.004846	4.1
0.004923	-2.2	0.004923	4.1
0.005	-1.5	0.005	4.1
0.005077	-0.9	0.005077	4.1
0.005154	-0.4	0.005154	4.1
0.005231	0.1	0.005231	4.1
0.005307	0.5	0.005307	4.1
0.005384	0.9	0.005384	4.1
0.005461	1.2	0.005461	4.1
0.005538	1.5	0.005538	4.1
0.005615	1.8	0.005615	4.1
0.005692	2	0.005692	4.2
0.005769	2.3	0.005769	4.2
0.005846	2.5	0.005846	4.2
0.005923	2.7	0.005923	4.2
0.006	2.9	0.006	4.2
0.006077	3	0.006077	4.2
0.006154	3.2	0.006154	4.2
0.006231	3.3	0.006231	4.2
0.006307	3.4	0.006307	4.2
0.006384	3.6	0.006384	4.2
0.006461	3.6	0.006461	4.2
0.006538	3.7	0.006538	4.2
0.006615	3.8	0.006615	4.2
0.006692	3.8	0.006692	4.2
0.006769	3.9	0.006769	4.2
0.006846	3.9	0.006846	4.2
0.006923	4	0.006923	4.2
0.007	4	0.007	4.2
0.007077	4	0.007077	4.2
0.007154	4.1	0.007154	4.2
0.00723	4.1	0.00723	4.2
0.007307	4	0.007307	-4.1
0.007384	2.7	0.007384	-4.1
0.007461	1.8	0.007461	-4.1
0.007538	1.2	0.007538	-4.1
0.007615	0.6	0.007615	-4.1
0.007692	0.2	0.007692	-4.1
0.007769	-0.2	0.007769	-4.1
0.007846	-0.6	0.007846	-4.1
0.007923	-1	0.007923	-4.1
0.008	-1.3	0.008	-4.1
0.008077	-1.6	0.008077	-4.1
0.008154	-1.9	0.008154	-4.1
0.00823	-2.1	0.00823	-4.1
0.008307	-2.3	0.008307	-4.1
0.008384	-2.6	0.008384	-4.1
0.008461	-2.7	0.008461	-4.1
0.008538	-2.9	0.008538	-4.1
0.008615	-3.1	0.008615	-4.1
0.008692	-3.2	0.008692	-4.1
0.008769	-3.4	0.008769	-4.1
0.008846	-3.5	0.008846	-4.1
0.008923	-3.6	0.008923	-4.1
0.009	-3.6	0.009	-4.1
0.009077	-3.7	0.009077	-4.1
0.009153	-3.8	0.009153	-4.1
0.00923	-3.8	0.00923	-4.1
0.009307	-3.9	0.009307	-4.1
0.009384	-3.9	0.009384	-4.1
0.009461	-3.9	0.009461	-4.1
0.009538	-4	0.009538	-4.1
0.009615	-4	0.009615	-4.1
0.009692	-4	0.009692	-4.1
0.009769	-4	0.009769	-4.1
0.009846	-3	0.009846	4.1
0.009923	-2	0.009923	4.1
0.01	-1.3	0.01	4.1
0.010077	-0.8	0.010077	4.1
0.010153	-0.3	0.010153	4.1
0.01023	0.2	0.01023	4.1
0.010307	0.6	0.010307	4.1
0.010384	0.9	0.010384	4.1
0.010461	1.3	0.010461	4.1
0.010538	1.6	0.010538	4.1
0.010615	1.8	0.010615	4.1
0.010692	2.1	0.010692	4.2
0.010769	2.3	0.010769	4.2
0.010846	2.5	0.010846	4.2
0.010923	2.7	0.010923	4.2
0.011	2.9	0.011	4.2
0.011076	3.1	0.011076	4.2
0.011153	3.2	0.011153	4.2
0.01123	3.4	0.01123	4.2
0.011307	3.5	0.011307	4.2
0.011384	3.6	0.011384	4.2
0.011461	3.7	0.011461	4.2
0.011538	3.7	0.011538	4.2
0.011615	3.8	0.011615	4.2
0.011692	3.9	0.011692	4.2
0.011769	3.9	0.011769	4.2
0.011846	3.9	0.011846	4.2
0.011923	4	0.011923	4.2
0.012	4	0.012	4.2
0.012076	4	0.012076	4.2
0.012153	4.1	0.012153	4.2
0.01223	4.1	0.01223	4.2
0.012307	3.6	0.012307	-4.1
0.012384	2.4	0.012384	-4.1
0.012461	1.7	0.012461	-4.1
0.012538	1	0.012538	-4.1
0.012615	0.5	0.012615	-4.1
0.012692	0.1	0.012692	-4.1
0.012769	-0.3	0.012769	-4.1
0.012846	-0.7	0.012846	-4.1
0.012923	-1.1	0.012923	-4.1
0.012999	-1.4	0.012999	-4.1
0.013076	-1.6	0.013076	-4.1
0.013153	-1.9	0.013153	-4.1
0.01323	-2.2	0.01323	-4.1
0.013307	-2.4	0.013307	-4.1
0.013384	-2.6	0.013384	-4.1
0.013461	-2.8	0.013461	-4.1
0.013538	-3	0.013538	-4.1
0.013615	-3.1	0.013615	-4.1
0.013692	-3.3	0.013692	-4.1
0.013769	-3.4	0.013769	-4.1
0.013846	-3.5	0.013846	-4.1
0.013923	-3.6	0.013923	-4.1
0.013999	-3.7	0.013999	-4.1
0.014076	-3.7	0.014076	-4.1
0.014153	-3.8	0.014153	-4.1
0.01423	-3.8	0.01423	-4.1
0.014307	-3.9	0.014307	-4.1
0.014384	-3.9	0.014384	-4.1
0.014461	-3.9	0.014461	-4.1
0.014538	-4	0.014538	-4.1
0.014615	-4	0.014615	-4.1
0.014692	-4	0.014692	-4.1
0.014769	-4	0.014769	4.1
0.014846	-2.8	0.014846	4.1
0.014922	-1.9	0.014922	4.1
0.014999	-1.2	0.014999	4.1
0.015076	-0.6	0.015076	4.1
0.015153	-0.2	0.015153	4.1
0.01523	0.3	0.01523	4.1
0.015307	0.7	0.015307	4.1
0.015384	1	0.015384	4.1
0.015461	1.3	0.015461	4.1
0.015538	1.6	0.015538	4.1
0.015615	1.9	0.015615	4.2
0.015692	2.1	0.015692	4.2
0.015769	2.4	0.015769	4.2
0.015846	2.6	0.015846	4.2
