F[HZ]   Vlar[V] Vaxial[mV]
100	5.84	52
150	5.92	76
200	6.16	96
250	6.64	120
300	7	144
350	7.52	166
400	8.08	190
450	8.64	216
500	9.28	238
550	9.92	262
600	10.4	286
650	11	306
700	11.6	330
750	12.4	358
800	13.2	382
850	13.8	404
900	14.6	432
950	15.2	448
1000	16	476
1050	16.8	496
1100	17.6	524
1150	18.2	540
1200	18.8	572
1250	19.6	596
1300	20.4	620
1350	21	640
1400	22	664
1450	22.6	692
1500	23.4	716
1550	24.2	736
1600	25	764
1650	25.4	788
1700	26.4	824
1750	27	840
1800	27.8	856
1850	28.6	888
1900	29.4	912
1950	30.2	944
2000	31	968
