 Frequency [Hz] - Resonance Curve	Volatge [V] - Resonance Curve	
1002.50	0.33	
1005.00	0.33	
1007.50	0.32	
1010.00	0.32	
1012.50	0.32	
1015.00	0.32	
1017.50	0.32	
1020.00	0.32	
1022.50	0.32	
1025.00	0.32	
1027.50	0.31	
1030.00	0.31	
1032.50	0.31	
1035.00	0.31	
1037.50	0.31	
1040.00	0.31	
1042.50	0.31	
1045.00	0.30	
1047.50	0.30	
1050.00	0.30	
1052.50	0.30	
1055.00	0.30	
1057.50	0.30	
1060.00	0.30	
1062.50	0.30	
1065.00	0.29	
1067.50	0.29	
1070.00	0.29	
1072.50	0.29	
1075.00	0.29	
1077.50	0.29	
1080.00	0.29	
1082.50	0.29	
1085.00	0.28	
1087.50	0.28	
1090.00	0.28	
1092.50	0.28	
1095.00	0.28	
1097.50	0.28	
1100.00	0.28	
1102.50	0.28	
1105.00	0.27	
1107.50	0.27	
1110.00	0.27	
1112.50	0.27	
1115.00	0.27	
1117.50	0.27	
1120.00	0.27	
1122.50	0.27	
1125.00	0.27	
1127.50	0.26	
1130.00	0.26	
1132.50	0.26	
1135.00	0.26	
1137.50	0.26	
1140.00	0.26	
1142.50	0.26	
1145.00	0.26	
1147.50	0.26	
1150.00	0.25	
1152.50	0.25	
1155.00	0.25	
1157.50	0.25	
1160.00	0.25	
1162.50	0.25	
1165.00	0.25	
1167.50	0.25	
1170.00	0.24	
1172.50	0.24	
1175.00	0.24	
1177.50	0.24	
1180.00	0.24	
1182.50	0.24	
1185.00	0.24	
1187.50	0.24	
1190.00	0.24	
1192.50	0.24	
1195.00	0.23	
1197.50	0.23	
1200.00	0.23	
1202.50	0.23	
1205.00	0.23	
1207.50	0.23	
1210.00	0.23	
1212.50	0.23	
1215.00	0.23	
1217.50	0.22	
1220.00	0.22	
1222.50	0.22	
1225.00	0.22	
1227.50	0.22	
1230.00	0.22	
1232.50	0.22	
1235.00	0.22	
1237.50	0.22	
1240.00	0.22	
1242.50	0.21	
1245.00	0.21	
1247.50	0.21	
1250.00	0.21	
1252.50	0.21	
1255.00	0.21	
1257.50	0.21	
1260.00	0.21	
1262.50	0.21	
1265.00	0.20	
1267.50	0.20	
1270.00	0.20	
1272.50	0.20	
1275.00	0.20	
1277.50	0.20	
1280.00	0.20	
1282.50	0.20	
1285.00	0.20	
1287.50	0.20	
1290.00	0.20	
1292.50	0.19	
1295.00	0.19	
1297.50	0.19	
1300.00	0.19	
1302.50	0.19	
1305.00	0.19	
1307.50	0.19	
1310.00	0.19	
1312.50	0.19	
1315.00	0.19	
1317.50	0.18	
1320.00	0.18	
1322.50	0.18	
1325.00	0.18	
1327.50	0.18	
1330.00	0.18	
1332.50	0.18	
1335.00	0.18	
