Frequency [Hz]	Voltage [V]
6.990000E+1	7.315468E-3
1.298000E+2	1.058406E-2
1.897000E+2	1.417951E-2
2.496000E+2	1.777497E-2
3.095000E+2	2.169728E-2
3.694000E+2	2.529273E-2
4.293000E+2	2.954190E-2
4.892000E+2	3.313735E-2
5.491000E+2	3.738652E-2
6.090000E+2	4.228941E-2
6.689000E+2	4.751916E-2
7.288000E+2	5.307577E-2
7.887000E+2	5.895924E-2
8.486000E+2	6.484270E-2
9.085000E+2	7.072617E-2
9.684000E+2	7.791708E-2
1.028300E+3	8.641542E-2
1.088200E+3	9.589434E-2
1.148100E+3	1.063538E-1
1.208000E+3	1.187745E-1
1.267900E+3	1.338100E-1
1.327800E+3	1.508067E-1
1.387700E+3	1.720526E-1
1.447600E+3	1.972207E-1
1.507500E+3	2.292529E-1
1.567400E+3	2.714178E-1
1.627300E+3	3.175049E-1
1.687200E+3	3.671876E-1
1.747100E+3	4.011809E-1
1.807000E+3	4.126210E-1
1.866900E+3	4.021615E-1
1.926800E+3	3.789545E-1
1.986700E+3	3.498640E-1
2.046600E+3	3.224078E-1
2.106500E+3	2.952785E-1
2.166400E+3	2.707641E-1
2.226300E+3	2.491913E-1
2.286200E+3	2.299067E-1
2.346100E+3	2.125831E-1
2.406000E+3	1.988550E-1
2.465900E+3	1.857806E-1
2.525800E+3	1.740137E-1
2.585700E+3	1.642079E-1
2.645600E+3	1.553827E-1
2.705500E+3	1.472112E-1
2.765400E+3	1.403472E-1
2.825300E+3	1.341369E-1
2.885200E+3	1.275997E-1
2.945100E+3	1.230237E-1
3.005000E+3	1.181208E-1
3.064900E+3	1.132179E-1
3.124800E+3	1.096224E-1
3.184700E+3	1.053733E-1
3.244600E+3	1.017778E-1
3.304500E+3	9.883607E-2
3.364400E+3	9.622120E-2
3.424300E+3	9.295260E-2
3.484200E+3	9.033773E-2
3.544100E+3	8.772286E-2
3.604000E+3	8.543484E-2
3.663900E+3	8.314683E-2
3.723800E+3	8.151253E-2
3.783700E+3	7.922451E-2
3.843600E+3	7.726336E-2
3.903500E+3	7.595592E-2
3.963400E+3	7.432162E-2
4.023300E+3	7.268733E-2
4.083200E+3	7.072617E-2
4.143100E+3	6.974559E-2
4.203000E+3	6.811130E-2
4.262900E+3	6.680386E-2
4.322800E+3	6.549642E-2
4.382700E+3	6.418899E-2
4.442600E+3	6.320841E-2
4.502500E+3	6.222783E-2
4.562400E+3	6.092039E-2
4.622300E+3	6.026667E-2
4.682200E+3	5.928610E-2
4.742100E+3	5.830552E-2
4.802000E+3	5.699808E-2
4.861900E+3	5.601750E-2
4.921800E+3	5.536379E-2
4.981700E+3	5.471007E-2
5.041600E+3	5.372949E-2
5.101500E+3	5.307577E-2
5.161400E+3	5.209519E-2
5.221300E+3	5.144147E-2
5.281200E+3	5.078775E-2
5.341100E+3	5.013404E-2
5.401000E+3	4.915346E-2
5.460900E+3	4.882660E-2
5.520800E+3	4.849974E-2
5.580700E+3	4.751916E-2
5.640600E+3	4.719230E-2
5.700500E+3	4.621172E-2
5.760400E+3	4.621172E-2
5.820300E+3	4.523115E-2
5.880200E+3	4.490429E-2
5.940100E+3	4.490429E-2
6.000000E+3	4.392371E-2
6625E-2
5.940100E+3	7.889765E-2
6.000000E+3	7.628278E-2
