 Frequency [Hz] - Resonance Curve	Voltage [V] - Resonance Curve	
1002.50	1.28	
1005.00	1.28	
1007.50	1.28	
1010.00	1.29	
1012.50	1.29	
1015.00	1.29	
1017.50	1.30	
1020.00	1.30	
1022.50	1.30	
1025.00	1.31	
1027.50	1.31	
1030.00	1.31	
1032.50	1.32	
1035.00	1.32	
1037.50	1.32	
1040.00	1.33	
1042.50	1.33	
1045.00	1.33	
1047.50	1.34	
1050.00	1.34	
1052.50	1.34	
1055.00	1.35	
1057.50	1.35	
1060.00	1.35	
1062.50	1.36	
1065.00	1.36	
1067.50	1.36	
1070.00	1.37	
1072.50	1.37	
1075.00	1.37	
1077.50	1.37	
1080.00	1.38	
1082.50	1.38	
1085.00	1.38	
1087.50	1.39	
1090.00	1.39	
1092.50	1.39	
1095.00	1.40	
1097.50	1.40	
1100.00	1.40	
1102.50	1.41	
1105.00	1.41	
1107.50	1.41	
1110.00	1.42	
1112.50	1.42	
1115.00	1.42	
1117.50	1.43	
1120.00	1.43	
1122.50	1.43	
1125.00	1.43	
1127.50	1.44	
1130.00	1.44	
1132.50	1.44	
1135.00	1.45	
1137.50	1.45	
1140.00	1.45	
1142.50	1.46	
1145.00	1.46	
1147.50	1.46	
1150.00	1.47	
1152.50	1.47	
1155.00	1.47	
1157.50	1.48	
1160.00	1.48	
1162.50	1.48	
1165.00	1.48	
1167.50	1.49	
1170.00	1.49	
1172.50	1.49	
1175.00	1.50	
1177.50	1.50	
1180.00	1.50	
1182.50	1.51	
1185.00	1.51	
1187.50	1.51	
1190.00	1.51	
1192.50	1.52	
1195.00	1.52	
1197.50	1.52	
1200.00	1.53	
1202.50	1.53	
1205.00	1.53	
1207.50	1.54	
1210.00	1.54	
1212.50	1.54	
1215.00	1.54	
1217.50	1.55	
1220.00	1.55	
1222.50	1.55	
1225.00	1.56	
1227.50	1.56	
1230.00	1.56	
1232.50	1.56	
1235.00	1.57	
1237.50	1.57	
1240.00	1.57	
1242.50	1.58	
1245.00	1.58	
1247.50	1.58	
1250.00	1.59	
1252.50	1.59	
1255.00	1.59	
1257.50	1.59	
1260.00	1.60	
1262.50	1.60	
1265.00	1.60	
1267.50	1.60	
1270.00	1.61	
1272.50	1.61	
1275.00	1.61	
1277.50	1.62	
1280.00	1.62	
1282.50	1.62	
1285.00	1.62	
1287.50	1.63	
1290.00	1.63	
1292.50	1.63	
1295.00	1.64	
1297.50	1.64	
1300.00	1.64	
1302.50	1.64	
1305.00	1.65	
1307.50	1.65	
1310.00	1.65	
1312.50	1.65	
1315.00	1.66	
1317.50	1.66	
1320.00	1.66	
1322.50	1.67	
1325.00	1.67	
1327.50	1.67	
1330.00	1.67	
1332.50	1.68	
1335.00	1.68	
1337.50	1.68	
1340.00	1.68	
1342.50	1.69	
1345.00	1.69	
1347.50	1.69	
1350.00	1.69	
1352.50	1.70	
1355.00	1.70	
1357.50	1.70	
1360.00	1.70	
1362.50	1.71	
1365.00	1.71	
1367.50	1.71	
1370.00	1.71	
1372.50	1.72	
1375.00	1.72	
1377.50	1.72	
1380.00	1.72	
1382.50	1.73	
1385.00	1.73	
1387.50	1.73	
1390.00	1.73	
1392.50	1.74	
