Book Id  ,Title                                                                                    ,Author                      ,Author l-f                     ,Additional Authors                                                       ,ISBN              ,ISBN13               ,My Rating ,Average Rating ,Publisher                            ,Binding               ,Number of Pages ,Year Published ,Original Publication Year ,Date Read ,Date Added ,Bookshelves            ,Bookshelves with positions   ,Exclusive Shelf        ,My Review ,Spoiler ,Private Notes ,Read Count ,Recommended For ,Recommended By ,Owned Copies ,Original Purchase Date ,Original Purchase Location ,Condition ,Condition Description ,BCID
157993   ,The Little Prince                                                                        ,Antoine de Saint-Exupéry    ,"Saint-Exupéry, Antoine de"    ,"Richard Howard, Ivan Minatti, Nguyễn Thành Vũ"                          ,"="""""           ,"="""""              ,5         ,4.31           ,"Harcourt, Inc."                     ,Paperback             ,93              ,2000           ,1943                      ,          ,2020/12/26 ,favorites              ,favorites (#7)               ,read                   ,          ,        ,              ,1          ,                ,               ,0            ,                       ,                           ,          ,                      ,
386372   ,"Mort (Discworld, #4; Death, #1)"                                                        ,Terry Pratchett             ,"Pratchett, Terry"             ,                                                                         ,"=""0061020680""" ,"=""9780061020681""" ,5         ,4.22           ,Harpertorch                          ,Mass Market Paperback ,243             ,2001           ,1987                      ,          ,2020/12/28 ,favorites              ,favorites (#4)               ,read                   ,          ,        ,              ,1          ,                ,               ,0            ,                       ,                           ,          ,                      ,
34484    ,"Small Gods (Discworld, #13)"                                                            ,Terry Pratchett             ,"Pratchett, Terry"             ,                                                                         ,"=""0552152978""" ,"=""9780552152976""" ,5         ,4.30           ,Corgi                                ,Paperback             ,400             ,2005           ,1992                      ,          ,2020/12/28 ,favorites              ,favorites (#5)               ,read                   ,          ,        ,              ,1          ,                ,               ,0            ,                       ,                           ,          ,                      ,
62530    ,"Thud! (Discworld, #34; City Watch #7)"                                                  ,Terry Pratchett             ,"Pratchett, Terry"             ,                                                                         ,"="""""           ,"="""""              ,5         ,4.33           ,Corgi                                ,Paperback             ,439             ,2006           ,2005                      ,          ,2020/12/28 ,favorites              ,favorites (#6)               ,read                   ,          ,        ,              ,1          ,                ,               ,0            ,                       ,                           ,          ,                      ,
191139   ,"Oh, the Places You'll Go!"                                                              ,Dr. Seuss                   ,"Seuss, Dr."                   ,                                                                         ,"=""0679805273""" ,"=""9780679805274""" ,5         ,4.35           ,Random House Books for Young Readers ,Hardcover             ,44              ,1990           ,1990                      ,          ,2020/12/26 ,favorites              ,favorites (#3)               ,read                   ,          ,        ,              ,1          ,                ,               ,0            ,                       ,                           ,          ,                      ,
186074   ,"The Name of the Wind (The Kingkiller Chronicle, #1)"                                    ,Patrick Rothfuss            ,"Rothfuss, Patrick"            ,                                                                         ,"=""075640407X""" ,"=""9780756404079""" ,5         ,4.52           ,Penguin Group DAW                    ,Hardcover             ,662             ,2007           ,2007                      ,          ,2020/12/26 ,favorites              ,favorites (#1)               ,read                   ,          ,        ,              ,1          ,                ,               ,0            ,                       ,                           ,          ,                      ,
1215032  ,"The Wise Man's Fear (The Kingkiller Chronicle, #2)"                                     ,Patrick Rothfuss            ,"Rothfuss, Patrick"            ,                                                                         ,"=""0756404738""" ,"=""9780756404734""" ,4         ,4.55           ,DAW Books                            ,Hardcover             ,994             ,2011           ,2011                      ,          ,2020/12/26 ,favorites              ,favorites (#2)               ,read                   ,          ,        ,              ,1          ,                ,               ,0            ,                       ,                           ,          ,                      ,
96281    ,"The Deed of Paksenarrion (The Deed of Paksenarrion, #1-3)"                              ,Elizabeth Moon              ,"Moon, Elizabeth"              ,                                                                         ,"=""0671721046""" ,"=""9780671721046""" ,0         ,4.30           ,Baen                                 ,Paperback             ,1040            ,1992           ,1992                      ,          ,2020/12/26 ,to-read-fantasy-sci-fi ,to-read-fantasy-sci-fi (#1)  ,to-read-fantasy-sci-fi ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
222910   ,"The Two Towers (The Lord of the Rings, #2)"                                             ,J.R.R. Tolkien              ,"Tolkien, J.R.R."              ,                                                                         ,"="""""           ,"="""""              ,0         ,4.44           ,Ballantine Books                     ,Mass Market Paperback ,447             ,1973           ,1954                      ,          ,2020/12/30 ,to-read-fantasy-sci-fi ,to-read-fantasy-sci-fi (#18) ,to-read-fantasy-sci-fi ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
838729   ,"The Return of the King (The Lord of the Rings, #3)"                                     ,J.R.R. Tolkien              ,"Tolkien, J.R.R."              ,                                                                         ,"=""0345240340""" ,"=""9780345240347""" ,0         ,4.53           ,Ballantine Books                     ,Mass Market Paperback ,385             ,1974           ,1955                      ,          ,2020/12/30 ,to-read-fantasy-sci-fi ,to-read-fantasy-sci-fi (#20) ,to-read-fantasy-sci-fi ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
