Date       ,Name                                                                                ,Year ,Letterboxd URI
2020-12-31 ,The Shawshank Redemption                                                            ,1994 ,https://boxd.it/2aHi
2020-12-31 ,Seven Samurai                                                                       ,1954 ,https://boxd.it/2axi
2020-12-31 ,Spider-Man: Into the Spider-Verse                                                   ,2018 ,https://boxd.it/azpY
2020-12-31 ,The Dark Knight                                                                     ,2008 ,https://boxd.it/2b0k
2020-12-31 ,The Empire Strikes Back                                                             ,1980 ,https://boxd.it/27Vw
2020-12-31 ,The Lord of the Rings: The Return of the King                                       ,2003 ,https://boxd.it/2b5u
2020-12-31 ,Pulp Fiction                                                                        ,1994 ,https://boxd.it/29Pq
2020-12-31 ,Whiplash                                                                            ,2014 ,https://boxd.it/7bQA
2020-12-31 ,The Lord of the Rings: The Fellowship of the Ring                                   ,2001 ,https://boxd.it/2b5O
2020-12-31 ,The Lord of the Rings: The Two Towers                                               ,2002 ,https://boxd.it/2b5E
2020-12-31 ,Inglourious Basterds                                                                ,2009 ,https://boxd.it/1JzG
2020-12-31 ,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb                ,1964 ,https://boxd.it/29eY
2020-12-31 ,Star Wars                                                                           ,1977 ,https://boxd.it/72s
2020-12-31 ,The Lion King                                                                       ,1994 ,https://boxd.it/201Q
2020-12-31 ,Back to the Future                                                                  ,1985 ,https://boxd.it/2b8e
2020-12-31 ,Eternal Sunshine of the Spotless Mind                                               ,2004 ,https://boxd.it/6YK
2020-12-31 ,Terminator 2: Judgment Day                                                          ,1991 ,https://boxd.it/2aGY
2020-12-31 ,Toy Story                                                                           ,1995 ,https://boxd.it/29qA
2020-12-31 ,Raiders of the Lost Ark                                                             ,1981 ,https://boxd.it/2bbs
2020-12-31 ,The Grand Budapest Hotel                                                            ,2014 ,https://boxd.it/3ZqO
2020-12-31 ,Inception                                                                           ,2010 ,https://boxd.it/1skk
2020-12-31 ,Mad Max: Fury Road                                                                  ,2015 ,https://boxd.it/2DjO
2020-12-31 ,Saving Private Ryan                                                                 ,1998 ,https://boxd.it/29ro
2020-12-31 ,Good Will Hunting                                                                   ,1997 ,https://boxd.it/2ahY
2020-12-31 ,Heat                                                                                ,1995 ,https://boxd.it/2bg8
2020-12-31 ,Some Like It Hot                                                                    ,1959 ,https://boxd.it/2aNA
2020-12-31 ,Shoplifters                                                                         ,2018 ,https://boxd.it/ifY6
2020-12-31 ,Die Hard                                                                            ,1988 ,https://boxd.it/2a7u
2020-12-31 ,Home Alone                                                                          ,1990 ,https://boxd.it/29Fg
2020-12-31 ,The Queen's Gambit                                                                  ,2020 ,https://boxd.it/s1Ym
2020-12-31 ,Knives Out                                                                          ,2019 ,https://boxd.it/jWEA
2020-12-31 ,Love Actually                                                                       ,2003 ,https://boxd.it/2aeU
2020-12-31 ,Wonder Woman                                                                        ,2017 ,https://boxd.it/9roG
2020-12-31 ,Lady Bird                                                                           ,2017 ,https://boxd.it/dGNE
2020-12-31 ,Interstellar                                                                        ,2014 ,https://boxd.it/4VZ8
2020-12-31 ,Uncut Gems                                                                          ,2019 ,https://boxd.it/gXGc
2020-12-31 ,The Social Network                                                                  ,2010 ,https://boxd.it/17ue
2020-12-31 ,Ratatouille                                                                         ,2007 ,https://boxd.it/27ww
2020-12-31 ,Call Me by Your Name                                                                ,2017 ,https://boxd.it/dYmm
2020-12-31 ,Baby Driver                                                                         ,2017 ,https://boxd.it/bhF2
2020-12-31 ,The Truman Show                                                                     ,1998 ,https://boxd.it/18U8
2020-12-31 ,The Matrix                                                                          ,1999 ,https://boxd.it/2a1m
2020-12-31 ,Black Panther                                                                       ,2018 ,https://boxd.it/8MHs
2020-12-31 ,Django Unchained                                                                    ,2012 ,https://boxd.it/2cCk
2020-12-31 ,Forrest Gump                                                                        ,1994 ,https://boxd.it/728
2020-12-31 ,Avengers: Endgame                                                                   ,2019 ,https://boxd.it/9vE4
2020-12-31 ,Up                                                                                  ,2009 ,https://boxd.it/1OEc
2020-12-31 ,Dunkirk                                                                             ,2017 ,https://boxd.it/d0Y6
2020-12-31 ,Scott Pilgrim vs. the World                                                         ,2010 ,https://boxd.it/1Aq6
2020-12-31 ,Marriage Story                                                                      ,2019 ,https://boxd.it/hJAw
2020-12-31 ,Avengers: Infinity War                                                              ,2018 ,https://boxd.it/9vEe
2020-12-31 ,WALL·E                                                                              ,2008 ,https://boxd.it/1VEo
2020-12-31 ,Arrival                                                                             ,2016 ,https://boxd.it/aNGk
2020-12-31 ,Blade Runner 2049                                                                   ,2017 ,https://boxd.it/b8wK
2020-12-31 ,Zodiac                                                                              ,2007 ,https://boxd.it/27MO
2020-12-31 ,The Incredibles                                                                     ,2004 ,https://boxd.it/1XLm
2020-12-31 ,Guardians of the Galaxy                                                             ,2014 ,https://boxd.it/3VH2
2020-12-31 ,Return of the Jedi                                                                  ,1983 ,https://boxd.it/27Vm
2020-12-31 ,Star Wars: The Force Awakens                                                        ,2015 ,https://boxd.it/4vru
2020-12-31 ,Finding Nemo                                                                        ,2003 ,https://boxd.it/72i
2020-12-31 ,Dead Poets Society                                                                  ,1989 ,https://boxd.it/2aSg
2020-12-31 ,"Monsters, Inc."                                                                    ,2001 ,https://boxd.it/2a46
2020-12-31 ,Spider-Man: Homecoming                                                              ,2017 ,https://boxd.it/aboM
2020-12-31 ,Thor: Ragnarok                                                                      ,2017 ,https://boxd.it/8MHi
2020-12-31 ,Star Wars: The Last Jedi                                                            ,2017 ,https://boxd.it/5xme
2020-12-31 ,Star Wars: Episode III - Revenge of the Sith                                        ,2005 ,https://boxd.it/27US
2020-12-31 ,Rogue One: A Star Wars Story                                                        ,2016 ,https://boxd.it/aPvy
2020-12-31 ,The Dark Knight Rises                                                               ,2012 ,https://boxd.it/H3m
2020-12-31 ,BlacKkKlansman                                                                      ,2018 ,https://boxd.it/hxL8
2020-12-31 ,Star Wars: The Rise of Skywalker                                                    ,2019 ,https://boxd.it/5xlK
2020-12-31 ,Star Wars: Episode I - The Phantom Menace                                           ,1999 ,https://boxd.it/27Vc
2020-12-31 ,Titanic                                                                             ,1997 ,https://boxd.it/2a2k
2020-12-31 ,Drive                                                                               ,2011 ,https://boxd.it/IG
2020-12-31 ,Jurassic Park                                                                       ,1993 ,https://boxd.it/2aA2
2020-12-31 ,Blade Runner                                                                        ,1982 ,https://boxd.it/2bcA
2020-12-31 ,The Avengers                                                                        ,2012 ,https://boxd.it/1xFW
2020-12-31 ,Catch Me If You Can                                                                 ,2002 ,https://boxd.it/29VS
